ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	all.x	nowine.x	abstemious.y	all.y	nowine.y
hsa-miR-4473	6.63417125810205	0.459642087757385	0.289396454172219	1.58827822915845	0.112223438201652	0.430236606205583	nowine_vs_all	FALSE	8.506	6.658	4.62	1.797	1.721	1.92
hsa-miR-4473-5p:Novel	1.29097606469366	0.101836148837251	0.346635068246374	0.293784899930753	0.768922274297643	0.921204927840184	nowine_vs_all	FALSE	3.682	1.043	1.073	1.006	0.393	0.444
hsa-miR-4474-3p	2.91387084289162	0.0491717935642023	0.441957326842795	0.111259143310215	0.911410853113522	0.971116266654615	nowine_vs_all	FALSE	3.389	2.763	3.037	0.791	0.951	0
hsa-miR-4474-5p	0.51282971129884	0.210117431534532	0.524488945093389	0.400613651632104	0.688704593129419	0.887684043846989	nowine_vs_all	FALSE	0.888	0.482	0.397	0	0	0
hsa-miR-4475	1.77545921317369	0.898990509141991	0.4039236668227	2.22564455361958	0.0260379993958452	0.225962674725472	nowine_vs_all	FALSE	3.251	1.554	1.847	0.663	0.597	0.626
hsa-miR-4475-5p:Novel	0.412711484744274	0.359244121692171	0.5573007614835	0.64461444613118	0.51917707085325	0.804819975730145	nowine_vs_all	FALSE	0.877	0.354	0.401	0	0	0
hsa-miR-4476	3.76307651287009	0.149579075632232	0.269173495509186	0.555697637872104	0.578417571644235	0.83691806840877	nowine_vs_all	FALSE	6.762	3.491	3.01	3.91	2.326	2.1
hsa-miR-4476-5p:Novel	85.8268259999016	-0.250891159572661	0.720529457014943	-0.348203889695322	0.727687066805606	0.896671849695779	nowine_vs_all	FALSE	16.325	98.478	51.784	0.999	1.038	1.403
hsa-miR-4477a	1.83388485009184	0.180166483139978	0.351821840736767	0.512095789058128	0.608583971501997	0.851589572472896	nowine_vs_all	FALSE	1.648	1.827	1.915	0	1.024	0.721
hsa-miR-4477b-3p:Novel	0.767909784198856	0.256423117189077	0.497311442613523	0.51561877571426	0.606120694137796	0.851033634738035	nowine_vs_all	FALSE	0.289	0.808	0.719	0	0	0
hsa-miR-4477b-5p:Novel	1.17887512412234	0.0811158019779974	0.399412057030308	0.203088015372161	0.839066238888518	0.946433984617785	nowine_vs_all	FALSE	1.554	1.189	0.971	0	0.421	0.534
hsa-miR-4478	3.77367626540032	0.574515394877962	0.33602229622521	1.70975379113804	0.0873114111491148	0.38238257833899	nowine_vs_all	FALSE	11.81	7.742	3.117	1.99	1.375	1.259
hsa-miR-4478-3p:Novel	4.60400536851292	0.471933628729884	0.282711669207949	1.66931075060348	0.0950558107505431	0.396587719523763	nowine_vs_all	FALSE	13.631	3.73	3.582	4.766	2.416	1.999
hsa-miR-4479	6.03139509900012	0.903801151799397	0.301864551974363	2.99406189262049	0.00275290094542647	0.0711350649089932	nowine_vs_all	FALSE	4.746	4.777	12.183	3.735	3.073	3.938
hsa-miR-4479-5p:Novel	2.35948708992608	0.115656586182321	0.312667612093376	0.369902675265839	0.711455008036755	0.892528303300844	nowine_vs_all	FALSE	3.738	2.182	2.188	2.607	1.047	1.058
hsa-miR-448	3.08332968044509	0.108276573868635	0.309923520666753	0.349365461632903	0.726814959294949	0.896551450499523	nowine_vs_all	FALSE	4.966	2.993	2.246	2.013	1.792	1.662
hsa-miR-448-5p:Novel	4.70236822758824	0.578671747898225	0.28834445655858	2.00687661834991	0.0447628020543045	0.286015653959483	nowine_vs_all	FALSE	8.402	4.189	5.25	2.695	2.72	3.772
hsa-miR-4480	4.43840549927157	0.694529317835423	0.40524725197642	1.7138409068739	0.0865579483018062	0.380879809815839	nowine_vs_all	FALSE	1.9	5.039	2.288	0	0.937	1.715
hsa-miR-4480-5p:Novel	0.831105056295909	0.439528404208725	0.371691291871242	1.1825092861228	0.23700368309763	0.583847627357776	nowine_vs_all	FALSE	0.835	0.808	0.829	0.333	0	0.28
hsa-miR-4481	0.190315695931046	0.616040363128334	1.19255288821648	0.516572781983408	0.605454419845583	NA	nowine_vs_all	NA	0.084	0.171	0.315	0	0	0
hsa-miR-4481-3p:Novel	3.82692581079341	-0.00301709639637063	0.27118972828301	-0.0111254080878094	0.991123391771078	0.996513111416201	nowine_vs_all	FALSE	5.963	3.71	3.202	3.816	2.065	2.368
hsa-miR-4482-3p	0.447395771826474	0.211487077105243	0.583358703240418	0.362533507995136	0.716953388312657	0.892528303300844	nowine_vs_all	FALSE	0.296	0.438	0.512	0	0	0
hsa-miR-4482-5p	3.18262217129997	-0.032985680847452	0.296973334974108	-0.111072870735441	0.911558561617238	0.971116266654615	nowine_vs_all	FALSE	5.527	2.961	2.605	4.919	1.664	1.628
hsa-miR-4483	0.360237167663013	1.279250258012	0.627530251732001	2.03854755126343	0.0414952043616249	NA	nowine_vs_all	NA	0.225	0.303	0.667	0	0	0
hsa-miR-4483-5p:Novel	12.1714892811294	1.06314733135285	0.500389312918048	2.12464036282678	NA	NA	nowine_vs_all	NA	4.842	14.631	2.426	3.331	0.436	1.509
hsa-miR-4484	4.59125589015796	-0.477823857871111	0.350021428871975	-1.3651274420855	0.172212998316236	0.518223481290523	nowine_vs_all	FALSE	3.665	4.741	3.754	2.607	1.954	2.222
hsa-miR-4484-5p:Novel	4.21448279089452	0.311294360466196	0.309569245532431	1.005572630223	0.314621195288107	0.648483337331065	nowine_vs_all	FALSE	8.145	3.833	3.491	4.841	1.993	1.787
hsa-miR-4485-3p	1.91729743983777	-0.36109739660357	0.367900517485104	-0.981508259547884	0.326342163349757	0.656322239340135	nowine_vs_all	FALSE	3.182	1.856	1.391	1.327	0.841	0.548
hsa-miR-4485-5p	1.09322732227423	-0.415303894171454	0.494109138114515	-0.840510450294896	0.40062224472157	0.71728454440225	nowine_vs_all	FALSE	0.826	1.223	0.522	0	0	0
hsa-miR-4486	0.559688457946398	-0.123797569750904	0.504312160867162	-0.245478057753028	0.80608629588102	0.934097743933278	nowine_vs_all	FALSE	0.75	0.574	0.411	0	0	0
hsa-miR-4486-3p:Novel	10.1266327612314	0.321045349818947	0.240993202043298	1.33217595806402	0.182802374852138	0.527657985350095	nowine_vs_all	FALSE	13.026	9.225	12.135	8.66	6.989	8.351
hsa-miR-4487	105.505372374866	-0.34831471033584	0.200935075830837	-1.73346892719258	0.0830123557321018	0.373566521398761	nowine_vs_all	FALSE	82.949	108.863	92.926	68.434	79.781	68.025
hsa-miR-4487-5p:Novel	5.00363419039354	-0.511978380977544	0.385501278572914	-1.32808478060782	0.184150100679098	0.52882805129475	nowine_vs_all	FALSE	4.239	4.872	5.38	2.373	1.836	1.855
hsa-miR-4488	7.32402245770343	-0.649925130624083	0.388349259958196	-1.67355830855463	0.0942174380099332	0.39530107392629	nowine_vs_all	FALSE	13.19	7.313	3.28	2.246	0.735	0
hsa-miR-4488-3p:Novel	178.715557947371	-0.692074914298601	0.318437283417294	-2.17334762711085	0.0297541634234225	0.237655600861355	nowine_vs_all	FALSE	224.057	191.671	69.891	94.318	60.663	49.679
hsa-miR-4489	16.5911247104339	0.344648676771594	0.23243413029024	1.48277998735053	0.13813287483751	0.4760151990187	nowine_vs_all	FALSE	13.125	15.87	20.495	9.686	11.364	14.677
hsa-miR-4489-3p:Novel	22.074179331266	-1.27308560125853	0.292808089077925	-4.34784983320498	1.37478677250053e-05	0.00301176502232795	nowine_vs_all	TRUE	39.916	22.598	7.171	12.637	9.373	4.904
hsa-miR-4490	1.51923214388424	0.221584381248066	0.348926355104454	0.635046272677605	0.525398236396333	0.807717489236869	nowine_vs_all	FALSE	2.118	1.433	1.455	0.82	0.878	0.362
hsa-miR-4490-5p:Novel	0.99657334183393	-0.192486062094736	0.504264915246921	-0.381716150132083	0.702671919510694	0.890894630602885	nowine_vs_all	FALSE	1.932	0.923	0.797	1.006	0	0
hsa-miR-4491	1.35509196009268	0.483206482371978	0.381387676522705	1.26696931263643	0.205166262856569	0.549810172753021	nowine_vs_all	FALSE	1.028	1.348	1.449	1.006	0.495	0.709
