ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_40	Average40_60	Average60_	Median_40	Median40_60	Median60_
has-miR-548o	0.581102944228438	0.4137523288434	0.933495237184297	0.443229180355972	0.657599974425793	NA	60__vs_40_60	NA	0.659381313530952	0.550260951966736	0.489735988025926	0	0	0
has-miR-548x	1.91458455148291	1.04132084823254	0.741232428995728	1.40485063456194	0.160065698590288	NA	60__vs_40_60	NA	1.236050759533	1.23678376192912	4.09600433672033	0	0.339934266415633	0.407643929732835
hsa-let-7a-2-3p	0.510410667426444	0.250153746901223	0.830830630522609	0.30108873904164	0.763346827785683	NA	60__vs_40_60	NA	0.542924919755699	0.492535696028897	0.359192122284347	0	0	0
hsa-let-7a-3p	721.349463558236	-0.141353422003912	0.495516286527511	-0.285264936485724	0.775441173890084	0.952561442020966	60__vs_40_60	FALSE	1072.95732832385	867.734889428056	213.939138654015	22.6631230566824	16.2581190544851	13.4904666276253
hsa-let-7a-5p	17.9512808805938	-0.43091455213761	0.432562652711539	-0.9961899147705	0.319157878649716	0.799708093662073	60__vs_40_60	FALSE	14.2058269996081	25.4123103920215	10.3117441895266	7.18211345138122	7.80745339763977	5.86290334649813
hsa-let-7b-3p	0.606591480187684	-0.234287645394277	1.12142358390586	-0.208919848625143	0.834510809093756	NA	60__vs_40_60	NA	0.599797153624725	0.784017860936596	0.25871269493699	0	0	0
hsa-let-7b-5p	438.698457124774	0.000757926128259832	0.544048632909508	0.0013931220159612	0.998888449811697	0.999796793615072	60__vs_40_60	FALSE	587.914222427801	585.312530879702	135.245759044656	16.8703732987633	13.0070507323804	11.3657922536218
hsa-let-7c-3p	5.50667541683246	-0.678817492722197	0.598348821057673	-1.13448454953464	0.25659135109008	NA	60__vs_40_60	NA	6.83132822829577	5.45268793924433	2.04208385229194	0.398203372957625	0.0487612183383278	0.499138694257841
hsa-let-7c-5p	32.6764061115394	-0.566235897242045	0.520681575312386	-1.08748979047766	0.276820408163265	0.722353846153844	60__vs_40_60	FALSE	52.1583255035249	31.3419358471488	12.7507546360221	4.00985146186384	1.84606303663741	3.64947802752796
hsa-let-7d-3p	5.58240542391933	-0.235604998198774	0.543779707603782	-0.433272876689331	0.664816540402201	NA	60__vs_40_60	NA	8.19565876661493	4.27705538815035	3.47123234388131	1.53373277157152	1.63945592233768	0.832277254105627
hsa-let-7d-5p	84.7263620575351	-0.0145535389556117	0.505268935236668	-0.0288035498339014	0.977021269697943	0.990497425142053	60__vs_40_60	FALSE	122.908229771835	102.107899324561	27.2787141040671	2.94625695294641	4.20727325598	4.92554249592795
hsa-let-7e-3p	0.0926959525265536	0.10738421795562	2.18083312385336	0.049239997678447	0.960728036371668	NA	60__vs_40_60	NA	0.0929606342593631	0.110244468764525	0.034300818044405	0	0	0
hsa-let-7e-5p	8.28688404330971	-0.524770842217604	0.507993705590344	-1.03302626871678	0.301591605666202	NA	60__vs_40_60	NA	12.2834831136075	6.97250535315012	4.84013151196038	2.02828194062839	2.22419718550946	3.08132883720205
hsa-let-7f-1-3p	0.148231312069842	-0.123425300657013	2.36415275613872	-0.0522069905747542	0.958363762858528	NA	60__vs_40_60	NA	0.105982771878246	0.138731121935595	0.232538889777647	0	0	0
hsa-let-7f-2-3p	0.575557015736163	-0.0935100624816619	0.704530587444592	-0.132726760410549	0.894409478353825	NA	60__vs_40_60	NA	0.748849303849792	0.408302137003873	0.400897657547084	0	0	0
hsa-let-7f-5p	2.21317899747824	-0.884988721460655	0.566493722910115	-1.56222158458246	0.118235797446761	NA	60__vs_40_60	NA	3.03863284886796	1.80854393110289	0.899973933155954	1.14460039262269	1.19370682556493	0.499138694257841
hsa-let-7g-3p	2.96451879005013	-0.216234290717632	0.551367635865699	-0.392178061699476	0.69492665263956	NA	60__vs_40_60	NA	4.44498026087552	2.06678308020758	1.19121583448721	0.509827382148574	0.137942038942478	0
hsa-let-7g-5p	494.25023297281	0.243378422461346	0.589674313768822	0.412733634106981	0.679801779652394	0.940110959900939	60__vs_40_60	FALSE	672.731013678369	651.060313278167	152.775036281877	9.19429357435391	8.58317580062974	6.31872034084558
hsa-let-7i-3p	0.309460606375863	-0.491921206492422	1.07962931816985	-0.455638984801106	0.648649604439759	NA	60__vs_40_60	NA	0.235858957791204	0.42107982812072	0.224013765613628	0	0	0
hsa-let-7i-5p	547.749131005243	0.358421906034325	0.561371872591101	0.638474999433035	0.523164523255685	0.873403904016932	60__vs_40_60	FALSE	708.610159671538	775.598934957163	149.175835959427	10.2086537613585	6.22653948001687	9.43315995055805
hsa-miR-1-2-5p:Novel	9.96620767359249	-0.164578001405943	0.47854835594505	-0.343910911742513	0.730913285481071	NA	60__vs_40_60	NA	13.6507306778973	7.25106001593191	4.80533789678313	3.45020682290327	4.04135568949694	4.18823810931113
hsa-miR-1-3p	1.95760720065832	-0.286576683360805	0.467512765870118	-0.612981514691772	0.53988856255851	NA	60__vs_40_60	NA	1.67586034230496	2.22398358478509	1.6684482263751	0.645140160522901	1.37693288334445	1.24511737156501
hsa-miR-1-5p	12.2163827187717	-0.0407841075534111	0.413370296307635	-0.0986624049132429	0.921406319707967	NA	60__vs_40_60	NA	15.3554608794078	8.90228927875899	7.27840922761197	7.33352110838691	5.65872406099073	4.88627779419632
hsa-miR-100-3p	0.264208039986053	-0.107545373343289	1.11886080320159	-0.0961204226974004	0.923424931439546	NA	60__vs_40_60	NA	0.251759261799512	0.261068747487162	0.23124615187147	0	0	0
