"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-let-7a-3p","SHOC2","8036","ENSG00000108061","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","SHOC2","8036","ENSG00000108061","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","SHOC2","8036","ENSG00000108061","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","HAT1","8520","ENSG00000128708","PAR-CLIP","22100165"
"mirtarbase","hsa-let-7a-3p","SPAG9","9043","ENSG00000008294","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","MYOM2","9172","ENSG00000036448","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","MYOM2","9172","ENSG00000274137","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","NOLC1","9221","ENSG00000166197","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","COPB2","9276","ENSG00000184432","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","ZNF264","9422","ENSG00000083844","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","ZNF264","9422","ENSG00000083844","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","MTFR1","9650","ENSG00000066855","PAR-CLIP","23592263"
"mirtarbase","hsa-let-7a-3p","ZNF256","10172","ENSG00000152454","PAR-CLIP","22012620"
"mirtarbase","hsa-let-7a-3p","ABCC4","10257","ENSG00000125257","PAR-CLIP","22012620"
"mirtarbase","hsa-let-7a-3p","SEMA4D","10507","ENSG00000187764","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","SEC24A","10802","ENSG00000113615","PAR-CLIP","23592263"
"mirtarbase","hsa-let-7a-3p","RUVBL2","10856","ENSG00000183207","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","ZNF652","22834","ENSG00000198740","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","CNKSR2","22866","ENSG00000149970","HITS-CLIP","27418678"
"mirtarbase","hsa-let-7a-3p","PHF8","23133","ENSG00000172943","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","PHF8","23133","ENSG00000172943","HITS-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","DIP2A","23181","ENSG00000160305","HITS-CLIP","23706177"
"mirtarbase","hsa-let-7a-3p","TTC33","23548","ENSG00000113638","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","POLA2","23649","ENSG00000014138","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","MGAT4C","25834","ENSG00000182050","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","MGAT4C","25834","ENSG00000283530","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","MGAT4C","25834","ENSG00000285137","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","ARMC8","25852","ENSG00000114098","CLASH","23622248"
"mirtarbase","hsa-let-7a-3p","SYF2","25949","ENSG00000117614","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","TES","26136","ENSG00000135269","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","GREM1","26585","ENSG00000166923","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","GREM1","26585","ENSG00000276886","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","GREM1","26585","ENSG00000282046","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","HBP1","26959","ENSG00000105856","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","HBP1","26959","ENSG00000283847","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","HBP1","26959","ENSG00000105856","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","HBP1","26959","ENSG00000283847","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","RNF11","26994","ENSG00000123091","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","BRPF3","27154","ENSG00000096070","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","SENP1","29843","ENSG00000079387","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","SENP1","29843","ENSG00000079387","PAR-CLIP//HITS-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","SENP1","29843","ENSG00000079387","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","SENP1","29843","ENSG00000079387","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","NRBF2","29982","ENSG00000148572","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","NRBF2","29982","ENSG00000148572","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","NRBF2","29982","ENSG00000148572","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","MRPL35","51318","ENSG00000132313","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","TRIM33","51592","ENSG00000197323","CLASH","23622248"
"mirtarbase","hsa-let-7a-3p","PPIL3","53938","ENSG00000240344","PAR-CLIP","22012620"
"mirtarbase","hsa-let-7a-3p","SETD4","54093","ENSG00000185917","CLASH","23622248"
"mirtarbase","hsa-let-7a-3p","OCIAD1","54940","ENSG00000109180","PAR-CLIP","22012620"
"mirtarbase","hsa-let-7a-3p","OCIAD1","54940","ENSG00000109180","PAR-CLIP","26701625"
"mirtarbase","hsa-let-7a-3p","SLC35A5","55032","ENSG00000138459","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","NDUFAF7","55471","ENSG00000003509","HITS-CLIP","19536157"
"mirtarbase","hsa-let-7a-3p","RUFY2","55680","ENSG00000204130","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","SENP7","57337","ENSG00000138468","CLASH","23622248"
"mirtarbase","hsa-let-7a-3p","ARID1B","57492","ENSG00000049618","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","ARID1B","57492","ENSG00000049618","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","SIPA1L2","57568","ENSG00000116991","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","CREBZF","58487","ENSG00000137504","PAR-CLIP","24398324"
"mirtarbase","hsa-let-7a-3p","CREBZF","58487","ENSG00000137504","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","CREBZF","58487","ENSG00000137504","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","PCTP","58488","ENSG00000141179","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","AFAP1","60312","ENSG00000196526","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","AASDHPPT","60496","ENSG00000149313","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","PAPOLG","64895","ENSG00000115421","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","WNK1","65125","ENSG00000060237","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","LIN28A","79727","ENSG00000131914","EMSA//qRT-PCR","26440890"
"mirtarbase","hsa-let-7a-3p","E2F8","79733","ENSG00000129173","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","E2F8","79733","ENSG00000129173","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","KLHL15","80311","ENSG00000174010","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","KLHL15","80311","ENSG00000174010","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","LCOR","84458","ENSG00000196233","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","LCOR","84458","ENSG00000196233","PAR-CLIP","22012620"
"mirtarbase","hsa-let-7a-3p","LCOR","84458","ENSG00000196233","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","LCOR","84458","ENSG00000196233","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","SFT2D3","84826","ENSG00000173349","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","PPIL4","85313","ENSG00000131013","PAR-CLIP","23592263"
"mirtarbase","hsa-let-7a-3p","MYADM","91663","ENSG00000179820","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","MYADM","91663","ENSG00000179820","PAR-CLIP//HITS-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","TP53INP1","94241","ENSG00000164938","PAR-CLIP","22012620"
"mirtarbase","hsa-let-7a-3p","ARAP2","116984","ENSG00000047365","PAR-CLIP","23592263"
"mirtarbase","hsa-let-7a-3p","ANAPC16","119504","ENSG00000166295","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","NCOA7","135112","ENSG00000111912","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","UBXN2B","137886","ENSG00000215114","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","ASB11","140456","ENSG00000165192","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","ASB11","140456","ENSG00000165192","PAR-CLIP//HITS-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","ASB11","140456","ENSG00000165192","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","BRI3BP","140707","ENSG00000184992","PAR-CLIP","22012620"
"mirtarbase","hsa-let-7a-3p","ALG10B","144245","ENSG00000175548","PAR-CLIP","22012620"
"mirtarbase","hsa-let-7a-3p","MIPOL1","145282","ENSG00000151338","CLASH","23622248"
"mirtarbase","hsa-let-7a-3p","C1orf52","148423","ENSG00000162642","HITS-CLIP","19536157"
"mirtarbase","hsa-let-7a-3p","KANSL1L","151050","ENSG00000144445","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","SLC16A14","151473","ENSG00000163053","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","SLC16A14","151473","ENSG00000163053","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","CREBRF","153222","ENSG00000164463","PAR-CLIP","23592263"
"mirtarbase","hsa-let-7a-3p","TOR1AIP2","163590","ENSG00000169905","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","ZNF800","168850","ENSG00000048405","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","ZNF585A","199704","ENSG00000196967","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","ZNF585A","199704","ENSG00000196967","HITS-CLIP","27418678"
"mirtarbase","hsa-let-7a-3p","APOBEC3A","200315","ENSG00000128383","Luciferase reporter assay","26991540"
"mirtarbase","hsa-let-7a-3p","APOBEC3A","200315","ENSG00000262156","Luciferase reporter assay","26991540"
"mirtarbase","hsa-let-7a-3p","USF3","205717","ENSG00000176542","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","SGMS1","259230","ENSG00000198964","PAR-CLIP","26701625"
"mirtarbase","hsa-let-7a-3p","GPRIN3","285513","ENSG00000185477","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","ZNF181","339318","ENSG00000197841","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","ZNF546","339327","ENSG00000187187","HITS-CLIP","19536157"
"mirtarbase","hsa-let-7a-3p","ZNF546","339327","ENSG00000281526","HITS-CLIP","19536157"
"mirtarbase","hsa-let-7a-3p","LANCL3","347404","ENSG00000147036","HITS-CLIP","27418678"
"mirtarbase","hsa-let-7a-3p","IRF2BP2","359948","ENSG00000168264","PAR-CLIP","23592263"
"mirtarbase","hsa-let-7a-3p","IRF2BP2","359948","ENSG00000168264","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","IRF2BP2","359948","ENSG00000168264","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","RBM12B","389677","ENSG00000183808","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","RBM12B","389677","ENSG00000183808","PAR-CLIP","20371350"
