"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-572","ATM","472","ENSG00000149311","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-572","CDKN1A","1026","ENSG00000124762","qRT-PCR//Luciferase reporter assay//Western blot","20190813"
"mirtarbase","hsa-miR-572","CISH","1154","ENSG00000114737","Luciferase reporter assay//Western blot","25893382"
"mirtarbase","hsa-miR-572","FPR3","2359","ENSG00000187474","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-572","IDE","3416","ENSG00000119912","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-572","PFAS","5198","ENSG00000178921","HITS-CLIP","28735896"
"mirtarbase","hsa-miR-572","PPIB","5479","ENSG00000166794","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-572","PPIB","5479","ENSG00000166794","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-572","TERF2","7014","ENSG00000132604","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-572","WNT7A","7476","ENSG00000154764","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-572","ZKSCAN1","7586","ENSG00000106261","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-572","DGKE","8526","ENSG00000153933","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-572","CIB2","10518","ENSG00000136425","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-572","CIB2","10518","ENSG00000136425","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-572","MED29","55588","ENSG00000063322","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-572","MED29","55588","ENSG00000063322","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-572","STK40","83931","ENSG00000196182","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-572","SGPP2","130367","ENSG00000163082","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-572","DHRS13","147015","ENSG00000167536","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-572","SIX5","147912","ENSG00000177045","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-572","ZNF791","163049","ENSG00000173875","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-572","LHFPL4","375323","ENSG00000156959","HITS-CLIP","28735896"
"mirtarbase","hsa-miR-572","TMEM151B","441151","ENSG00000178233","HITS-CLIP","19536157"
