"EntrezID","S_mrna"
"1",0
"1000",0
"10000",4.43797914045748
"100049587",0
"10007",0
"10008",0
"10009",0
"10010",0
"100101267",0
"100113407",0
"100124700",0
"100128264",0
"100128327",0
"100129543",0
"10013",0
"100130958",0
"100131439",0
"100132406",0
"100132963",0
"100134938",0
"100137049",0
"10014",1.77625400973957
"100144748",0
"10015",0
"100170841",0
"10018",0
"10019",0
"10020",0
"10021",0
"10024",0
"10025",1.44033986107437
"100287482",0
"100287932",0
"100288413",0
"100288485",0
"100288695",0
"100288797",0
"100289678",0
"1003",0
"100302736",0
"100303755",0
"100316868",0
"10036",0
"10038",0
"1004",0
"10040",0
"10042",0
"10043",0
"10045",0
"10046",0
"100462977",0
"100462983",0
"100463289",0
"100463482",0
"100463486",0
"100463488",0
"100463489",0
"10049",0
"1005",0
"100505591",0
"100506012",0
"100506658",0
"100506736",0
"100507249",1.77625400973957
"100507421",0
"100507436",0
"100507608",0
"10051",0
"100526737",0
"100526740",0
"100526760",0
"100526767",0
"100526783",0
"100526794",0
"100526842",0
"100528030",0
"100529063",0
"100529241",4.43797914045748
"10053",0
"100532726",0
"100532731",0
"100532736",0
"100533105",0
"100534599",0
"10055",0
"10057",0
"10058",0
"10059",0
"10061",0
"100616113",0
"100616282",0
"100616459",0
"10066",0
"10067",0
"10075",0
"10079",0
"100820829",0
"10085",0
"10086",0
"10087",0
"1009",0
"10090",0
"10092",0
"10094",0
"10095",0
"10096",0
"10097",4.43797914045748
"10099",0
"100996668",0
"100996928",0
"1010",0
"10101",0
"10103",0
"10105",0
"10106",0
"101060200",0
"101060541",0
"10109",0
"10111",0
"10112",0
"10113",0
"10114",0
"10116",4.43797914045748
"10120",0
"10121",0
"10123",0
"10125",0
"10127",0
"10129",0
"10131",0
"10133",0
"10134",0
"10135",0
"10137",0
"10140",0
"10142",0
"10144",0
"10146",0
"10147",0
"10148",0
"10149",0
"10152",0
"10155",0
"10156",1.77625400973957
"10159",0
"10160",0
"10162",0
"10163",0
"10165",0
"10166",0
"10169",0
"1017",0
"10172",0
"10175",0
"10178",0
"10179",0
"10180",0
"10184",0
"10186",0
"1019",0
"10193",1.6909636059233
"10194",0
"10195",0
"10196",0
"10197",0
"10198",0
"10199",0
"102",0
"10201",0
"10203",0
"10206",0
"10207",0
"10208",0
"10209",0
"1021",4.43797914045748
"10210",0
"10211",0
"10212",0
"10217",4.43797914045748
"10218",0
"10220",0
"10224",0
"10225",0
"10226",0
"10227",0
"10228",0
"102288414",0
"10232",0
"10236",0
"10238",0
"10239",0
"10241",0
"10243",0
"10248",0
"10249",1.6909636059233
"1025",1.6909636059233
"10250",0
"10252",0
"10253",0
"10257",0
"1026",0
"10269",0
"1027",1.77625400973957
"10270",0
"10272",0
"10273",0
"10274",0
"10276",0
"10277",0
"10279",0
"10280",0
"10284",0
"10285",0
"10286",0
"10287",1.77625400973957
"10288",0
"1029",0
"10291",0
"10293",0
"10295",0
"10298",0
"10299",0
"103",0
"10301",0
"10308",0
"10309",0
"10311",0
"10313",0
"10314",4.43797914045748
"10316",0
"10317",0
"10318",0
"10319",0
"1032",0
"10320",0
"10322",0
"10327",0
"10329",0
"1033",0
"10333",0
"10336",0
"10342",0
"10349",1.6909636059233
"10351",0
"10352",4.43797914045748
"1036",0
"10360",0
"10365",0
"10369",0
"10370",0
"10376",0
"10379",0
"1038",0
"10380",0
"10381",0
"10382",0
"10383",0
"10384",4.43797914045748
"10389",0
"10390",0
"10391",0
"10393",0
"10395",4.43797914045748
"10397",0
"10399",0
"104",0
"1040",0
"10400",0
"10401",0
"10402",0
"10409",0
"10410",0
"10411",0
"10412",0
"10413",0
"10417",0
"10420",0
"10421",0
"10423",0
"10424",0
"10425",0
"10426",0
"10427",0
"10430",0
"10434",0
"10438",1.44033986107437
"10440",0
"10443",0
"10444",0
"10445",0
"10447",0
"10449",0
"10450",0
"10451",0
"10452",0
"10454",1.6909636059233
"10455",0
"10456",1.44033986107437
"10459",0
"10460",0
"10463",0
"10471",0
"10472",0
"10473",0
"10475",0
"10476",0
"10477",0
"10479",0
