"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirecords","hsa-miR-143-3p","MAPK7","5598","ENSG00000166484","Western blot","15504739"
"mirecords","hsa-miR-143-3p","MAPK7","5598","ENSG00000166484","Western blot","17504027"
"mirecords","hsa-miR-143-3p","KRAS","3845","ENSG00000133703","Western blot//Luciferase activity assay","19137007"
"mirecords","hsa-miR-143-3p","KRAS","3845","ENSG00000133703","Western blot//Luciferase activity assay","19137007"
"mirecords","hsa-miR-143-3p","ERK5","","","Western blot//Luciferase activity assay","19855844"
"mirecords","hsa-miR-143-3p","DNMT3A","1788","ENSG00000119772","Western blot//Luciferase activity assay","19638978"
"mirecords","hsa-miR-143-3p","FNDC3B","64778","ENSG00000075420","Western blot//Luciferase activity assay","19472311"
"mirecords","hsa-miR-143-3p","ERK5","","","Western blot","19439999"
"mirecords","hsa-miR-143-3p","Bcl-2","","","Western blot//Luciferase activity assay","20878132"
"mirecords","hsa-miR-143-3p","Bcl-2","","","Western blot//Luciferase activity assay","20878132"
"mirtarbase","hsa-miR-143-3p","ABAT","18","ENSG00000183044","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-143-3p","ADH5","128","ENSG00000197894","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-143-3p","JAG1","182","ENSG00000101384","Immunoprecipitaion//Luciferase reporter assay//Microarray//qRT-PCR//Western blot","21685392"
"mirtarbase","hsa-miR-143-3p","AKT1","207","ENSG00000142208","Luciferase reporter assay//qRT-PCR//Western blot","23104321"
"mirtarbase","hsa-miR-143-3p","AKT2","208","ENSG00000105221","Luciferase reporter assay//Microarray//qRT-PCR//Western blot","28404925"
"mirtarbase","hsa-miR-143-3p","AIRE","326","ENSG00000160224","HITS-CLIP","28735896"
"mirtarbase","hsa-miR-143-3p","XIAP","331","ENSG00000101966","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-143-3p","XIAP","331","ENSG00000101966","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-143-3p","BCL2","596","ENSG00000171791","Western blot","23276710"
"mirtarbase","hsa-miR-143-3p","BCL2","596","ENSG00000171791","Western blot","19843160"
"mirtarbase","hsa-miR-143-3p","BCL2","596","ENSG00000171791","Luciferase reporter assay//Microarray//qRT-PCR//Western blot","22160209"
