ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	18_37.x	37_53.x	53_81.x	18_37.y	37_53.y	53_81.y
hsa-miR-197-5p	56.0772923277956	-0.381840383081939	0.194250086391637	-1.9657153835808	0.0493314968007991	0.276073051065887	37_53_vs_18_37	FALSE	58.155	55.379	54.622	41.268	37.131	37.184
hsa-miR-1972	1.02993916118707	-0.754101415473153	0.368236104681665	-2.04787473549087	0.0405722749841173	NA	37_53_vs_18_37	NA	1.399	0.789	0.904	0.383	0	0.139
hsa-miR-1972-5p:Novel	1.07094314077182	-0.940440422652221	0.340784200765128	-2.75963621711554	0.00578657576198099	NA	37_53_vs_18_37	NA	1.276	0.826	1.128	0.212	0.041	0.501
hsa-miR-1973	0.7832109056726	-0.193324893886145	0.333349335753434	-0.579946839999526	0.561950467321726	NA	37_53_vs_18_37	NA	0.87	0.743	0.734	0	0	0
hsa-miR-1973-5p:Novel	0.268181886105903	-0.374164479075837	0.657070085794535	-0.569443788668897	0.569055007452514	NA	37_53_vs_18_37	NA	0.295	0.2	0.317	0	0	0
hsa-miR-1976	4.61503819962302	-0.173647041664735	0.215076572983302	-0.807373110218827	0.419451554214549	0.708864054130427	37_53_vs_18_37	FALSE	5.553	4.561	3.66	3.98	3.421	2.594
hsa-miR-1976-5p:Novel	1.57859144194929	-0.213668551549891	0.319090047191475	-0.669618352031129	0.503101112055598	0.759349006219138	37_53_vs_18_37	FALSE	1.466	1.145	2.194	0.677	0.45	0.813
hsa-miR-198	0.55210057141676	-0.341101429855976	0.396571372259642	-0.860126206065753	0.389719476889853	NA	37_53_vs_18_37	NA	0.51	0.486	0.673	0	0	0.049
hsa-miR-198-3p:Novel	1.48449907127871	-0.196788254486215	0.320722015037997	-0.613578879089108	0.539493643967041	0.782048918651048	37_53_vs_18_37	FALSE	1.254	1.356	1.881	0.605	0.636	0.886
hsa-miR-199a-3p, hsa-miR-199b-3p	36.5834305116472	-0.546142767838155	0.213349335750424	-2.55985220632246	0.010471668601464	0.142706925592045	37_53_vs_18_37	FALSE	46.257	29.802	33.828	21.81	19.4	19.985
hsa-miR-199a-5p	5.0760669657878	-0.0525352638941511	0.323984236589534	-0.16215376540282	0.871184767720354	0.961420478124534	37_53_vs_18_37	FALSE	8.416	3.718	3.004	1.583	1.532	1.602
hsa-miR-199b-5p	0.459234487402753	-0.349227779276268	0.58477062427782	-0.597204724001923	0.550370705617528	NA	37_53_vs_18_37	NA	0.33	0.58	0.462	0	0	0
hsa-miR-19a-3p	2.80104790918278	0.0468555358883045	0.26552507847349	0.176463692837144	0.859929669969641	0.956484003261823	37_53_vs_18_37	FALSE	2.802	3.117	2.44	2.056	1.703	1.028
hsa-miR-19a-5p	0.316564735101199	-0.233231403399083	0.585296545300785	-0.398484162039987	0.690273330615689	NA	37_53_vs_18_37	NA	0.272	0.233	0.46	0	0	0
hsa-miR-19b-3p	3.502874040669	0.010703857603136	0.266120857552393	0.0402217913379023	0.967916304710401	0.992523130472511	37_53_vs_18_37	FALSE	3.762	3.735	2.958	2.546	1.865	1.688
hsa-miR-19b-5p	1.27931528306264	0.30803514248155	0.357000679146999	0.862841894916151	0.388224401213909	0.683972092283575	37_53_vs_18_37	FALSE	1.293	1.583	0.918	0.529	0.383	0.353
hsa-miR-200a-3p	88.9301496559487	-0.695627680490921	0.302860300971298	-2.29685989963025	0.0216267631977045	0.206214630005794	37_53_vs_18_37	FALSE	135.649	55.272	76.65	19.203	12.147	16.303
hsa-miR-200a-5p	6.09066466894645	-0.531128716895372	0.379236821440823	-1.40051990436338	0.161357687195387	0.462940537069752	37_53_vs_18_37	FALSE	8.737	5.563	3.824	1.137	0.835	0.664
hsa-miR-200b-3p	167.235143518842	-0.647793964286695	0.327566143537193	-1.97759743205312	0.0479741392030084	0.274968512568546	37_53_vs_18_37	FALSE	229.708	143.316	126.797	21.46	13.293	12.607
hsa-miR-200b-5p	5.29817114149381	-0.514487804093703	0.382117836140136	-1.34641138265271	0.178169882034887	0.486580817630213	37_53_vs_18_37	FALSE	10.089	2.206	3.63	0.975	0.831	0.599
hsa-miR-200c-3p	178.750743855921	-0.734950701334878	0.348391657655892	-2.10955309974957	0.034896867708409	0.244904963797936	37_53_vs_18_37	FALSE	326.846	101.84	105.908	16.806	11.559	9.159
hsa-miR-200c-5p	3.17698909449701	-0.220014265066964	0.316446277239068	-0.695265771449564	0.486888760728995	0.748364781910222	37_53_vs_18_37	FALSE	6.125	1.805	1.546	1.326	0.966	0.665
hsa-miR-202-3p	9.97549702522004	-0.0171833536316347	0.245070292254853	-0.0701160204834839	0.944101315582872	0.984187792782633	37_53_vs_18_37	FALSE	9.283	8.334	12.595	5.954	5.257	6.296
hsa-miR-202-5p	0.689735716890462	-0.0457207154310069	0.391768404094017	-0.116703427211641	0.907095074315167	NA	37_53_vs_18_37	NA	0.667	0.618	0.796	0	0	0
hsa-miR-203a-3p	12.6215031280467	-0.918933798321101	0.322933122640074	-2.84558545995079	0.00443298624656505	0.091955042141137	37_53_vs_18_37	FALSE	13.915	7.667	16.863	4.341	2.45	4.214
hsa-miR-203a-5p	10.964434817158	-0.193372722768896	0.197698619700038	-0.978118729722515	0.328015605383418	0.640723815848943	37_53_vs_18_37	FALSE	17.279	8.326	7.128	7.996	6.326	5.382
hsa-miR-203b-3p	1.00894866483429	-0.072250093655481	0.33856685299352	-0.213399785054752	0.831015148143905	NA	37_53_vs_18_37	NA	0.877	1.199	0.936	0.266	0.454	0.156
hsa-miR-203b-5p	0.837936160593126	-0.345906206376812	0.488328198384765	-0.708347802811634	0.478729298346164	NA	37_53_vs_18_37	NA	1.128	0.779	0.591	0	0	0
hsa-miR-204-3p	7.32829033656684	-0.200166428719725	0.23188712599781	-0.863206302887271	0.388024048899652	0.683972092283575	37_53_vs_18_37	FALSE	8.119	6.328	7.611	4.393	3.167	4.412
hsa-miR-204-5p	0.85583011279911	-0.202892307819706	0.424507376956874	-0.477947660825499	0.632687457733271	NA	37_53_vs_18_37	NA	1.433	0.539	0.591	0	0	0
hsa-miR-205-3p	1.23007121006014	-0.195848930299756	0.318355133750042	-0.615190111724498	0.538429177265491	0.782048918651048	37_53_vs_18_37	FALSE	1.188	1.415	1.066	0.598	0.274	0.666
hsa-miR-205-5p	2.27519908419613	-0.195965695979539	0.332873525052792	-0.588709167989433	0.556056386750031	0.791520009160979	37_53_vs_18_37	FALSE	2.164	2.134	2.556	1.035	1.093	1.247
hsa-miR-2052	0.697185207627264	0.021817241318755	0.552321942662079	0.0395009497786749	0.968490996295425	NA	37_53_vs_18_37	NA	0.911	0.49	0.702	0	0	0
hsa-miR-2052-3p:Novel	1.22100776167336	-0.459214301878958	0.465791132536923	-0.985880300850416	0.324191854634182	NA	37_53_vs_18_37	NA	2.017	0.91	0.712	0	0	0
hsa-miR-2053	5.87094076954882	-0.198558018568893	0.232496800065266	-0.85402473717124	0.393091283201153	0.68456654652228	37_53_vs_18_37	FALSE	7.266	5.29	5.022	4.212	3.376	3.638
hsa-miR-2053-5p:Novel	0.169389320666776	-0.609612797320795	0.921482780408082	-0.661556363593496	0.508255581048544	NA	37_53_vs_18_37	NA	0.132	0.071	0.322	0	0	0
hsa-miR-2054	0.131126001042445	-1.05780757304806	1.87709775670227	-0.563533555602581	0.573071617269448	NA	37_53_vs_18_37	NA	0.345	0.02	0.026	0	0	0
hsa-miR-2054-3p:Novel	0.162631588366741	-0.0844359919655936	0.832530223936253	-0.101420932883824	0.919216320112375	NA	37_53_vs_18_37	NA	0.141	0.169	0.18	0	0	0
