ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	_40.x	40_60.x	60_.x	_40.y	40_60.y	60_.y
hsa-miR-4794	0.774733385908715	-0.0324814140436761	0.446064299954381	-0.0728177844472153	0.941951118584099	0.979657621065185	40_60_vs__40	FALSE	0.788	0.883	0.5	0	0	0
hsa-miR-4794-3p:Novel	1.33785856755373	-0.297958278917564	0.335352487830882	-0.88849282390839	0.374275714235045	0.709473582700882	40_60_vs__40	FALSE	1.44	0.883	2.179	0.297	0	0
hsa-miR-4795-3p	2.34265889388142	0.0986465473371625	0.438381318673205	0.225024523480435	0.821960196480156	0.942177554168563	40_60_vs__40	FALSE	3.097	2.401	0.718	0	0	0
hsa-miR-4795-5p	0.306477475858358	-0.315207386969303	0.526664149794734	-0.598497898693417	0.54950776059624	NA	40_60_vs__40	NA	0.315	0.301	0.302	0	0	0
hsa-miR-4796-3p	2.76988803534625	-0.434371237202284	0.324121733408457	-1.34014844556841	0.180197088573604	0.5273497206965	40_60_vs__40	FALSE	3.934	1.901	2.464	0.812	0.215	0.97
hsa-miR-4796-5p	0.215274379045592	-1.46514251890065	0.855856428153679	-1.71190221946614	0.0869146896068541	NA	40_60_vs__40	NA	0.432	0.077	0.105	0	0	0
hsa-miR-4797-3p	0.206396931725429	-0.49250812131078	0.618812373475301	-0.795892490877024	0.426094526191594	NA	40_60_vs__40	NA	0.21	0.242	0.118	0	0	0
hsa-miR-4797-5p	0.579616391099615	-0.127578640718099	0.321929987490256	-0.396293124827212	0.691888798549168	NA	40_60_vs__40	NA	0.618	0.632	0.382	0	0	0
hsa-miR-4798-3p	0.31596318127521	-0.38383019400726	0.528962431056876	-0.725628459549311	0.46806656945688	NA	40_60_vs__40	NA	0.403	0.248	0.299	0	0	0
hsa-miR-4798-5p	0.843420922524042	-0.855836279106694	0.38314932469769	-2.23368860112689	0.0255035695401537	0.267060192066857	40_60_vs__40	FALSE	1.218	0.651	0.545	0.293	0	0
hsa-miR-4799-3p	1.32892969189841	-0.595204714564845	0.349093513018322	-1.70500078737815	0.0881942775729627	0.408900741474645	40_60_vs__40	FALSE	1.56	0.916	1.82	0.393	0.351	0.843
hsa-miR-4799-5p	0.182952510409279	-0.419035588627805	0.646873368322316	-0.647786118811144	0.517123294732767	NA	40_60_vs__40	NA	0.2	0.18	0.156	0	0	0
hsa-miR-4800-3p	24.4473182193546	-0.673822004125999	0.299833129996127	-2.24732338329225	0.0246193675309527	0.264566068110537	40_60_vs__40	FALSE	25.685	18.112	36.541	10.336	7.045	12.249
hsa-miR-4800-5p	4.79715934005463	-0.611488858448067	0.22728477576726	-2.69040834954221	0.00713646345357566	0.166557799585995	40_60_vs__40	FALSE	6.705	3.41	4.208	3.395	2.355	2.982
hsa-miR-4801	0.242158698359365	-0.676371190235472	0.604263941869314	-1.11933071522205	0.26299907685981	NA	40_60_vs__40	NA	0.312	0.199	0.203	0	0	0
hsa-miR-4801-5p:Novel	0.370146756681994	-0.0211760296897759	0.491079233309641	-0.0431214114819304	0.965604751278061	NA	40_60_vs__40	NA	0.522	0.288	0.259	0	0	0
hsa-miR-4802-3p	13.5307730158333	-0.241724503641941	0.242360227398406	-0.997376946855973	0.318581576857688	0.667050552307325	40_60_vs__40	FALSE	17.563	11.592	10.008	10.478	8.368	4.943
hsa-miR-4802-5p	0.693009948144287	-0.497489687242164	0.379889080460571	-1.30956564121037	0.190342818163841	0.538222380263778	40_60_vs__40	FALSE	0.786	0.666	0.571	0	0	0
hsa-miR-4803	2.94399069484902	0.135644422398326	0.303825995462911	0.446454300895673	0.655269116195768	0.878073021843653	40_60_vs__40	FALSE	2.389	3.31	3.201	1.386	1.196	0.884
hsa-miR-4803-3p:Novel	0.84709691620263	-0.278467111244203	0.309346528940155	-0.900178554445894	0.368025236919825	0.708183333772725	40_60_vs__40	FALSE	0.819	0.794	1.025	0.504	0	0.478
hsa-miR-4804-3p	0.152041839357038	-0.751819620666732	2.23049855285804	-0.337063487310221	0.736069041375498	NA	40_60_vs__40	NA	0.344	0.051	0.005	0	0	0
hsa-miR-4804-5p	3.54215988185507	-0.0701727593496189	0.231255473555422	-0.30344258784777	0.761552594215742	0.92017645580136	40_60_vs__40	FALSE	4.133	3.083	3.427	2.893	1.649	2.177
hsa-miR-483-3p	0.806303289046009	-0.0792007055114473	0.428628799808038	-0.184776910807014	0.853404018504758	0.955144748283059	40_60_vs__40	FALSE	0.958	0.671	0.817	0	0	0
hsa-miR-483-5p	15.1941412357789	0.0636771468731021	0.257875786967375	0.246929529995611	0.804962762198852	0.937184083799528	40_60_vs__40	FALSE	14.577	16.117	14.295	8.022	7.109	6.155
hsa-miR-484	1.54825264674188	-0.294570397296885	0.364090988134949	-0.809057095331632	0.418482305612171	0.744902526286419	40_60_vs__40	FALSE	2.38	1.126	0.874	0.612	0.312	0.132
hsa-miR-484-3p:Novel	26.7669666844015	0.038173866079722	0.178530938658509	0.213822132827859	0.830685764586101	0.946507486830832	40_60_vs__40	FALSE	27.423	27.513	23.757	18.522	17.798	14.396
hsa-miR-485-3p	0.462969358760398	-0.129873014344316	0.651185815536717	-0.199440791315875	0.841917954497511	NA	40_60_vs__40	NA	0.357	0.507	0.573	0	0	0
hsa-miR-485-5p	3.81690253241558	-0.0315692808943352	0.27767594144952	-0.113691091599574	0.909482674605027	0.974766456314189	40_60_vs__40	FALSE	3.632	4.039	3.671	1.918	1.466	2.239
hsa-miR-486-3p	84.2732822040582	1.86479155319352	0.396379607638178	4.70455976356819	2.5441433474138e-06	0.00233552359292587	40_60_vs__40	TRUE	82.587	110.745	26.843	3.562	6.632	7.311
hsa-miR-486-5p	60.3487678979944	-0.0593332165398132	0.394070089802184	-0.150565135683343	0.880318765488461	0.967051408119355	40_60_vs__40	FALSE	50.653	87.97	16.116	1.577	1.721	1.93
hsa-miR-487a-3p	0.185451405147552	-0.502398121741761	1.01589739858514	-0.494536281362132	0.620927489801452	NA	40_60_vs__40	NA	0.271	0.172	0.048	0	0	0
hsa-miR-487a-5p	1.13426131671317	0.338275754121681	0.420226231902109	0.80498485920432	0.420828417033179	0.746753518369442	40_60_vs__40	FALSE	0.918	1.469	0.794	0	0	0
hsa-miR-487b-3p	0.345029241341425	-0.383463560562867	0.565427371356507	-0.678183582876271	0.497655300423382	NA	40_60_vs__40	NA	0.423	0.291	0.315	0	0	0
hsa-miR-487b-5p	0.937536207577081	-0.0895521248034417	0.48611672415638	-0.184219386730322	0.853841351339467	0.955144748283059	40_60_vs__40	FALSE	0.857	1.119	0.68	0	0	0
hsa-miR-488-3p	0.496029588907644	-0.217706323805104	0.473007269311035	-0.460259995839403	0.645329611697107	NA	40_60_vs__40	NA	0.498	0.453	0.592	0	0	0
hsa-miR-488-5p	0.178435321746589	-0.976502540118136	0.755520915445329	-1.29248908952117	0.196187821916043	NA	40_60_vs__40	NA	0.311	0.101	0.093	0	0	0
hsa-miR-489-3p	3.12350314757727	-0.480110911419197	0.307580945816734	-1.56092540174859	0.11854135306035	0.451213569438263	40_60_vs__40	FALSE	3.654	2.687	3.077	1.868	1.077	1.554
hsa-miR-489-5p	0.62284963106449	-0.432029033553447	0.486628782311525	-0.887800001268472	0.374648342253921	NA	40_60_vs__40	NA	0.967	0.379	0.502	0	0	0
hsa-miR-490-3p	1.82899569433669	0.0393763417643503	0.311650286967787	0.126347843756102	0.899456585837151	0.972678060358575	40_60_vs__40	FALSE	2.536	1.421	1.368	0.812	0.698	0.276
hsa-miR-490-5p	0.13969910871168	-0.275063922133459	0.891336832996582	-0.308597055513484	0.757628060973901	NA	40_60_vs__40	NA	0.199	0.141	0.02	0	0	0
hsa-miR-491-3p	0.353694765282116	-0.184038573896416	0.718937914506016	-0.255986741251321	0.797961075250048	NA	40_60_vs__40	NA	0.213	0.536	0.213	0	0	0
hsa-miR-491-5p	8.68674836108622	0.35616469079798	0.393738285884149	0.904572157615313	0.365692091053037	0.707788242491657	40_60_vs__40	FALSE	9.598	8.284	7.81	2.367	1.172	1.914
hsa-miR-492	2.19286381287997	-0.00172965561234245	0.298502438384775	-0.00579444383001283	0.99537672860111	0.998640258858819	40_60_vs__40	FALSE	1.987	2.594	1.68	1.358	0.742	0.784
hsa-miR-492-3p:Novel	6.42474504472288	-0.216522407201763	0.234815308380757	-0.922096641376839	0.356478168712999	0.70311950941192	40_60_vs__40	FALSE	7.643	4.844	7.643	4.05	2.835	4.213
