ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.28.x	light.28.x	heavy.28.x	abstemious.28.y	light.28.y	heavy.28.y
hsa-miR-188-3p	0.48556357949409	0.564604204578841	0.688995561651933	0.819459857223388	0.412524096018596	NA	heavy.28_vs_abstemious.28	NA	0.39	0.429	0.712	0	0	0
hsa-miR-188-5p	1.38294827029994	0.341084665081139	0.518228423529178	0.658174367894227	0.510426093313857	NA	heavy.28_vs_abstemious.28	NA	2.097	1.294	1.405	1.046	0.46	0.505
hsa-miR-18a-3p	0.365041048387729	-0.408706553144066	1.19152111703758	-0.343012429490309	0.731589109429921	NA	heavy.28_vs_abstemious.28	NA	0.924	0.306	0.345	0	0	0
hsa-miR-18a-5p	1.47745556680607	-0.281809712370635	0.588958547879947	-0.478488194772035	0.632302774630508	NA	heavy.28_vs_abstemious.28	NA	3.314	1.312	1.318	0.228	0	0
hsa-miR-18b-3p	0.235825239885443	0.217580214018834	1.19915857474161	0.181444071369557	0.856019028967767	NA	heavy.28_vs_abstemious.28	NA	0.207	0.192	0.395	0	0	0
hsa-miR-18b-5p	0.4801789809156	0.348966541319309	0.867905064551606	0.402079162309761	0.687625767714789	NA	heavy.28_vs_abstemious.28	NA	0.274	0.557	0.302	0	0	0
hsa-miR-1908-3p	3.32911229601432	0.213046290755453	0.502819996898678	0.423702899784202	0.671782500118262	0.974377942189973	heavy.28_vs_abstemious.28	FALSE	6.515	2.847	3.706	1.245	1.666	1.902
hsa-miR-1908-5p	3.08229192479042	-0.355027930983267	0.564972687645399	-0.628398396501067	0.529742987260193	0.963736681777306	heavy.28_vs_abstemious.28	FALSE	2.439	3.45	2.101	1.614	1.015	0.786
hsa-miR-1909-3p	2.00367622206193	0.0611708198232186	0.708291791372906	0.0863638694790591	0.931177167562166	0.993902376519657	heavy.28_vs_abstemious.28	FALSE	1.032	2.222	1.649	0	0.535	0
hsa-miR-1909-5p	2.86095518774708	0.846802325717756	0.593499047531324	1.42679643588318	0.153638578821871	0.850304399233913	heavy.28_vs_abstemious.28	FALSE	1.891	3.033	2.662	1.006	1.174	1.013
hsa-miR-190a-3p	0.0470577152475896	-1.23413131716301	4.35590161298105	-0.283323965234928	0.776928507998119	NA	heavy.28_vs_abstemious.28	NA	0.282	0.029	0.016	0	0	0
hsa-miR-190a-5p	0.312786459601112	0.531755705258615	0.931854866607696	0.570642193665207	0.568242210861267	NA	heavy.28_vs_abstemious.28	NA	0.362	0.218	0.611	0	0	0
hsa-miR-190b-3p	0.0629279611292196	-0.328913073037486	2.9000664970027	-0.113415700425293	0.909700992884636	NA	heavy.28_vs_abstemious.28	NA	0.043	0.082	0.008	0	0	0
hsa-miR-190b-5p	1.85011755331986	0.349813058208663	0.614068339474724	0.569664702967578	0.568905134573125	NA	heavy.28_vs_abstemious.28	NA	1.432	1.242	4.049	0	0.498	0.289
hsa-miR-191-3p	0.957737503463735	1.32620942136197	0.695796554085531	1.90603045326227	0.05664625470934	NA	heavy.28_vs_abstemious.28	NA	0.624	0.874	1.368	0	0	0
hsa-miR-191-5p	46.5228878194762	0.506743419051567	0.586075897523023	0.864637875731206	NA	NA	heavy.28_vs_abstemious.28	NA	211.163	28.962	41.458	6.017	4.1	4.05
hsa-miR-1910-3p	33.5004300313364	-0.581721234165804	0.491287492704512	-1.18407499235012	0.236383378397284	0.876622483205778	heavy.28_vs_abstemious.28	FALSE	107.407	20.026	49.941	10.457	7.652	8.936
hsa-miR-1910-5p	0.70419061687384	-0.407370042238884	0.799893496897492	-0.509280352720618	0.610555727478513	NA	heavy.28_vs_abstemious.28	NA	0.405	0.835	0.382	0	0	0
hsa-miR-1911-3p	0.66281625496565	-0.940444917246636	0.803839776663638	-1.16994075753502	0.242024810440807	NA	heavy.28_vs_abstemious.28	NA	1.798	0.62	0.368	0	0	0
hsa-miR-1911-5p	0.677772804922748	-0.252508490689691	0.846507504886312	-0.298294450116663	0.765478439761983	NA	heavy.28_vs_abstemious.28	NA	0.554	0.783	0.373	0	0	0
hsa-miR-1912-3p	0.2114838213514	0.225785080882148	1.16637239536867	0.193578896224461	0.846505623980873	NA	heavy.28_vs_abstemious.28	NA	0.179	0.216	0.208	0	0	0
hsa-miR-1912-5p	3.37515326541369	0.0381587692036827	0.501577679303392	0.0760774866550659	0.939357451269513	0.995883337286825	heavy.28_vs_abstemious.28	FALSE	1.738	3.79	2.622	1.279	1.68	1.743
hsa-miR-1913	9.7421777371374	0.192521783084137	0.318132610576157	0.605162050930488	0.545071328119914	0.963736681777306	heavy.28_vs_abstemious.28	FALSE	11.205	9.816	8.928	8.199	6.131	4.352
hsa-miR-1913-5p:Novel	1.84056840946042	0.232685736384633	0.485501111410944	0.479269214664434	0.631747120051291	NA	heavy.28_vs_abstemious.28	NA	2.876	1.662	2.038	0.82	0.579	1.077
hsa-miR-1914-3p	1.10842427250173	0.340888718071802	0.492093082896606	0.692732188116179	0.488477635150798	NA	heavy.28_vs_abstemious.28	NA	0.734	1.176	1.028	0	0.673	0.375
hsa-miR-1914-5p	0.410939264161794	0.283654850429605	0.966381300129594	0.293522702055148	0.769122649543202	NA	heavy.28_vs_abstemious.28	NA	0.347	0.444	0.326	0	0	0
hsa-miR-1915-3p	11.2544169257935	0.524903226221465	0.433380104336648	1.21118441056473	0.225824736117907	0.876622483205778	heavy.28_vs_abstemious.28	FALSE	17.716	9.627	14.196	9.659	4.584	8.368
hsa-miR-1915-5p	0.348456611658075	0.238969159909162	0.862469817993471	0.277075388522142	0.781722219382158	NA	heavy.28_vs_abstemious.28	NA	0.282	0.34	0.401	0	0	0
