ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	c.drinker.x	c.no_drinker.x	c.drinker.y	c.no_drinker.y
hsa-miR-3120-5p	1.45467216014845	-0.359047937293616	0.289714591760571	-1.23931602861876	0.21522848505558	NA	c.drinker_vs_c.no_drinker	NA	1.269	1.836	0.512	0.774
hsa-miR-3121-3p	3.08998511928821	-0.0376064862651174	0.346429911310691	-0.108554385857838	0.913555941676522	0.963058972998895	c.drinker_vs_c.no_drinker	FALSE	3.044	3.185	0.36	0.936
hsa-miR-3121-5p	0.183937973990595	-0.481144459260367	1.22414733025527	-0.393044568548817	0.694286563906441	NA	c.drinker_vs_c.no_drinker	NA	0.187	0.177	0	0
hsa-miR-3122	1.41565382142578	-0.0715467719201534	0.286574497420818	-0.249662034005389	0.802848721020253	NA	c.drinker_vs_c.no_drinker	NA	1.251	1.755	0.493	0.812
hsa-miR-3122-3p:Novel	5.50685725200506	-0.398401145089122	0.27399271125893	-1.45405745743588	0.145930377003157	0.375635376015744	c.drinker_vs_c.no_drinker	FALSE	3.962	8.679	1.984	2.984
hsa-miR-3123	6.34271430531529	-0.0247674484974395	0.224799554935491	-0.110175700768388	0.91227003291477	0.962651809880477	c.drinker_vs_c.no_drinker	FALSE	5.564	7.94	3.796	4.21
hsa-miR-3123-5p:Novel	2.47686319037403	-0.0452324042184141	0.37812265287372	-0.119623629726093	0.904781300320287	0.960608591934551	c.drinker_vs_c.no_drinker	FALSE	2.403	2.628	0.374	0.2
hsa-miR-3124-3p	0.154472437468428	-0.605370931091665	0.89143941084414	-0.67909374852343	0.497078463255348	NA	c.drinker_vs_c.no_drinker	NA	0.072	0.325	0	0
hsa-miR-3124-5p	4.38696230385946	-0.794884384469658	0.258450564049214	-3.07557612572398	0.00210096288322921	0.0379190519741844	c.drinker_vs_c.no_drinker	TRUE	2.16	8.958	1.23	2.162
hsa-miR-3125	2698.01619730345	-0.413679095232158	0.172461945740951	-2.39866883940607	0.0164547886043837	0.118165260447588	c.drinker_vs_c.no_drinker	FALSE	2420.834	3266.968	1658.165	1805.512
hsa-miR-3125-3p:Novel	10.5736363428655	-0.155543127902221	0.206262477404383	-0.754102878330479	0.450787449206775	0.693337116104923	c.drinker_vs_c.no_drinker	FALSE	10.078	11.591	5.692	6.258
hsa-miR-3126-3p	0.167953372561906	0.00031236912014222	0.792734450449315	0.000394040047036144	0.999685601538268	NA	c.drinker_vs_c.no_drinker	NA	0.186	0.131	0	0
hsa-miR-3126-5p	1.41103483286844	0.0260843007692268	0.285652813293057	0.0913146993671173	0.927242538380195	NA	c.drinker_vs_c.no_drinker	NA	1.405	1.423	0.584	0.959
hsa-miR-3127-3p	3.69954624041487	-0.58219760694598	0.305689380427523	-1.9045398506541	0.0568399117741964	0.232540587450083	c.drinker_vs_c.no_drinker	FALSE	3.033	5.068	1.379	1.871
hsa-miR-3127-5p	21.2126759013066	-0.34758918929263	0.211570577612102	-1.64289946747656	0.100403735237679	0.32117188850319	c.drinker_vs_c.no_drinker	FALSE	19	25.754	11.625	15.772
hsa-miR-3128	0.250134770029612	0.223571813036735	0.601812260524397	0.371497604322523	0.710266939968528	NA	c.drinker_vs_c.no_drinker	NA	0.248	0.254	0	0
hsa-miR-3128-3p:Novel	2.15228534699808	-0.123182885721098	0.390380445610551	-0.315545737769833	0.75234732967693	0.884794952978137	c.drinker_vs_c.no_drinker	FALSE	1.354	3.791	0.288	0.132
hsa-miR-3129-3p	0.309923367885846	-0.238549729750019	0.518717130663974	-0.459884040160131	0.645599456441813	NA	c.drinker_vs_c.no_drinker	NA	0.319	0.291	0	0
hsa-miR-3129-5p	1.20297764451993	-0.0404328522024046	0.36748733040762	-0.110025159663481	0.912389421520052	NA	c.drinker_vs_c.no_drinker	NA	1.172	1.267	0	0.326
hsa-miR-3130-3p	17.1526070325555	-0.516807892770804	0.230658555977663	-2.24057542795357	0.025053589851019	0.149344518889083	c.drinker_vs_c.no_drinker	FALSE	14.649	22.291	8.582	9.784
hsa-miR-3130-5p	5.28081605512021	-0.00568356265285059	0.225890895536589	-0.0251606539491096	0.979926820612807	0.993941288693803	c.drinker_vs_c.no_drinker	FALSE	5.199	5.449	3.374	3.041
hsa-miR-3131	3.75113830421553	-0.369488484214117	0.349935533604113	-1.05587586493038	0.291024932001152	0.547270083025014	c.drinker_vs_c.no_drinker	FALSE	1.654	8.055	0.491	0.593
hsa-miR-3131-3p:Novel	5.64276741695833	-0.354845163421202	0.251365836147112	-1.41166822373399	0.1580476738996	0.394707512892546	c.drinker_vs_c.no_drinker	FALSE	4.913	7.14	2.611	3.466
hsa-miR-3132	6.57114143181608	-0.980002462465302	0.307009624718539	-3.1920903566582	0.00141247139643412	0.0302268878836901	c.drinker_vs_c.no_drinker	TRUE	5.943	7.86	2.07	2.404
hsa-miR-3132-3p:Novel	5.19570298278607	-0.455543622472948	0.22087517638863	-2.06244825661812	0.03916507901767	0.194914579297242	c.drinker_vs_c.no_drinker	FALSE	4.059	7.529	3.324	3.17
hsa-miR-3133	1.50403391225246	-0.228060349415808	0.309811460957216	-0.73612625146654	0.461653868197678	NA	c.drinker_vs_c.no_drinker	NA	1.431	1.655	0.572	0.723
hsa-miR-3133-3p:Novel	3.93718696921599	-0.140570485234235	0.228782245700679	-0.61442916955255	0.538931765165816	0.756767701742025	c.drinker_vs_c.no_drinker	FALSE	3.494	4.847	2.122	3.046
hsa-miR-3134	3.33885664229949	0.0757795700440162	0.359563015569891	0.210754629265496	0.833078743873807	0.923966274231906	c.drinker_vs_c.no_drinker	FALSE	2.339	5.391	0.873	0.561
hsa-miR-3134-5p:Novel	0.556259772258787	-0.422730900044105	0.49695570262186	-0.850641008471868	0.394968802006495	NA	c.drinker_vs_c.no_drinker	NA	0.535	0.6	0	0
hsa-miR-3135a	7.45086648022998	0.260081214406337	0.203390887799245	1.27872599023732	0.20099356400727	0.443883185233766	c.drinker_vs_c.no_drinker	FALSE	6.65	9.094	4.132	4.714
hsa-miR-3135a-3p:Novel	6.07493526537179	-0.103836868162203	0.200799892315095	-0.517116154620555	0.605075077199147	0.795368958971852	c.drinker_vs_c.no_drinker	FALSE	5.021	8.239	2.763	4.592
hsa-miR-3135b	8.72356191870402	0.000310532444699367	0.219659403182187	0.00141369975608014	0.998872031166729	0.999780579884092	c.drinker_vs_c.no_drinker	FALSE	6.215	13.873	3.779	4.362
hsa-miR-3135b-3p:Novel	9.31033052207341	-0.152759971308815	0.229384972864208	-0.66595457148471	0.505440137834076	0.735437972977542	c.drinker_vs_c.no_drinker	FALSE	4.481	19.223	2.799	3.447
hsa-miR-3136-3p	0.224716703649834	-0.491788639391551	0.656711216646864	-0.748865904716231	0.453938032258675	NA	c.drinker_vs_c.no_drinker	NA	0.147	0.384	0	0
hsa-miR-3136-5p	20.0589071670255	-0.183555531958096	0.231970118014257	-0.791289557161042	0.428775040891765	0.674622776389378	c.drinker_vs_c.no_drinker	FALSE	17.462	25.388	9.85	12.666
hsa-miR-3137	105.122426913998	-0.183522667613135	0.19360329246627	-0.947931542254681	0.343164306035662	0.593191934504295	c.drinker_vs_c.no_drinker	FALSE	86.65	143.04	63.918	50.514
