miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison size sig
hsa-miR-1825-5p:Novel 1.75569389887624 2.17663801136312 0.578490888583229 3.76261416440609 0.000168146509833108 0.00422234569136472 O16_never 14_117 FALSE
hsa-miR-4263 22.1048330904863 1.77105804246113 0.470539850647346 3.76388533303735 0.000167293618269953 0.00422234569136472 O16_never 14_117 TRUE
hsa-miR-652-3p 1.93161299417624 2.38493814074125 0.635970725170389 3.75007535150659 0.000176781440676626 0.00435127387645636 O16_never 14_117 FALSE
hsa-miR-744-5p 3.84321383754243 2.38292437202207 0.63536442219905 3.75048442872291 0.000176493265565093 0.00435127387645636 O16_never 14_117 FALSE
hsa-miR-16-2-3p 5.0189332884032 4.51295181406101 1.20473138057357 3.74602329351826 0.000179659916390776 0.00437877011909282 O16_never 14_117 FALSE
hsa-miR-3127-5p 21.5885393774141 1.47150520408437 0.394074993699881 3.73407404075234 0.000188407066318355 0.00454737831910127 O16_never 14_117 TRUE
hsa-miR-5684 12.1167869753348 1.77374446735057 0.477824377478066 3.71212636055177 0.000205525329975924 0.00486605686019187 O16_never 14_117 FALSE
hsa-miR-4314 5.10193167887679 1.61473129207331 0.437043761215187 3.69466729735165 0.000220174889516465 0.00527970398330298 O16_U16 14_29 FALSE
hsa-miR-5004-5p 2.0354914986535 1.87731234760982 0.513933602296215 3.65283051978336 0.000259365426619115 0.00597020787569556 O16_never 14_117 FALSE
hsa-miR-5193-5p:Novel 24.7663602226528 1.53474499434615 0.419469922785428 3.6587724434565 0.000253426236316545 0.00601567328630182 O16_U16 14_29 TRUE
hsa-miR-12119 12.0951771272694 -2.07915073351225 0.569237540431626 -3.65251865141524 0.000259680728131734 0.00610249711109574 O16_U16 14_29 FALSE
hsa-miR-30e-3p 11.0745552406396 2.48931537795007 0.686005694209663 3.6287094975472 0.000284841548653174 0.00662750137955404 O16_U16 14_29 FALSE
hsa-miR-515-5p 2.45369526725567 -2.14203637110266 0.591261313635203 -3.62282517341268 0.000291402784345432 0.00671369160011535 O16_U16 14_29 FALSE
