ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_modAct	Average_inactive	Average_modInact	Median_modAct	Median_inactive	Median_modInact
hsa-let-7a-2-3p	0.495740013583872	0.767353848277223	0.732403270458516	1.04772040108017	0.294767445331854	NA	modInact_vs_inactive	NA	0.341260779559371	0.426900119482668	0.640055181104726	0	0	0
hsa-let-7a-3p	729.287654254226	1.45457597349469	0.414192650278177	3.51183434210573	NA	NA	modInact_vs_inactive	NA	59.2110842486036	23.853428678523	2189.50915189207	14.6231107961072	12.6311748769707	28.9300081291261
hsa-let-7a-5p	17.9674373755126	0.510288268613775	0.370304088692064	1.3780249373323	0.168195588950233	0.33092740547627	modInact_vs_inactive	FALSE	10.078421655736	17.8521244637794	25.5299216680967	6.5968915797187	5.13873380683451	9.2577218088521
hsa-let-7b-3p	0.611041895686337	1.49390493062031	0.972872806725122	1.53556037366189	0.12464623919328	NA	modInact_vs_inactive	NA	0.387666261748156	0.180087888316117	1.14691819342594	0	0	0
hsa-let-7b-5p	443.587425115276	1.65489714884136	0.450843333505762	3.6706701105523	NA	NA	modInact_vs_inactive	NA	43.800069854557	19.6902715913689	1312.663100836	9.38928430531664	11.1017011834235	21.1733875033387
hsa-let-7c-3p	5.43143779716859	-0.117344582318624	0.527028389369199	-0.222653247311921	0.823805391141535	0.891265178641883	modInact_vs_inactive	FALSE	5.9300499961662	3.23520097528151	6.09252925807645	0.302684741349187	0.26280865108556	0.358519155077063
hsa-let-7c-5p	32.9736786185067	1.48302855628579	0.430738070018302	3.44299392023271	0.000575312247305459	0.0192429066598736	modInact_vs_inactive	TRUE	5.87530237837959	4.65437402590794	90.325783134332	2.37930004617628	2.35089076831038	5.010628316232
hsa-let-7d-3p	5.55116701070545	1.0511586318132	0.4706224851848	2.23354953259497	0.0255127277289514	0.121348404746877	modInact_vs_inactive	FALSE	2.88425839867358	2.27647330151512	11.0123833438674	1.54010737271271	0.642144706682473	2.01089039930732
hsa-let-7d-5p	85.6272259126247	1.34756926067402	0.432604243868702	3.11501627589907	NA	NA	modInact_vs_inactive	NA	8.38540723503048	4.34140617748619	252.411762681254	2.64441441598806	2.8426836228425	5.64617758636306
hsa-let-7e-3p	0.0934976607638798	0.340548241423809	1.97953304784069	0.172034633013722	0.863410301673752	NA	modInact_vs_inactive	NA	0.12644802358162	0.097578519697024	0.0436745181656089	0	0	0
hsa-let-7e-5p	8.35235711255472	1.43652886519323	0.428225818191725	3.35460592091174	0.000794781192060837	0.0225456284988397	modInact_vs_inactive	TRUE	3.65249478582079	3.37155335720873	17.8914174451721	2.01223119478448	1.57928483777268	3.23407242459063
hsa-let-7f-1-3p	0.149332938051286	0.59431719986119	2.16574222510036	0.274417330452912	0.783763926243964	NA	modInact_vs_inactive	NA	0.226196680310022	0.0735328294380587	0.118979490237949	0	0	0
hsa-let-7f-2-3p	0.580384312200835	0.475857505358016	0.614939614329164	0.773828021922327	0.439032499078808	NA	modInact_vs_inactive	NA	0.52729896609001	0.358182967052535	0.714351522909368	0	0	0
hsa-let-7f-5p	2.23171841617483	0.72329740990368	0.470270311157339	1.53804608273833	0.124037347652863	0.277412870349367	modInact_vs_inactive	FALSE	1.9275683245913	1.93208627181087	2.50732018928869	0.436080377331303	0.601505463760014	1.23055012551199
hsa-let-7g-3p	2.91444153775426	0.0583412809556514	0.472511234343118	0.123470674801536	0.901734394698332	0.941063759225441	modInact_vs_inactive	FALSE	2.35625216129226	2.24134764139636	3.69271224920812	0.421242003124752	0.672803817577735	0
hsa-let-7g-5p	499.71024080883	2.07120846070032	0.491549935204508	4.21362777687805	NA	NA	modInact_vs_inactive	NA	48.7915162236137	13.7174213107136	1488.32022461577	8.3783475745791	5.44363700056328	9.19891648011034
hsa-let-7i-3p	0.311433093009404	0.73451924569938	0.940993421628249	0.780578512895876	0.435050433496588	NA	modInact_vs_inactive	NA	0.229458647145439	0.139062733326921	0.513763187329587	0	0	0
hsa-let-7i-5p	554.072422674257	1.36308300007905	0.472264674348792	2.88626923442583	NA	NA	modInact_vs_inactive	NA	32.4209213792362	18.2489779863421	1675.0201977679	7.00380014290842	6.00732776383548	12.2216823565825
hsa-miR-1-2-5p:Novel	9.99972304752344	0.847595658480472	0.403913991209704	2.09845580229089	0.0358649002960477	0.142505747452913	modInact_vs_inactive	FALSE	9.93447766989704	5.42784300441774	11.8201788924269	3.13063383970037	3.29279963041391	4.7384281331519
hsa-miR-1-3p	1.90874118979687	0.675256778428351	0.405245661590558	1.66628996292772	0.0956556748963153	0.240588515648308	modInact_vs_inactive	FALSE	1.7058573276314	1.26503463261444	2.42128839342543	1.16592138857929	0.720232969764131	1.08642875079812
hsa-miR-1-5p	12.1869542046203	0.312412538838596	0.353231974632649	0.884440144931659	0.376458659982477	0.536680393244353	modInact_vs_inactive	FALSE	11.9396573042559	9.46722781900626	11.7035148864186	6.30339730685341	5.18221749762559	6.4452978413023
hsa-miR-100-3p	0.265852770238565	0.0651301647921624	0.975840578277859	0.0667426280910583	0.946786597640612	NA	modInact_vs_inactive	NA	0.178317771847617	0.29947177766034	0.293208001303707	0	0	0
hsa-miR-100-5p	10.471908459096	0.99752562712654	0.744410058100771	1.34002169405334	0.180238292075342	0.346762974905877	modInact_vs_inactive	FALSE	4.21902285786589	4.74797499784679	21.3884241338066	0	0.563088123872328	0.758944958502633
hsa-miR-101-2-5p	1.37435025241634	0.525431195015103	0.502528414415849	1.04557509574036	0.295757252437962	NA	modInact_vs_inactive	NA	1.29501736762323	1.07321711722355	1.43159439296684	0.480045274478177	0.637832554302553	0.536687650259586
hsa-miR-101-3p	3.35107268830347	0.317723418441178	0.334830153578721	0.948909215748035	0.342666787009893	0.508553820986206	modInact_vs_inactive	FALSE	3.22826536332649	2.97075706931705	3.19234621461154	2.04496690477683	1.99651292580086	2.53641647306644
hsa-miR-101-5p	20.0634738138812	0.902533967870708	0.505614129548663	1.78502521018619	0.0742572277940776	0.213073556320778	modInact_vs_inactive	FALSE	2.55534855896637	2.21791713792673	56.5174993408747	0.950866619377239	1.22814701327002	1.53967355657175
hsa-miR-10226	2.88101187253248	0.164869048319037	0.395853571408459	0.416489985760208	0.677051493764836	0.788603117217774	modInact_vs_inactive	FALSE	2.05218340777301	2.95691189029306	3.15045828489281	1.48906319043937	1.45535258291127	1.73234468431675
hsa-miR-10226-3p:Novel	12.5217120218229	0.955054737197953	0.396519354338701	2.40859551178972	0.0160140354235806	0.0978698362183962	modInact_vs_inactive	FALSE	9.16561782005981	9.74782363649966	17.0911054994827	5.09807114170568	5.10391266850342	6.95110829000946
hsa-miR-10392-3p	1.2795586096095	1.02802971454852	0.520613108349676	1.97465199792479	0.0483076538388942	NA	modInact_vs_inactive	NA	1.12940189601299	0.946282228549057	1.46238120006767	0.398027792860646	0.452191603395095	0.52189344265295
hsa-miR-10392-5p	137.669687528339	0.402639544917262	0.271644789482707	1.48222811740291	0.138279607446842	0.292620019158048	modInact_vs_inactive	FALSE	125.154137287059	87.9060403414903	178.285136716551	73.1118662563395	62.2669387410545	82.7347193818283
hsa-miR-10393-3p	0.271031210522347	0.392297132950799	1.46146448759399	0.26842741392686	0.788370340275397	NA	modInact_vs_inactive	NA	0.122217811704156	0.33224803443868	0.362996132037684	0	0	0
hsa-miR-10393-5p	0.0689433260173122	0.696005738545309	3.33668277945251	0.208592121142397	0.834766661702152	NA	modInact_vs_inactive	NA	0.058325807394192	0.0572318891046412	0.0707240519821363	0	0	0
hsa-miR-10394-3p	2.65981106012651	0.822378023258039	0.541835359582516	1.51776366882309	0.129073987017762	0.28414027986916	modInact_vs_inactive	FALSE	2.41882024270444	1.88889789042157	3.34063872005904	0.823782556785649	0.375310202508231	0.999177705702813
hsa-miR-10394-5p	0.583454972729452	1.01702625821831	0.773687465151776	1.31451820538258	0.188671875665529	NA	modInact_vs_inactive	NA	0.538038320655258	0.325558328502411	0.710837779411138	0	0	0
hsa-miR-10395-3p	1.29841552898517	-0.169936989879346	0.642299172816153	-0.264576068398562	0.791336057971872	NA	modInact_vs_inactive	NA	0.66951891559958	0.887250548131519	2.36605372309188	0	0	0
hsa-miR-10395-5p	3.20471362810831	0.715252230499821	0.360876117405074	1.98198826689595	0.0474805538558643	0.167364157828803	modInact_vs_inactive	FALSE	2.99115497822889	3.21909996095542	2.9297719905882	1.72103971373271	1.09687537013036	1.8084176724132
hsa-miR-10396a-3p	1.23487456274688	0.564323969473986	0.495147548221686	1.13970870198337	0.254407680568769	NA	modInact_vs_inactive	NA	1.2945037578306	0.915820059678797	1.23754811708474	0.382844380983168	0.306004219505041	0.582497649573223
hsa-miR-10396a-5p	4.92465827301661	-0.215372691584125	0.390165627432991	-0.5520032428308	0.580946131504228	0.713761118805359	modInact_vs_inactive	FALSE	5.48531009448905	5.28078740537788	3.52176556059227	2.20904209494998	1.99651292580086	2.39738291995962
hsa-miR-10396b-3p	1.46061354561612	0.6740037698327	0.434841778820245	1.54999772943004	0.12114206098274	NA	modInact_vs_inactive	NA	2.14986631233811	0.778181319117725	1.22244496224617	1.03281469207503	0.440991163917912	0.642292033353664
hsa-miR-10396b-5p	3.75916974262184	-0.341126458130127	0.451384159371813	-0.755734225598147	0.449808559392834	0.599655551219121	modInact_vs_inactive	FALSE	4.36635668649131	4.26744357753697	2.31689342698848	1.4253940806497	1.33094087347174	1.17774534505332
hsa-miR-10397-3p	24.3818123420201	0.718469358271956	0.30444343830292	2.35994364758515	0.0182777113087613	0.103174687765577	modInact_vs_inactive	FALSE	17.6562890851986	15.3416806650671	39.2553414220749	14.7426090717855	11.0639845845527	12.7444139203423
hsa-miR-10397-5p	3.38124960815637	0.122660076413777	0.486555153217534	0.252099018174281	0.800964528845066	0.875745205155964	modInact_vs_inactive	FALSE	3.43407583120342	3.31665221857423	2.67908750067627	0.534342147524487	0.882828702315359	1.55271315043234
hsa-miR-10398-3p	1.71622969496969	0.716933878874746	0.390865303557668	1.83422235831421	0.0666209938441361	0.202026586203936	modInact_vs_inactive	FALSE	1.49709430570208	0.980165682589399	2.38946415230682	0.728901657737977	0.672803817577735	1.4428879636945
hsa-miR-10398-5p	0.757877285540921	1.03496630231934	0.620605743658254	1.66767116304561	0.0953810229240082	NA	modInact_vs_inactive	NA	0.955981508855406	0.408744644256602	0.715109261202196	0	0	0
hsa-miR-10399-3p	0.45901300584002	0.571972283300291	0.808482259718233	0.707464234898155	0.479278030983143	NA	modInact_vs_inactive	NA	0.428218096445188	0.162712151512554	0.694823951847304	0	0	0
