ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average18_37	Average37_53	Average53_81	Median18_37	Median37_53	Median53_81
has-miR-548o	0.287925216163174	-0.576876000020651	4.44914477518604	-0.129659974932267	0.896835450550544	NA	53_81_vs_18_37	NA	0.510551748501567	0.143063346878554	0.379807297384646	0	0	0
has-miR-548x	1.36713054679273	-2.95064348878129	2.69269599966698	-1.09579525098496	0.273168387237431	0.999283245116963	53_81_vs_18_37	FALSE	2.69587856378808	0.63619055015135	1.38571021670455	0	0	0
hsa-let-7a-2-3p	0.638897923688425	-1.01055216922865	2.38718709980312	-0.423323404064975	0.672059320890252	0.999283245116963	53_81_vs_18_37	FALSE	0.885098021007401	0.546575057258882	0.65305549513748	0	0	0
hsa-let-7a-3p	137.524839917561	1.51628103758744	1.35489894908836	1.11911005511346	0.263093190694789	0.999283245116963	53_81_vs_18_37	FALSE	23.9218662493507	21.5805698290143	483.728547958177	19.0678666671714	15.1425560022341	12.648660302785
hsa-let-7a-5p	8.92447060168507	1.63408242845437	1.2476325537843	1.30974654636727	0.19028159154733	0.9539125763839	53_81_vs_18_37	FALSE	10.0742471971845	9.25498652236981	9.19899112466933	7.96124430898927	3.18772568073507	4.77765000305586
hsa-let-7b-3p	0.294680240946625	-0.448983813550384	4.50955134983731	-0.0995628564173201	0.92069138353806	NA	53_81_vs_18_37	NA	0.224218853481362	0.519243129390769	0.0450597469957369	0	0	0
hsa-let-7b-5p	73.1459732231244	2.45412082339068	1.42257991332169	1.72511983362703	0.0845058789125553	0.825212480872214	53_81_vs_18_37	FALSE	16.6186508810377	13.9743552067359	253.800597681264	9.43111016059956	8.87128488907259	11.6265103993731
hsa-let-7c-3p	2.40175442813894	0.498744891692636	1.88971695873465	0.263925710878202	0.791837163446751	0.999283245116963	53_81_vs_18_37	FALSE	3.99156840576738	2.24061830240345	0.778173771419945	0.399335697821725	0.76931164342829	0
hsa-let-7c-5p	6.4291207821317	2.40950279426199	1.38780191474324	1.73620079974294	0.0825283359202482	0.825212480872214	53_81_vs_18_37	FALSE	3.54423613254553	3.77881560410864	15.7747960229589	2.8924866187127	2.28435761710109	4.23175756435091
hsa-let-7d-3p	2.77160257766232	0.398178589416436	2.19043828265254	0.181780327969002	0.855755123304127	0.999283245116963	53_81_vs_18_37	FALSE	6.5650491823845	1.86512066328953	3.66308605162154	1.68245882357395	0.226692859143579	0.715251463685969
hsa-let-7d-5p	14.2466789840754	1.75357577866126	1.60907497021829	1.08980365186052	0.275799644976138	0.999283245116963	53_81_vs_18_37	FALSE	4.5710401056834	4.33125555305791	44.8444241595826	2.83627861823916	3.25562296802527	3.86172769961729
hsa-let-7e-3p	0.0485034830290293	1.07665388597648	12.017739581831	0.0895887182980915	0.928614049848063	NA	53_81_vs_18_37	NA	0.110278573375488	0.0384124897228878	0.0486682936820049	0	0	0
hsa-let-7e-5p	4.19330498161414	0.773845503561277	1.66623145792095	0.46442857616363	0.642340720484557	0.999283245116963	53_81_vs_18_37	FALSE	4.15129811207083	1.86544134346225	9.02674065184624	1.95459559372379	1.74532174478539	3.79491170598385
hsa-let-7f-1-3p	0.0924076546196397	1.67280172957764	12.0152175781028	0.139223590309863	0.889273467667008	NA	53_81_vs_18_37	NA	0.128536495783418	0.0752260453028541	0.0896034420948486	0	0	0
hsa-let-7f-2-3p	0.586428844638111	0.761350402117328	2.68179141081375	0.283896204248901	0.776489925445526	0.999283245116963	53_81_vs_18_37	FALSE	0.423187721195171	0.673163973723958	0.399825000213891	0	0	0
hsa-let-7f-5p	1.71469356427272	2.28295714951761	1.63256198442283	1.39838926258271	0.161996205780078	0.935299054557747	53_81_vs_18_37	FALSE	1.88594284285359	1.56744085512763	1.67293595831998	1.12614655600792	0.0412150121360129	0.721251169376236
hsa-let-7g-3p	2.59430250875676	-0.628347307419714	1.73860740577514	-0.361408392333157	0.717794175211059	0.999283245116963	53_81_vs_18_37	FALSE	6.99621433281555	2.72453026532083	0.496738424443899	1.57662615003764	0	0
hsa-let-7g-5p	73.6452310998158	3.20573440304468	1.55253554018497	2.06483801502073	0.0389383296093041	0.623970334470637	53_81_vs_18_37	FALSE	14.179370666919	10.2747992384631	265.114922284361	9.59212434412168	4.6250343636006	6.61467336094042
hsa-let-7i-3p	0.318675899686391	-0.994570130819939	3.20177019175871	-0.310631329312747	0.756080907278621	0.999283245116963	53_81_vs_18_37	FALSE	0.272134215929012	0.329509015782554	0.343842830111794	0	0	0
hsa-let-7i-5p	69.8407741425435	1.8349187745634	1.584221240406	1.15824654269447	NA	NA	53_81_vs_18_37	NA	14.632464071645	17.7111409099978	233.359836031968	7.64058680858008	5.63949232343092	8.22586452900027
hsa-miR-1-2-5p:Novel	6.95114167052812	-1.41863230782579	1.40500693832007	-1.00969772399986	0.312640133244704	0.999283245116963	53_81_vs_18_37	FALSE	8.15436286507599	5.96961276201339	8.60338824140323	3.33018411262269	3.58577660728171	4.31559449767028
hsa-miR-1-3p	1.50732516730025	-0.0160059676097227	1.47188097863937	-0.0108744985783558	0.991323576482866	0.999283245116963	53_81_vs_18_37	FALSE	2.09286823929546	1.41072490740948	1.44452295708161	1.5015287413439	0.665472312370672	1.0483785812919
hsa-miR-1-5p	12.4579438851916	-0.569171777270434	1.27222839624022	-0.447381758615429	0.654599444246656	0.999283245116963	53_81_vs_18_37	FALSE	14.1420051780396	13.1483295971499	10.9769304255874	8.28088607351389	5.79669552394405	6.83903063587587
