ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.28.x	light.28.x	heavy.28.x	abstemious.28.y	light.28.y	heavy.28.y
hsa-miR-597-5p	0.499926168889003	0.00811086679284185	0.694594954916737	0.0116771173407301	0.990683220091324	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.595	0.442	0.658	0	0	0
hsa-miR-598-3p	1.51178433682195	-0.859744927077082	0.595331550792494	-1.44414473906617	0.148698265545728	0.999665900789424	light.28_vs_abstemious.28	FALSE	2.579	1.452	1.297	0.663	0.262	0.312
hsa-miR-598-5p	31.7231055473928	0.197238684295767	0.306437223249221	0.64365119290797	0.519801645847875	0.999665900789424	light.28_vs_abstemious.28	FALSE	27.913	30.082	38.694	29.199	21.651	19.407
hsa-miR-599	14.7977718131463	-0.206633341069554	0.317231588071026	-0.651364330790697	0.51481133026696	0.999665900789424	light.28_vs_abstemious.28	FALSE	15.008	14.973	14.13	8.956	12.229	9.829
hsa-miR-599-5p:Novel	11.1782600742631	-0.143157986925527	0.41859269368118	-0.341998293535822	0.732352176477279	0.999665900789424	light.28_vs_abstemious.28	FALSE	16.154	9.842	13.723	7.045	5.927	6.186
hsa-miR-600	7.7475279505132	0.220373821238197	0.330782813750687	0.666219078129898	0.505271080283788	0.999665900789424	light.28_vs_abstemious.28	FALSE	8.956	7.76	7.236	5.39	4.334	4.847
hsa-miR-600-5p:Novel	1.3521616502733	-0.692644927053193	0.430282369422815	-1.6097450796841	0.107453519252307	0.999665900789424	light.28_vs_abstemious.28	FALSE	3.986	1.047	1.35	1.577	0.632	1.009
hsa-miR-601	1.0363071794466	-0.143091814151863	0.520881365191239	-0.274710949007223	0.78353831860014	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.9	1.046	1.057	0	0.483	0.289
hsa-miR-601-3p:Novel	8.28012104582213	-0.125312183463759	0.444481444079818	-0.281928942440298	0.777997996471513	0.999665900789424	light.28_vs_abstemious.28	FALSE	8.843	8.714	6.609	5.537	4.232	3.459
hsa-miR-602	3.29777540405822	0.115315495791213	0.373106642394011	0.309068461100826	0.757269449826792	0.999665900789424	light.28_vs_abstemious.28	FALSE	3.217	3.41	2.953	2.433	1.772	2.024
hsa-miR-602-3p:Novel	4.91243487179009	-0.106615977488605	0.391343835412191	-0.272435561368456	0.785287132371844	0.999665900789424	light.28_vs_abstemious.28	FALSE	5.322	5.106	4.107	3.155	2.993	2.892
hsa-miR-603	2.03970325073498	-0.536479836288711	0.515432946052918	-1.04083342051952	0.297952866282701	0.999665900789424	light.28_vs_abstemious.28	FALSE	4.184	1.535	2.899	1.14	0.696	0.692
hsa-miR-603-5p:Novel	1.29092355962124	-2.318032171303	0.616707849147526	-3.75872007224686	0.000170784781988927	0.119822603043431	light.28_vs_abstemious.28	FALSE	6.345	0.812	0.934	0.44	0	0
hsa-miR-604	5.22835007910891	-0.816282306617932	0.411035451645711	-1.98591703793355	0.0470425365524927	0.921550114639976	light.28_vs_abstemious.28	FALSE	11.736	4.737	4.349	2.652	2.721	2.657
hsa-miR-604-5p:Novel	1.84983255858285	0.191905982226392	0.466591188921639	0.411293626589723	0.680857242399613	0.999665900789424	light.28_vs_abstemious.28	FALSE	2.462	1.71	2.08	1.327	0.808	0.624
hsa-miR-605-3p	0.522050369233194	0.180704440406332	0.732005569120754	0.246862111477354	0.805014939606932	0.999665900789424	light.28_vs_abstemious.28	FALSE	1.07	0.482	0.445	0	0	0
hsa-miR-605-5p	0.201406121789184	0.566277643358462	1.29012426788497	0.438932634208034	0.660710349504397	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.124	0.211	0.199	0	0	0
hsa-miR-606	4.10421275181916	0.308324523443953	0.35985739513916	0.856796407712343	0.391557411351277	0.999665900789424	light.28_vs_abstemious.28	FALSE	3.229	4.11	4.423	2.652	3.465	2.252
hsa-miR-606-5p:Novel	0.734000288047723	-0.673130943888926	0.603172349163858	-1.11598441941519	0.264428803906315	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.976	0.71	0.722	0	0	0
hsa-miR-6068	1.3849953863789	0.195634213606177	0.550503310481291	0.355373364485563	0.722309900359629	0.999665900789424	light.28_vs_abstemious.28	FALSE	1.101	1.357	1.588	0	0.473	0.413
hsa-miR-6068-3p:Novel	21.6086750106197	-0.143603439176526	0.348076954177356	-0.412562329832833	0.679927305390756	0.999665900789424	light.28_vs_abstemious.28	FALSE	25.878	21.993	18.667	10.064	15.474	14.824
hsa-miR-6069	4.28424280391517	0.479559835709202	0.509377958000726	0.941461694949349	0.346468310203134	0.999665900789424	light.28_vs_abstemious.28	FALSE	20.314	3.012	2.326	1.556	0.946	1.051
hsa-miR-6069-3p:Novel	18.7975927121808	-0.000944030113161673	0.29849468135434	-0.00316263629515403	0.997476585535307	0.999665900789424	light.28_vs_abstemious.28	FALSE	24.752	17.235	21.719	13.989	11.438	15.347
hsa-miR-607	343.66587364829	-0.254934505150663	0.291063376984692	-0.875872834953302	0.381099168850304	0.999665900789424	light.28_vs_abstemious.28	FALSE	555.809	329.757	307.959	209.296	253.804	226.342
hsa-miR-607-5p:Novel	23.4525139821963	-0.289487247356655	0.394555096358833	-0.733705507870004	0.463128240916904	0.999665900789424	light.28_vs_abstemious.28	FALSE	95.254	17.89	14.229	7.956	10.106	11.347
hsa-miR-6070	11.0073542618412	-0.382045529935736	0.371660954942712	-1.02794098991277	0.303977586559051	0.999665900789424	light.28_vs_abstemious.28	FALSE	22.015	9.877	10.522	8.716	5.368	5.706
hsa-miR-6070-3p:Novel	264.51982682743	-0.243344867150717	0.446522648754795	-0.544977657526054	0.585768884141551	0.999665900789424	light.28_vs_abstemious.28	FALSE	256.954	267.827	256.384	105.683	133.716	90.481
hsa-miR-6071	15.8303598097285	-0.577839202880168	0.369829111241873	-1.56244921050105	0.118182201884187	0.999665900789424	light.28_vs_abstemious.28	FALSE	21.491	15.085	16.129	15.271	9.681	10.095
hsa-miR-6071-3p:Novel	4.68463526750781	0.0357283887811453	0.396130643646614	0.0901934484346996	0.92813349050086	0.999665900789424	light.28_vs_abstemious.28	FALSE	4.035	4.987	3.924	2.559	3.487	2.18
hsa-miR-6072	6.35596917486152	-0.351520844715029	0.341990361724542	-1.02786769469884	0.30401206762262	0.999665900789424	light.28_vs_abstemious.28	FALSE	10.72	5.466	7.642	7.3	3.1	3.647
hsa-miR-6072-5p:Novel	5.71021268550575	-0.0541022752959884	0.461612612073827	-0.117202766737525	0.906699374492346	0.999665900789424	light.28_vs_abstemious.28	FALSE	14.085	5.129	4.407	3.664	2.625	2.065
hsa-miR-6073	4.31719800976198	0.0104217595609857	0.413387066488433	0.0252106570471947	0.979886936564433	0.999665900789424	light.28_vs_abstemious.28	FALSE	6.946	4.26	3.489	2.607	2.794	2.085
hsa-miR-6073-5p:Novel	4.88580679245076	0.927365556116018	0.494375332602708	1.8758329855047	0.060678217046526	0.962724802826484	light.28_vs_abstemious.28	FALSE	6.062	4.957	4.192	2.383	2.102	2.364
hsa-miR-6074	2.55551629245548	0.87761322097084	0.420528513954357	2.08692916615422	0.036894537984297	0.921550114639976	light.28_vs_abstemious.28	FALSE	4.492	2.476	2.07	1.279	1.441	1.208
hsa-miR-6074-5p:Novel	8.00408968742879	0.0683819049841618	0.375792038481261	0.181967412775755	0.855608299740323	0.999665900789424	light.28_vs_abstemious.28	FALSE	7.682	8.064	7.93	4.919	4.829	4.496
hsa-miR-6075	885.391619499813	0.0521815957657765	0.197001640134661	0.264878991515541	0.791102682798393	0.999665900789424	light.28_vs_abstemious.28	FALSE	1124.865	864.852	861.279	709.792	743.38	783.681
hsa-miR-6075-5p:Novel	3.67596268071635	-0.0251951951923091	0.384376751061214	-0.0655481766853703	0.947737549333621	0.999665900789424	light.28_vs_abstemious.28	FALSE	8.43	3.422	2.683	2.559	2.038	2.054
hsa-miR-6076	2.70127588724226	-0.46774903129026	0.366636889436934	-1.27578278336534	0.202032315236556	0.999665900789424	light.28_vs_abstemious.28	FALSE	5.211	2.604	2.054	2.46	1.901	1.261
hsa-miR-6076-3p:Novel	15.93861951212	0.402336447539569	0.350311181277872	1.14851157782609	0.250757436230714	0.999665900789424	light.28_vs_abstemious.28	FALSE	17.25	17.22	11.142	7.887	7.557	7.227
hsa-miR-6077	19.0376078762975	-0.303113158966464	0.403742453740179	-0.750758698171302	0.452797889940932	0.999665900789424	light.28_vs_abstemious.28	FALSE	21.031	18.208	21.04	11.502	9.772	7.364
hsa-miR-6077-3p:Novel	7.7756971590977	0.185954712770516	0.347249429807337	0.535507611556592	0.592298895681766	0.999665900789424	light.28_vs_abstemious.28	FALSE	7.112	8.488	5.648	5.032	5.161	4.33
hsa-miR-6078	4.67907200278284	0.0120030920848971	0.385566670314156	0.0311310416824075	0.975165033978439	0.999665900789424	light.28_vs_abstemious.28	FALSE	6.18	4.66	4.161	3.735	2.504	2.084
hsa-miR-6078-3p:Novel	11.0005427294283	0.117757582049876	0.369560865546958	0.318641915386773	0.749998065026317	0.999665900789424	light.28_vs_abstemious.28	FALSE	21.666	9.351	12.387	6.319	6.22	5.551
hsa-miR-6079	4.27233767894057	0.0347516534379597	0.457544331289043	0.0759525385005942	0.939456857857866	0.999665900789424	light.28_vs_abstemious.28	FALSE	3.964	4.045	5.152	1.577	2.066	2.313
hsa-miR-6079-5p:Novel	0.249710356891543	-0.264462003782861	0.882580447530688	-0.299646343313838	0.764446930629295	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.356	0.28	0.105	0	0	0
hsa-miR-608	5.71008798035374	0.148430224563308	0.340247431931737	0.436242012821679	0.662661148902282	0.999665900789424	light.28_vs_abstemious.28	FALSE	6.542	5.602	5.751	5.214	4.122	4.339
hsa-miR-608-3p:Novel	15.3107251319901	-0.00378721138791343	0.340547349891895	-0.0111209539264236	0.991126945457832	0.999665900789424	light.28_vs_abstemious.28	FALSE	16.353	15.712	13.562	13.141	11.155	8.423
hsa-miR-6080	8.37323936196131	-0.072099204774695	0.379384203964256	-0.190042716647971	0.849275657390768	0.999665900789424	light.28_vs_abstemious.28	FALSE	34.767	6.433	4.632	5.032	4.599	3.369
hsa-miR-6080-5p:Novel	0.768612742539319	-0.105275076635649	0.570875152826767	-0.184409981962544	0.853691839636454	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.898	0.723	0.87	0.456	0	0
hsa-miR-6081	171.959096936448	0.0814091830534039	0.412626485483557	0.197295098393891	0.843596614878505	0.999665900789424	light.28_vs_abstemious.28	FALSE	178.392	185.75	123.306	75.903	91.049	53.137
hsa-miR-6081-5p:Novel	1.35053787089292	0.433397915405624	0.502578711479328	0.862348335706318	0.388495861623946	0.999665900789424	light.28_vs_abstemious.28	FALSE	1.436	1.243	1.678	0	0.605	0.951
hsa-miR-6082	1.7273777757238	-0.180901364029602	0.46438221051358	-0.389552743266233	0.696867302155766	0.999665900789424	light.28_vs_abstemious.28	FALSE	2.817	1.509	2.037	2.013	0.659	0.886
hsa-miR-6082-3p:Novel	8.85418124526281	-0.319675049823033	0.360179708769863	-0.887543195908599	0.374786520799394	0.999665900789424	light.28_vs_abstemious.28	FALSE	11.628	8.618	8.57	6.226	5.669	4.361
hsa-miR-6083	59.9374884393656	0.089654778770299	0.333394000804128	0.268915393060633	0.787994791212481	0.999665900789424	light.28_vs_abstemious.28	FALSE	53.881	65.352	44.163	29.98	37.605	34.022
hsa-miR-6083-5p:Novel	2.98999259681251	-1.03454367925901	0.394511223341974	-2.62234283348191	0.00873275356264589	0.701504647903891	light.28_vs_abstemious.28	FALSE	7.526	2.741	2.066	3.155	1.944	1.208
hsa-miR-6084	12.6501958065443	0.476684638690656	0.359090642548601	1.32747719435808	0.18435087904124	0.999665900789424	light.28_vs_abstemious.28	FALSE	13.859	11.768	15.134	12.166	6.241	6.56
hsa-miR-6084-5p:Novel	16.1890434825032	0.20604948917478	0.29046536252691	0.709377143567992	0.478090467657449	0.999665900789424	light.28_vs_abstemious.28	FALSE	16.107	16.758	14.317	11.041	12.282	10.54
hsa-miR-6085	16.1593394212715	0.492578615609884	0.322851997308245	1.52571029362284	0.127082029815381	0.999665900789424	light.28_vs_abstemious.28	FALSE	15.336	15.569	18.454	10.608	11.706	10.627
hsa-miR-6085-5p:Novel	13.0636953282061	0.191752392844643	0.339012808460695	0.565619905971413	0.571652192942515	0.999665900789424	light.28_vs_abstemious.28	FALSE	13.378	12.285	15.548	11.916	8.267	9.118
hsa-miR-6086	0.375800283603698	-0.996855277090755	0.892432843962266	-1.11700872937942	0.263990592780323	0.999665900789424	light.28_vs_abstemious.28	FALSE	1.399	0.29	0.267	0	0	0
hsa-miR-6086-3p:Novel	1.38837395711787	-0.289137398023053	0.463256851176414	-0.624140576202609	0.532535268235765	0.999665900789424	light.28_vs_abstemious.28	FALSE	2.886	1.247	1.281	1.729	0.689	0.865
hsa-miR-6088	0.299251092631529	0.333122003568643	0.920616609352902	0.361846614740955	0.717466655586171	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.413	0.259	0.389	0	0	0
hsa-miR-6088-3p:Novel	9.6263956727451	0.0300920391088593	0.443369369571725	0.0678712630462651	0.945888114754111	0.999665900789424	light.28_vs_abstemious.28	FALSE	12.099	7.696	15.129	7.071	4.015	7.565
hsa-miR-6089	17.741346728714	-0.205907960372675	0.33238873663539	-0.619479355579198	0.535600617837516	0.999665900789424	light.28_vs_abstemious.28	FALSE	23.405	16.396	20.046	13.594	12.749	11.777
hsa-miR-6089-5p:Novel	10.7798128911403	-0.150813530224271	0.449835081034806	-0.335264048053651	0.737425911380748	0.999665900789424	light.28_vs_abstemious.28	FALSE	15.902	8.78	15.488	10.325	4.009	8.177
hsa-miR-609	2.39318772657824	0.716355146532167	0.442400473724712	1.61924588484489	0.105394368982207	0.999665900789424	light.28_vs_abstemious.28	FALSE	1.798	2.565	2.05	1.797	1.298	1.09
hsa-miR-609-3p:Novel	2.79089318847647	-0.150843234867496	0.473456507541936	-0.318599982183443	0.750029866955312	0.999665900789424	light.28_vs_abstemious.28	FALSE	8.126	2.222	2.628	1.582	1.182	1.594
hsa-miR-6090	8.1500880090681	0.0169654749463114	0.416967817276845	0.0406877323461325	0.967544841667382	0.999665900789424	light.28_vs_abstemious.28	FALSE	15.458	7.669	6.925	4.94	4.084	5.054
hsa-miR-6090-5p:Novel	18.9679905843523	0.0441210148189285	0.472624664172207	0.0933531788828786	0.925622985854994	0.999665900789424	light.28_vs_abstemious.28	FALSE	10.635	21.286	14.439	5.304	9.134	7.132
hsa-miR-610	1.86606277886006	0.266771194738124	0.563821400056642	0.47314840251066	0.636107306492695	0.999665900789424	light.28_vs_abstemious.28	FALSE	2.114	1.994	1.341	0.791	0.673	0.545
hsa-miR-610-3p:Novel	7.64888138483902	0.137170400634615	0.421420007412756	0.325495700777834	0.744805935917235	0.999665900789424	light.28_vs_abstemious.28	FALSE	5.326	8.675	5.114	3.137	4.868	3.369
hsa-miR-611	10.700863688436	-0.0540981725299234	0.367928311998607	-0.147034546583434	0.883104752418274	0.999665900789424	light.28_vs_abstemious.28	FALSE	16.166	10.491	9.285	7.186	5.08	7.56
hsa-miR-611-5p:Novel	2.36847145196774	-0.531994625425523	0.527760785174404	-1.00802227139654	0.313443770522737	0.999665900789424	light.28_vs_abstemious.28	FALSE	6.058	2.137	1.714	1.245	0.716	0.545
hsa-miR-612	19.2594545846841	-0.614474464402566	0.471523890637349	-1.30316719174503	0.192517688257289	0.999665900789424	light.28_vs_abstemious.28	FALSE	15.608	20.022	18.124	4.026	5.02	4.281
hsa-miR-612-3p:Novel	3.23906103898797	0.0353839801225833	0.362953887398299	0.0974889134711305	0.922338138061187	0.999665900789424	light.28_vs_abstemious.28	FALSE	3.792	3.3	2.822	2.373	2.099	1.729
hsa-miR-6124	3.60084144594185	-0.288816610351988	0.424852653170319	-0.679804181983547	0.496628458352105	0.999665900789424	light.28_vs_abstemious.28	FALSE	3.952	3.764	2.918	2.965	2.247	1.902
hsa-miR-6124-3p:Novel	96.2565071228075	-0.0929631502211593	0.262298567028598	-0.354417301147602	0.723026170530491	0.999665900789424	light.28_vs_abstemious.28	FALSE	107.513	89.176	115.589	73.63	68.516	69.673
hsa-miR-6125	73.3107262680319	-0.493996117135985	0.414156515945271	-1.19277639761018	0.232956956052185	0.999665900789424	light.28_vs_abstemious.28	FALSE	122.017	62.127	91.857	52.053	30.365	48.685
hsa-miR-6125-5p:Novel	23.8749893519079	0.19268271745434	0.287232810788385	0.670824189358702	0.502332535772483	0.999665900789424	light.28_vs_abstemious.28	FALSE	31.583	22	27.162	29.424	13.318	17.409
hsa-miR-6126	9.38844404076913	-0.587295548995294	0.45225424771465	-1.29859598215614	0.194082617559463	0.999665900789424	light.28_vs_abstemious.28	FALSE	13.399	5.598	20.52	6.397	3.037	4.906
hsa-miR-6126-3p:Novel	21.8488216913826	-0.647162173013758	0.299586762169309	-2.16018280757018	0.0307585205489418	0.921550114639976	light.28_vs_abstemious.28	FALSE	37.319	20.301	21.032	25.207	14.046	17.124
hsa-miR-6127	69.7914669915383	0.190283373409125	0.35149643868924	0.541352208627513	0.588264841343556	0.999665900789424	light.28_vs_abstemious.28	FALSE	110.004	56.25	99.52	45.743	32.536	31.382
hsa-miR-6127-3p:Novel	42.0841528461571	-0.804175555081328	0.409337188193773	-1.96457976034331	0.0494628964187432	0.921550114639976	light.28_vs_abstemious.28	FALSE	74.808	33.533	58.015	33.83	16.203	22.449
hsa-miR-6128	1.27471701775555	-0.0317108148450543	0.576297513115179	-0.0550250766720151	0.956118485758358	0.999665900789424	light.28_vs_abstemious.28	FALSE	1.307	1.344	1.031	0.898	0.41	0.312
