ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_40	Average40_60	Average60_	Median_40	Median40_60	Median60_
has-miR-548o	0.472531355668545	-0.279969037492262	0.699145894391074	-0.400444370392968	0.688829249182661	NA	60__vs__40	NA	0.591191898094483	0.37065667753059	0.47175579432484	0	0	0
has-miR-548x	1.67875585033516	0.451374461471819	0.63431643445256	0.711591938905654	0.47671750022659	NA	60__vs__40	NA	1.72780432749669	1.01950032651407	3.09506472290054	0	0	0.162368460766026
hsa-let-7a-2-3p	0.569890448135439	-0.472977925014997	0.570489597661589	-0.829073706082832	0.407062701313932	NA	60__vs__40	NA	0.652367635839508	0.632295862438601	0.263561762342864	0	0	0
hsa-let-7a-3p	534.428735832435	-0.284028774407901	0.431915470125879	-0.657602688612016	0.510793466475439	0.813448386509276	60__vs__40	FALSE	675.058596611091	578.509888982301	155.178864107896	21.5079556639386	14.7690929126034	14.7314524219381
hsa-let-7a-5p	14.2545033059458	-0.440973333177058	0.35206932636428	-1.25251846768608	0.210381003252431	0.595266303882049	60__vs__40	FALSE	12.5247293899532	17.9142451612663	9.27396701740001	7.34212095118726	5.3617137786463	5.39806563303854
hsa-let-7b-3p	0.470368105074011	-1.07090819354144	0.879385613654757	-1.21779134990702	0.223303272287855	NA	60__vs__40	NA	0.485435007319993	0.593141702742894	0.158755517347698	0	0	0
hsa-let-7b-5p	319.033725136674	-0.314539995649729	0.455592388057058	-0.69039782905753	0.489944041590005	0.799138376245587	60__vs__40	FALSE	371.512312704594	366.494744861727	106.324631713054	13.7759993765427	10.8396919625513	11.2672136058924
hsa-let-7c-3p	4.06344818730709	-0.492706817106444	0.483151605932714	-1.01977683827685	0.307834310341193	0.675445922893411	60__vs__40	FALSE	5.67447378538343	3.83251448956271	1.40810901547846	0.399335697821725	0.453385718287157	0
hsa-let-7c-5p	23.6780984884947	-0.796976354264095	0.445304112404136	-1.78973499696944	0.0734965234477769	0.39355818224111	60__vs__40	FALSE	33.8149471866853	20.743346254823	10.3713743716373	3.06125358081804	2.28170772310542	4.17200351274195
hsa-let-7d-3p	4.91113572196864	-0.83059939757329	0.499710542908896	-1.66216104374792	0.0964804886380995	0.439923307854509	60__vs__40	FALSE	7.51684915701938	3.3876210535589	3.25608828242247	1.68245882357395	0.764370929317535	0.823782556785649
hsa-let-7d-5p	61.4386930829004	-0.132449055254449	0.45774282452134	-0.289352553790331	0.772311599288428	0.935442348060418	60__vs__40	FALSE	77.9889643389067	64.8629939935941	20.8539660089775	2.93390747956161	3.53217094523753	4.24559499004996
hsa-let-7e-3p	0.077571363360395	-0.609931397351198	1.77768212803021	-0.343104871075597	0.73151956672919	NA	60__vs__40	NA	0.0969943680993762	0.0854645959184848	0.0210482292545212	0	0	0
hsa-let-7e-5p	6.95094202924967	0.0255929317349089	0.426021435524485	0.0600742817163669	0.952096473175906	0.989417969812944	60__vs__40	FALSE	9.12754113163446	5.91208899565033	5.03185190393276	2.02522602158328	2.06075060680065	3.15858399113729
hsa-let-7f-1-3p	0.123785377612623	-1.27243638462512	1.70844515880185	-0.744792057309871	0.456397437231489	NA	60__vs__40	NA	0.123638798532292	0.0984140914837189	0.182313838499172	0	0	0
hsa-let-7f-2-3p	0.533337450852841	-0.510235145374321	0.543301428031499	-0.939138237171612	0.347659774563754	NA	60__vs__40	NA	0.627650071109623	0.559361584014927	0.287118464223048	0	0	0
hsa-let-7f-5p	1.94152510180154	-1.34457592412353	0.444613937582575	-3.02414254360573	0.00249338928604877	0.097571497721984	60__vs__40	FALSE	2.65158378113223	1.85004218984655	0.747540306476169	1.18030505719433	0.66956901399464	0
hsa-let-7g-3p	3.10102160605074	-0.381268750169901	0.438778366607113	-0.868932425083056	0.384884092917943	0.735943719074737	60__vs__40	FALSE	5.27596927870985	2.14650409131509	0.991608457572518	0.741111548106239	0	0
hsa-let-7g-5p	355.953910745183	-0.528069008851272	0.502050981050873	-1.05182347765946	0.292880545401163	0.666574436767338	60__vs__40	FALSE	423.613561558343	403.353063781516	113.369727167579	9.33958171021795	5.4377631838384	6.64955859484873
hsa-let-7i-3p	0.310021668201733	-0.540612258675649	0.689232697693712	-0.784368269939353	0.432824051102062	NA	60__vs__40	NA	0.255418607311754	0.389430148873086	0.235708253420407	0	0	0
hsa-let-7i-5p	389.310207941621	-0.428348552001077	0.488263041477562	-0.877290549587424	0.380328843978073	0.734513608744564	60__vs__40	FALSE	445.427050929544	457.255926728289	122.38559572792	10.1353190040713	5.83872596011897	9.56852215993286
hsa-miR-1-2-5p:Novel	8.51897987372947	-0.525943222454539	0.372058757971569	-1.41360258611284	0.157478621545775	0.531939187436381	60__vs__40	FALSE	11.435809990232	7.03523995859943	6.15746876673885	3.33018411262269	4.0645820320649	4.17804318700664
hsa-miR-1-3p	1.77994078240622	-0.146358524340618	0.362200437092998	-0.404081578463252	0.686152730881047	0.898535594995143	60__vs__40	FALSE	1.81003589363016	1.85796877238577	1.54132483548767	1.02041786027268	1.19353993014344	1.06933781462175
hsa-miR-1-5p	11.8979326528047	-0.38039401568146	0.339712109327753	-1.11975406597725	0.262818578424148	0.63977198550667	60__vs__40	FALSE	14.8872445188588	10.4482876891298	9.31484194790585	7.55598460698257	5.57849649714092	5.53533750097865
hsa-miR-100-3p	0.232401788571646	-0.565797807650624	0.823510949260558	-0.687055597935476	0.492047693300516	NA	60__vs__40	NA	0.264073665177924	0.235777673869038	0.162028659485675	0	0	0
