ID	Average_never	Average_former	Average__16	Average_16_	Median_never	Median_former	Median__16	Median_16_	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-708-3p	0.560233526939617	0.679420379690685	0.490428774454952	1.54729673753684	0	0	0	0	0.151580123001833	0.820730869922506	NA	16__vs_former	NA
hsa-miR-708-5p	0.848389293772013	0.876893588215699	0.592887637225186	2.67528752621647	0	0	0	0	-0.310104105814384	0.663230464326486	NA	16__vs_former	NA
hsa-miR-7106-3p	5.50959853289465	4.52360254281583	3.70326637785997	3.34726027016904	3.0206626676599	2.73601223861856	1.84906070334678	2.02788773582127	-0.251999859427171	0.586476541939386	0.857865927248834	16__vs_former	FALSE
hsa-miR-7106-5p	2.58073894888922	2.85034285968421	3.94838766101244	3.88391539807473	2.02014927644835	1.87995832590412	2.36217301247117	1.58350430814286	0.00285191422175623	0.993681631362308	0.998163487106313	16__vs_former	FALSE
hsa-miR-7107-3p	1.12950151563179	0.906495591262442	1.01184433642425	2.07935356857656	0.181791887130103	0	0	0.592836098035207	0.232403525033272	0.709566719719093	0.918552385017999	16__vs_former	FALSE
hsa-miR-7107-5p	2.39286193135733	1.92746711103061	2.42106441055486	3.86953491246211	1.40259967084918	1.37938614430148	1.71006277271641	1.47903042190183	0.0481950112547218	0.910617391543492	0.976231375990275	16__vs_former	FALSE
hsa-miR-7108-3p	3.9400497271362	2.49836877225193	4.52597979047834	2.30774362310829	2.00243837514009	1.48412658013129	2.09130374823672	0.861354092025402	0.143563707810561	0.770942182729413	0.934614215942407	16__vs_former	FALSE
hsa-miR-7108-5p	24.4784982977483	30.7224347407557	37.2514094593895	55.0668089908129	12.8518596809539	12.4588895125162	13.9153210003404	31.2209848428063	0.378105682577261	0.384599465213907	0.749690261902471	16__vs_former	FALSE
hsa-miR-7109-3p	0.0939195546679506	0.197707654646693	0.0853269103788894	0.0502113531695192	0	0	0	0	-0.113321051287975	0.957214255026584	NA	16__vs_former	NA
hsa-miR-7109-5p	0.660787595646797	0.571105006463448	0.685174113978038	1.06323166391982	0	0	0	0	0.660549389059951	0.239253899809786	NA	16__vs_former	NA
hsa-miR-711	353.38897182723	292.920787929151	289.706519605624	285.729524473133	238.110801597098	230.24457052159	228.174258378596	179.840253417039	-0.156519313802285	0.625098902107641	0.875741414481198	16__vs_former	FALSE
hsa-miR-711-5p:Novel	9.85040770570469	6.74948853959399	8.39419432889434	49.8060899440129	7.05164338023838	5.38879746269733	6.84025109086562	7.68829672734394	1.1962238036334	0.000450134532458878	0.00917319615389683	16__vs_former	TRUE
hsa-miR-7110-3p	5.53327394573497	3.82754046612895	4.89417238110333	6.28354983057726	2.69852694418404	1.41818037172707	2.65977435632659	1.73243432320595	-0.133001444750879	0.806044801203364	0.952662792283413	16__vs_former	FALSE
hsa-miR-7110-5p	10.9921253107793	9.52003316221817	10.6668011363767	46.5789345748818	7.12047494666724	6.26194881443554	6.35081753641865	5.69409206318726	1.28300126817502	0.000850621657700798	0.0153568608001017	16__vs_former	TRUE
