ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-4795-5p	0.312933738152374	-0.654536767438125	0.751187700158855	-0.871335842293091	0.383570805535858	1	_16_vs_former	FALSE	0.321	0.36	0.209	0.162	0	0	0	0
hsa-miR-4796-3p	2.82883232017498	-0.186542562794565	0.457143961748669	-0.408060870105341	0.683228986839828	1	_16_vs_former	FALSE	2.988	2.717	2.58	2.002	0.658	0.362	0.693	0.319
hsa-miR-4796-5p	0.219859608406215	-0.426211285096519	1.26836850893556	-0.33603111563705	0.736847402506025	1	_16_vs_former	FALSE	0.217	0.216	0.325	0	0	0	0	0
hsa-miR-4797-3p	0.205424513910103	-0.446533828601043	0.930285496731597	-0.479996549628975	0.631229846472747	1	_16_vs_former	FALSE	0.175	0.159	0.18	0.699	0	0	0	0
hsa-miR-4797-5p	0.586780487153933	0.0287457326068954	0.46714754856083	0.0615345894363657	0.950933468202634	1	_16_vs_former	FALSE	0.56	0.597	0.718	0.371	0	0.139	0	0
hsa-miR-4798-3p	0.322848757751529	-0.428106487230592	0.774254124227358	-0.552927616185199	0.580312976255675	1	_16_vs_former	FALSE	0.353	0.363	0.181	0.101	0	0	0	0
hsa-miR-4798-5p	0.861376103214816	-0.238617742160574	0.557733552822984	-0.427834655011885	0.668771504331028	1	_16_vs_former	FALSE	1.05	0.657	0.818	0.218	0	0	0	0
hsa-miR-4799-3p	1.35645544511104	-0.0938996445035446	0.494370749353294	-0.189937702880638	0.849357947585994	1	_16_vs_former	FALSE	1.555	0.989	1.703	0.554	0.615	0.402	0.139	0
hsa-miR-4799-5p	0.186864073579973	0.182340725632147	0.956211768979874	0.19069073561673	0.848767897411594	1	_16_vs_former	FALSE	0.209	0.104	0.354	0.032	0	0	0	0
hsa-miR-4800-3p	24.8940075638344	0.785415264209814	0.422257520175422	1.86003854681741	0.0628800725229473	0.875946829156122	_16_vs_former	FALSE	22.542	19.475	43.707	27.551	10.336	6.512	15.347	10.203
hsa-miR-4800-5p	4.90057006494297	0.178609890907028	0.31380243194235	0.569179434975957	0.569234375305579	1	_16_vs_former	FALSE	3.952	4.914	7.063	7.267	2.854	2.679	4.687	3.764
hsa-miR-4801	0.247388186301366	-0.374522465839138	0.889048048477396	-0.421262345134837	0.673563523244363	1	_16_vs_former	FALSE	0.252	0.256	0.264	0.083	0	0	0	0
hsa-miR-4801-5p:Novel	0.378163667805996	-0.0478467253948297	0.724143729107668	-0.0660735203131418	0.947319292499478	1	_16_vs_former	FALSE	0.366	0.21	0.346	1.309	0	0	0	0
hsa-miR-4802-3p	13.6254440805868	0.0892752083910137	0.348996962500601	0.255805115756158	0.798101323509098	1	_16_vs_former	FALSE	14.029	12.536	15.898	8.172	8.402	8.203	7.026	7.046
hsa-miR-4802-5p	0.702955682760789	-0.0393773033518088	0.544406835879855	-0.0723306555990766	0.942338768941308	1	_16_vs_former	FALSE	0.794	0.592	0.641	0.473	0	0	0	0
hsa-miR-4803	2.99134756476074	0.433497252625936	0.437506366455337	0.990836444594205	0.321765450322112	1	_16_vs_former	FALSE	3.806	1.885	2.674	1.756	1.444	1.016	1.195	0.53
