miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4513-3p:Novel	-2e-04	0.9975	0.9978	-0.0339	0.6076	0.852053811659193	0.0956
hsa-miR-4516-3p:Novel	0.1687	0.0101	0.381333333333333	0.1361	0.0384	0.453514285714286	0.2363
hsa-miR-4520-3p	-0.0775	0.2397	0.813577142857143	-0.0418	0.5262	0.814852682926829	0.1198
hsa-miR-4528-5p:Novel	-0.0416	0.5279	0.880296585365854	0.0447	0.4983	0.814852682926829	0.0976
hsa-miR-4534	0.0436	0.5086	0.880296585365854	-0.0432	0.5125	0.814852682926829	0.0829
hsa-miR-4632-5p	-0.129	0.0497	0.509925	0.0899	0.1722	0.75670985915493	0.1457
hsa-miR-4634	0.106	0.1072	0.657	0.0924	0.1608	0.746505882352941	0.1419
hsa-miR-4654	0.0687	0.2973	0.829708474576271	0.0027	0.9678	0.981692903225806	0.1391
hsa-miR-4655-5p	0.0076	0.9084	0.984998657718121	0.0102	0.8767	0.944547945205479	0.0871
hsa-miR-4674	-0.0638	0.3334	0.842168888888889	-0.0338	0.609	0.852053811659193	0.0962
hsa-miR-4674-5p:Novel	-0.1746	0.0077	0.381333333333333	-0.1026	0.119	0.7176	0.1833
hsa-miR-4675	0.0628	0.3407	0.842168888888889	0.1322	0.0443	0.46072	0.1465
hsa-miR-4682-3p:Novel	-0.0061	0.9263	0.984998657718121	0.1221	0.0634	0.53898	0.1433
hsa-miR-4683	-0.1182	0.0723	0.56394	-0.029	0.6605	0.859476543209877	0.1098
hsa-miR-4693-3p	-0.0505	0.4443	0.875169811320755	-0.0123	0.8525	0.940504225352113	0.1307
hsa-miR-4695-5p	-0.0468	0.4782	0.880296585365854	-0.0219	0.7402	0.88000608365019	0.0883
hsa-miR-4698	-0.0406	0.5384	0.880296585365854	-0.0518	0.4324	0.814852682926829	0.117
hsa-miR-4700-5p	-0.0703	0.2862	0.8268	-0.0206	0.7555	0.888391111111111	0.0977
hsa-miR-4713-3p	-0.0308	0.6407	0.916965137614679	-0.0943	0.1523	0.7368	0.1172
hsa-miR-4725-5p	-0.0491	0.4565	0.879185185185185	-0.1104	0.0934	0.6071	0.1529
hsa-miR-4739-3p:Novel	-0.0901	0.1712	0.721816216216216	-0.0251	0.7039	0.88000608365019	0.1192
