ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageheavy_drinker	Averagelight_drinker	Averageno_coffee	Medianheavy_drinker	Medianlight_drinker	Medianno_coffee
has-miR-548o	0.33500521171989	0.35372316810184	1.16779811512505	0.302897532990076	0.761967951484837	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	0.264363389203379	0.271998459407308	0.443657275046656	0	0	0
has-miR-548x	1.34253497827163	0.440965650280912	0.825003782182599	0.534501368120167	0.59299470316747	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	0.757874704157389	2.30832834194701	1.28830648163251	0.146758758346356	0	0
hsa-let-7a-2-3p	0.651958530811686	-0.290891675139369	0.711624387802129	-0.408771368892789	0.68270745308049	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	1.00391009822231	0.592728959461831	0.472723100622391	0	0	0
hsa-let-7a-3p	107.079579117193	-0.518044625739689	0.439479096744251	-1.17876966066752	0.238489908404622	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	413.869038451367	34.3863988361906	33.7921699882557	12.8231235514742	19.5846081878921	13.2075923453746
hsa-let-7a-5p	8.88540308861354	-0.626335210847421	0.397894173288199	-1.57412511389997	0.115458527607688	0.985130604275883	no_coffee_vs_heavy_drinker	FALSE	11.0973657587122	10.0817340091498	7.28475352027436	4.30690809738007	4.85698031107973	3.68039716000373
hsa-let-7b-3p	0.306565999064634	0.254714341603026	1.40409509746328	0.181408183863905	0.856047195659352	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	0.269788994592998	0.452700371545229	0.135047198169451	0	0	0
hsa-let-7b-5p	59.8544926669154	-0.779064043417273	0.460364156172407	-1.69227780436823	0.0905930177628075	0.961086974114828	no_coffee_vs_heavy_drinker	FALSE	202.416785245061	29.9507375947899	25.8569445202397	8.40233765124546	14.6073365908961	9.00851330251101
hsa-let-7c-3p	2.47103870395693	-0.525362371546721	0.554778409041784	-0.946976960502354	0.343650519207597	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	3.01486851976902	1.98420292730942	2.19562464933458	0.538363512172509	0	0.199667848910863
hsa-let-7c-5p	5.84057718586428	-0.438696904184263	0.459708587323212	-0.954293472607732	0.339935111192719	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	12.634695392701	4.68890971400916	4.44506018868896	2.52159510388576	2.6640359808412	3.88753090126807
hsa-let-7d-3p	3.14167103099851	-0.812711706974898	0.694513149749026	-1.17018908463948	0.24192488447846	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	3.01187351073313	6.07187893918162	2.1478762496137	0.453385718287157	2.05272324387623	0.542558255711826
hsa-let-7d-5p	11.7133277948065	-1.06353522772992	0.482375227557835	-2.20478823739431	0.0274689578385274	0.825119190591043	no_coffee_vs_heavy_drinker	FALSE	36.8878162283304	5.69862074478294	6.93511537426207	3.37088337134305	3.22394328450515	3.95657840988255
hsa-let-7e-3p	0.0608586128850125	0.464783665604486	4.13550518179878	0.112388606753558	0.910515288586937	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	0.0193013320573743	0.0613017543545611	0.109770098003405	0	0	0
hsa-let-7e-5p	4.1603212682273	-0.651547622528747	0.481357730887073	-1.35356218612723	0.175876097783687	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	4.83836938731473	3.63985933725042	5.46975769739403	2.06075060680065	2.43901942216388	1.87014972087734
hsa-let-7f-1-3p	0.0894118093577484	-0.550827404903905	4.13430573066888	-0.13323335060051	0.894008835992561	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	0.0888468809264644	0.139029371704678	0.0544768396864712	0	0	0
hsa-let-7f-2-3p	0.572280003248808	0.651237029845992	0.775803145316227	0.839435923633101	0.401224732080891	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	0.357790425895654	0.460160294110668	0.736975141289008	0	0	0
hsa-let-7f-5p	1.70744674594843	-0.129896750957524	0.556070111830605	-0.233597793145002	0.815297241169308	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	1.83164179817877	1.75765771424217	1.49835924094582	0.51878839290166	0.388185170349034	0.640644299447531
hsa-let-7g-3p	3.30512279180099	-0.420603962996751	0.579801037570077	-0.72542809643716	0.46818944159493	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	3.02928646073305	2.30876170488404	5.08591341112483	0.505632505701458	0	0
hsa-let-7g-5p	58.7401199969797	-0.747822485659719	0.512772508667258	-1.45839036418582	0.144732975127012	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	215.805642337268	24.7529028684873	21.6465896391956	4.33872992806906	6.31838676913375	6.69887873638286
hsa-let-7i-3p	0.319245396108944	0.581776639545821	0.926976236554968	0.627606853987915	0.530261517616783	0.999838272284211	no_coffee_vs_heavy_drinker	FALSE	0.46861170169393	0.236994034077585	0.255792893403964	0	0	0
hsa-let-7i-5p	56.5348814994354	-1.22000721050012	0.491450811887974	-2.48246046397462	0.013047854616891	0.712864348086312	no_coffee_vs_heavy_drinker	FALSE	172.446807268743	43.049383497427	25.0155812586751	4.94266693993167	8.2212209310353	6.46388409884906
