ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_modAct	Average_inactive	Average_modInact	Median_modAct	Median_inactive	Median_modInact
hsa-let-7a-2-3p	0.663880742435495	-0.271102626700349	0.730880892332943	-0.370925864315594	0.710692750256837	1	inactive_vs_modAct	FALSE	0.427085938376495	0.366818192947575	1.26307071326572	0	0	0.525141780229357
hsa-let-7a-3p	128.887601362996	0.415244586056351	0.446715346598831	0.929550751318283	0.352603736569156	1	inactive_vs_modAct	FALSE	31.7523486162025	34.8056209159453	404.641065538751	13.7586767277156	20.205199946206	13.1614908993014
hsa-let-7a-5p	8.74016079189347	-0.49251028891275	0.405351659013349	-1.21501979321252	0.224358542320754	1	inactive_vs_modAct	FALSE	11.1480885994685	6.08470586554686	9.83350390462446	4.30690809738007	3.17934992872605	7.1499904323084
hsa-let-7b-3p	0.285110343632983	0.233627852333086	1.43404347170697	0.162915460334681	0.870584997870973	1	inactive_vs_modAct	FALSE	0.15788551587282	0.408998988900771	0.386785301040119	0	0	0
hsa-let-7b-5p	70.0875408174253	0.512129303739428	0.470657160596472	1.08811539824529	0.276544166792957	1	inactive_vs_modAct	FALSE	24.2192059384181	30.7625189461675	200.026337831156	9.06352512859902	13.2719507923825	9.01631998748202
hsa-let-7c-3p	2.39493565663843	0.429820090354605	0.572104210299729	0.75129684874967	0.45247402528812	1	inactive_vs_modAct	FALSE	1.5589815680091	2.48189315072341	3.39220547602913	0	0.631998347821358	0.712329125189159
hsa-let-7c-5p	6.30124930181692	0.141032456135484	0.465348290496842	0.303068602626447	0.761837581039137	1	inactive_vs_modAct	FALSE	4.67915225535195	4.66480590300247	12.1737295082473	3.78170482431889	3.06851829251067	2.1181516584146
hsa-let-7d-3p	3.09409472461533	1.39700217191527	0.688595707979387	2.02876979296695	0.042481743368189	1	inactive_vs_modAct	FALSE	1.79392479249142	8.03392845390107	3.46045973937959	0.472713103039861	2.05079316367301	0.310964943427155
hsa-let-7d-5p	13.614477886714	-0.145994022351327	0.505146163818328	-0.289013423852967	0.772571104963715	1	inactive_vs_modAct	FALSE	6.1933682399433	5.17542983025699	36.8772247382214	3.58256004072918	2.35202743327353	3.25562296802527
hsa-let-7e-3p	0.0588535158974728	-0.00964461086846789	4.15118806271612	-0.00232333749344939	0.998146246552171	1	inactive_vs_modAct	FALSE	0.0916846572400097	0.0338202372013938	0.0488663010155595	0	0	0
hsa-let-7e-5p	4.10975449120145	0.667733932477428	0.496378421458213	1.34521144274528	0.178556961990031	1	inactive_vs_modAct	FALSE	3.07746089664441	7.4568763222805	4.52377447418559	2.47753292064852	2.13805727184557	2.09452961033712
hsa-let-7f-1-3p	0.0846013670984306	0.0675159813059405	4.15110583513597	0.0162645771963867	0.987023317103856	1	inactive_vs_modAct	FALSE	0.148688629158381	0.0654938205597192	0.0480345879003826	0	0	0
hsa-let-7f-2-3p	0.579795096191228	0.0602214670210183	0.807541821565889	0.0745738058547159	0.940553815974567	1	inactive_vs_modAct	FALSE	0.602782857562865	0.292913368898113	0.571590455726239	0	0	0
hsa-let-7f-5p	1.67550399057244	-0.680075417464779	0.569488236642133	-1.19418694488705	0.232404848714104	1	inactive_vs_modAct	FALSE	1.57092822044557	1.02564995261908	2.36995490076589	0.885614916840024	0.660805808215048	0.415516598738807
hsa-let-7g-3p	3.21759274080255	-0.652277605965395	0.550721479785702	-1.18440560230048	0.236252543606126	1	inactive_vs_modAct	FALSE	2.25832036736875	2.11034806888589	6.00051254263833	0	0	0.921752925151087
hsa-let-7g-5p	70.2171683969702	0.314904761066305	0.523970949932225	0.600996603164808	0.54784224876158	1	inactive_vs_modAct	FALSE	18.5342917506961	27.0479764186182	213.363884526511	6.04235008573268	7.21299226298363	5.05037204769935
hsa-let-7i-3p	0.317522672257028	-0.193521708427512	0.948543737169483	-0.204019805143613	0.838338022138359	1	inactive_vs_modAct	FALSE	0.318828374362881	0.179519414382127	0.413313578920527	0	0	0
hsa-let-7i-5p	66.665425614267	0.665451561735284	0.517572036264685	1.28571776508222	0.198541578951053	1	inactive_vs_modAct	FALSE	30.0769311694766	28.2444507290008	178.90476792914	6.21066455513542	8.56105083165036	6.66062388407436
hsa-miR-1-2-5p:Novel	6.90883185977335	0.811103368228433	0.401204645609209	2.02166993105679	0.0432104622459148	1	inactive_vs_modAct	FALSE	7.08605752821621	9.50616264497495	6.23800790201518	3.48651773993416	4.49659859974171	3.74078755078331
hsa-miR-1-3p	1.52891739840967	0.111833180772305	0.437706751567027	0.255497956958472	0.798338521372576	1	inactive_vs_modAct	FALSE	1.20636935826646	1.80409897686209	2.08069677070861	0.881942487028445	1.24812783201609	1.32623833075578
hsa-miR-1-5p	12.0767450168724	0.48060147119244	0.421178430221046	1.14108756932355	0.253833483656395	1	inactive_vs_modAct	FALSE	11.7455843109178	12.8214455795602	14.3410805325863	7.52144969120037	7.35385516678303	6.83903063587587
hsa-miR-100-3p	0.187442090181106	0.246026404995519	1.51282774134577	0.162626846581132	0.87081224786825	1	inactive_vs_modAct	FALSE	0.266477956108462	0.24979623803461	0.0952916255028631	0	0	0
hsa-miR-100-5p	4.68564968919436	-0.373352592860954	0.804162239606706	-0.464275210240598	NA	NA	inactive_vs_modAct	NA	4.72087711527948	1.88805995854936	5.61730578684868	0	0	0.961197774366477
hsa-miR-101-2-5p	0.895118659549653	-0.0816227560146348	0.669212421226821	-0.121968381676182	0.902924059043467	1	inactive_vs_modAct	FALSE	1.19924053742321	0.592941133150564	0.940924792687616	0	0	0.086464732150277
