ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_40	Average40_60	Average60_	Median_40	Median40_60	Median60_
has-miR-548o	0.323453385160939	-0.219901266219641	1.67423288742217	-0.131344490883956	0.895502797982302	0.993790945164993	60__vs__40	FALSE	0.479609218289351	0.180056223026924	0.443199016093703	0	0	0
has-miR-548x	1.30134995125309	-1.46315696383735	1.22041532550169	-1.19890084405149	0.230566503521712	0.958583743989986	60__vs__40	FALSE	2.53249198416456	0.788913823624626	1.50533710095146	0	0	0
hsa-let-7a-2-3p	0.663880742435495	-0.87180704160491	1.10869538107843	-0.786335955289095	0.431670693297823	0.98550701417601	60__vs__40	FALSE	0.831455716703922	0.780612773730532	0.111678249494626	0	0	0
hsa-let-7a-3p	128.887601362996	0.176314514593563	0.657089505080804	0.268326480989649	NA	NA	60__vs__40	NA	23.9515810811185	271.57723544803	61.8537221817082	19.0678666671714	12.6408126425364	21.5326558642281
hsa-let-7a-5p	8.74016079189347	-0.343835884006571	0.590555986255285	-0.582224026187312	0.560415791885309	0.993790945164993	60__vs__40	FALSE	9.77384239233598	9.95711471230166	7.62573268519898	7.34212095118726	3.2967900727507	4.35224684351315
hsa-let-7b-3p	0.285110343632983	-1.84781842456557	2.02052698597508	-0.914523011764595	0.360442091864955	0.972874807509891	60__vs__40	FALSE	0.298296949730432	0.390579249149578	0	0	0	0
hsa-let-7b-5p	70.0875408174253	-0.103818448337984	0.690636247968171	-0.150322906802842	NA	NA	60__vs__40	NA	17.4000967938918	134.279951536529	60.3910765393329	9.43111016059956	9.60543154660642	8.36524150991151
hsa-let-7c-3p	2.39493565663843	-1.12443017573252	0.916825328870951	-1.22643882135895	0.220033584494107	0.955064732478995	60__vs__40	FALSE	3.78143924243597	2.11314674704343	0.401207804068824	0.399335697821725	0.738454645630168	0
hsa-let-7c-5p	6.30124930181692	-0.786879405268218	0.671060392506799	-1.17259104255694	0.24095984319717	0.958583743989986	60__vs__40	FALSE	3.79850994094763	9.49586342215077	6.59235865761454	2.89301488318206	2.38707986028689	4.28089437374607
hsa-let-7d-3p	3.09409472461533	-1.6226147588947	1.04833193714251	-1.54780628291983	0.121668943357941	0.899500451957295	60__vs__40	FALSE	6.40606979586303	2.44373155562511	2.91438889069372	2.04083572054536	0.168544168567153	0.776370340698069
hsa-let-7d-5p	13.614477886714	-0.104295741880515	0.739486574458417	-0.141038046508009	0.887839885968263	0.993790945164993	60__vs__40	FALSE	4.4847118122962	25.3377883362417	10.649954328541	2.83627861823916	3.37088337134305	4.14089535850541
hsa-let-7e-3p	0.0588535158974728	-0.586265633765632	6.14472242189213	-0.0954096204048065	0.923989474961281	0.994054745699757	60__vs__40	FALSE	0.103595023473943	0.0591675880002377	0	0	0	0
hsa-let-7e-5p	4.10975449120145	0.420645122482263	0.722803571221895	0.581963259770791	0.560591428503559	0.993790945164993	60__vs__40	FALSE	3.96327243386036	4.78674918769137	5.33634899706537	1.95459559372379	1.8901971569643	3.88185170349034
hsa-let-7f-1-3p	0.0846013670984306	-1.35713315474583	5.4988683509225	-0.246802263327173	0.805061258785848	0.993790945164993	60__vs__40	FALSE	0.15253047851164	0.0556286714123401	0.102544639409828	0	0	0
hsa-let-7f-2-3p	0.579795096191228	-1.58769364564481	1.18493501995002	-1.33989933533383	0.180278074236974	0.941835776993909	60__vs__40	FALSE	0.429324053898439	0.719669568598087	0.106410333649578	0	0	0
hsa-let-7f-5p	1.67550399057244	-1.74656825202686	0.887295229169593	-1.96841839627769	0.0490199169370671	0.805767799280242	60__vs__40	FALSE	2.01823076120103	1.89408115830921	0.505439840572981	1.41813930911958	0.504595849319647	0
hsa-let-7g-3p	3.21759274080255	-0.904030203259428	0.865930124153616	-1.04399902260364	0.296485841835918	0.961522611881755	60__vs__40	FALSE	6.63576948971147	2.23110598065367	0.674584976590361	1.57662615003764	0	0
hsa-let-7g-5p	70.2171683969702	-1.02827445733514	0.764783734652809	-1.34452971571361	NA	NA	60__vs__40	NA	15.9668217255727	140.480064315682	50.7848244566353	9.59212434412168	4.86410953426954	9.29313594979462
hsa-let-7i-3p	0.317522672257028	-0.157589166115306	1.34062675890536	-0.117548874113164	0.906425116521757	0.993790945164993	60__vs__40	FALSE	0.287425306527198	0.355842734161312	0.254281851701762	0	0	0
hsa-let-7i-5p	66.665425614267	0.0459126686650853	0.75882416799932	0.0605050163150925	NA	NA	60__vs__40	NA	14.7637820790086	119.422530240505	79.8363906543513	9.59212434412168	5.23663456112916	15.6893298297037
hsa-miR-1-2-5p:Novel	6.90883185977335	-0.677116730839647	0.623980353303969	-1.08515713235893	0.277852066762461	0.958583743989986	60__vs__40	FALSE	7.81139431950709	6.80620642836903	8.30497073666852	3.08450784321891	4.0645820320649	4.16784826470215
hsa-miR-1-3p	1.52891739840967	-1.14628655909799	0.704765876189748	-1.62647851978204	0.103847899222308	0.885130133200174	60__vs__40	FALSE	2.02959588670775	1.46954488983956	1.33942297937232	1.5015287413439	0.738454645630168	1.04565518873894
hsa-miR-1-5p	12.0767450168724	-0.361041196948899	0.628167727168173	-0.574752858725328	0.56545845296404	0.993790945164993	60__vs__40	FALSE	14.1210722925058	12.088939063401	12.5491762683726	8.28088607351389	5.23529590758316	7.31958632117258
hsa-miR-100-3p	0.187442090181106	-1.4574980082679	2.11373908193857	-0.689535440169456	0.490486378800663	0.993790945164993	60__vs__40	FALSE	0.28422450706987	0.208938167172253	0.0520949951082367	0	0	0
