ID	Average_NO	Average_YES	Median_NO	Median_YES	log2FoldChange	pvalue	padj	comparison	treshold
hsa-let-7a-2-3p	0.627843211355114	1.07950790040382	0	0	-0.453812914802821	0.472396107624742	NA	NO_vs_YES	NA
hsa-let-7a-3p	117.334714309833	971.389875278592	26.2885115221532	29.9774385160654	-0.696647702474205	0.112858241812982	0.335035616810665	NO_vs_YES	FALSE
hsa-let-7a-5p	15.022418985505	24.1446068087191	10.064887156409	11.0884680904776	-0.821030023259363	0.0391218421730625	0.213085064825285	NO_vs_YES	FALSE
hsa-let-7b-3p	0.502651013003522	0.748843672802363	0	0	-1.48818650476613	0.143719847591131	NA	NO_vs_YES	NA
hsa-let-7b-5p	71.8260681737413	583.67282070485	14.4554044069281	18.5623702221555	-1.04494725685184	0.0264595719119511	0.181802865072438	NO_vs_YES	FALSE
hsa-let-7c-3p	7.6621191035972	12.1297456139923	1.64447954623012	4.06230152421844	0.00977412530185515	0.983886202604473	NA	NO_vs_YES	NA
hsa-let-7c-5p	9.59296556791447	42.1844466327927	3.72095653728755	4.39214303711845	-0.630271290402703	0.161772136338935	0.411197782990837	NO_vs_YES	FALSE
hsa-let-7d-3p	3.6070483256808	7.7843967762559	1.6825393838834	2.77888772506238	-2.00658317522257	0.000144906211904148	NA	NO_vs_YES	NA
hsa-let-7d-5p	17.6334440222362	113.424370355905	6.33820518650022	5.93633677944003	-0.642771782866761	0.15468298568016	0.404326711275205	NO_vs_YES	FALSE
hsa-let-7e-3p	0.143312838138427	0.146637548615658	0	0	-0.398403447721549	0.801100700662135	NA	NO_vs_YES	NA
hsa-let-7e-5p	5.04242834727123	10.5272090597915	3.58207143892681	2.8506631255196	-0.827757883387567	0.0656397928841569	NA	NO_vs_YES	NA
hsa-let-7f-1-3p	0.143275968540794	0.136361086339453	0	0	-0.594419242924461	0.776885947138228	NA	NO_vs_YES	NA
hsa-let-7f-2-3p	0.509335456123003	0.633052934944206	0	0	-0.0563198137552613	0.936289836841689	NA	NO_vs_YES	NA
hsa-let-7f-5p	1.98232004683148	3.21398958724942	1.14225928146933	1.27358850466711	-0.0464214975288446	0.92950290763675	NA	NO_vs_YES	NA
