ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_normal	Average_obese	Average_overweight	Average_underweight	Median_normal	Median_obese	Median_overweight	Median_underweight
hsa-let-7a-2-3p	0.497020589929036	0.438478540529425	1.43439314643741	0.305689232842801	0.759841272081367	1	overweight_vs_obese	FALSE	0.470116525888534	0.434153511722871	0.427848300204781	0.616988456585804	0	0	0	0
hsa-let-7a-3p	744.616107478718	-0.0997969364134123	0.823341580803987	-0.121209639765747	NA	NA	overweight_vs_obese	NA	523.521205060021	104.878003265659	22.1166369077765	3938.60476759146	19.3880662680035	41.0888732616454	10.3071128073022	27.1526716714026
hsa-let-7a-5p	18.0290225363358	0.27914825287693	0.744374992190173	0.375010251292286	0.707652842678696	1	overweight_vs_obese	FALSE	20.1512584344751	13.974492085794	11.9035388355282	17.0945096777949	7.95770708300505	6.31107320594666	5.06444739368479	7.22920623593095
hsa-let-7b-3p	0.595186212325396	0.66255234362368	2.01202276261353	0.32929664412099	0.741931480411024	1	overweight_vs_obese	FALSE	0.687728672497389	0.197216490348735	0.44989343493978	0.498845744800643	0	0	0	0
hsa-let-7b-5p	452.87662238772	-0.427009081228379	0.896886173072484	-0.476101755215563	NA	NA	overweight_vs_obese	NA	332.462193945574	55.4685507850747	13.8361239068175	2303.32695409455	15.2630020020927	14.3133391898561	8.54349928692107	18.9477273964172
hsa-let-7c-3p	5.513872214158	1.21378050643841	1.01729927523487	1.19314004834829	0.232814529294686	1	overweight_vs_obese	FALSE	5.38707444352166	3.95675271933573	4.4553704288041	7.41413252357523	0	0	1.02710961240068	0.124227710317512
hsa-let-7c-5p	33.422450114358	-0.377718477442831	0.876726304867657	-0.430828270288808	NA	NA	overweight_vs_obese	NA	23.9823709933618	8.59288245516773	3.28642935151123	161.788238312424	3.64947802752796	2.35828998763951	1.57735627252307	3.24917516704197
hsa-let-7d-3p	5.67075962758886	-1.87141901312362	0.864918540392935	-2.16369395003768	0.0304878456379077	1	overweight_vs_obese	FALSE	3.49186775039052	7.88438120836043	1.2412836398792	23.4182431331958	1.87514094646366	0.841961128815066	0.687140853820144	1.21765805088205
hsa-let-7d-5p	87.1835150789629	-0.125211617624647	0.838585261937315	-0.149312924168714	NA	NA	overweight_vs_obese	NA	55.0916112562074	19.5916053611763	4.40490046784888	483.081935085028	3.27842276087043	9.43315995055805	2.57051032747134	4.62666385282025
hsa-let-7e-3p	0.0766391660235092	0.00778472978110069	4.66923680296476	0.00166723816109685	0.998669737028364	1	overweight_vs_obese	FALSE	0.0762113315256195	0	0.107661156197184	0.0458638053847978	0	0	0	0
hsa-let-7e-5p	7.99355322986316	0.74916136163992	0.918488354441026	0.815646010118272	0.414702626297124	1	overweight_vs_obese	FALSE	5.91218210142212	1.33869354661316	1.6516215268939	34.0969063878573	2.42370466479807	0	1.10864752614439	2.98244263327788
hsa-let-7f-1-3p	0.112505834325334	-0.0458205547443311	5.29359068884739	-0.00865585524790696	0.993093712978171	1	overweight_vs_obese	FALSE	0.072900692681484	0	0.152730273863525	0.302082673768687	0	0	0	0
hsa-let-7f-2-3p	0.555654626609749	0.0527497590926034	1.27419833152801	0.0413983897069981	0.966978296526005	1	overweight_vs_obese	FALSE	0.440672329262251	0.51477247988636	0.42304372776999	1.16132358851274	0	0	0	0
hsa-let-7f-5p	2.123052321932	0.872961132995687	0.930806859704919	0.937854210993277	0.348319337191431	1	overweight_vs_obese	FALSE	1.95834338895949	1.5271592275567	2.74574312840779	1.94057628012211	0.908920273117935	2.10490282203767	1.00638729322663	0.642705867783612
hsa-let-7g-3p	2.97266507414527	0.546100755457966	0.903287417571537	0.604570311547285	0.545464537953224	1	overweight_vs_obese	FALSE	2.880756074206	3.87186378408561	3.88194928366724	1.36887047224016	0.377277105977878	0	0.343570426910072	0.349677195711012
hsa-let-7g-5p	510.55542609796	-0.478063671263895	0.970345046853789	-0.492673892461193	NA	NA	overweight_vs_obese	NA	354.479137166942	73.8567792331648	9.09896505738578	2715.48270552268	8.63282904416252	6.22558685782506	7.32862918312266	15.3237280301225
hsa-let-7i-3p	0.309837776297866	-0.48982740813657	1.91768102089331	-0.255426946817461	0.798393360328338	1	overweight_vs_obese	FALSE	0.413333019343685	0.133453108574633	0.0522193980632147	0.176482851473438	0	0	0	0
