ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageabstemious	Averageall	Averagenowine	Medianabstemious	Medianall	Mediannowine
has-miR-548o	0.33500521171989	-0.430080971458091	1.54727175095397	-0.277960850246846	0.781042411864593	NA	nowine_vs_all	NA	0.819544209917442	0.33155995655568	0.0235485005196479	1.30347504090334	0	0
has-miR-548x	1.34253497827163	1.31489869094296	1.06000039252422	1.24047000380041	0.214801602354049	NA	nowine_vs_all	NA	0.295243993802183	1.57407435086216	1.41212781097795	0.146758758346356	0	0
hsa-let-7a-2-3p	0.651958530811686	0.0742903644124581	0.928598143702736	0.0800027061396324	0.936235103683581	NA	nowine_vs_all	NA	0.117407006677085	0.745416303848938	0.438459024873792	0	0	0
hsa-let-7a-3p	107.079579117193	-0.896770250176779	0.58824509866046	-1.52448401562357	NA	NA	nowine_vs_all	NA	25.8561155565589	177.005442731581	15.1462222483779	18.7851210683336	18.4272391148687	9.54147425237484
hsa-let-7a-5p	8.88540308861354	-0.760387689569094	0.548911162686665	-1.38526548785663	0.16597130258626	0.571125616398917	nowine_vs_all	FALSE	7.71202519428746	10.1987040378359	4.48216103485997	7.31958632117258	4.6801926482395	2.72729794940187
hsa-let-7b-3p	0.306565999064634	-0.467994762168371	1.84356004778142	-0.253853820889407	0.799608491905918	NA	nowine_vs_all	NA	0.0587035033385424	0.335924940742237	0.0470970010392958	0	0	0
hsa-let-7b-5p	59.8544926669154	-0.609733328962541	0.619556763035035	-0.984144416365707	NA	NA	nowine_vs_all	NA	13.6428759588243	94.6578439113314	16.1095852311044	9.12432528632336	9.51161725236062	11.3204694272689
hsa-let-7c-3p	2.47103870395693	-0.646812165450531	0.842953143165063	-0.76731686772283	0.442893141964556	0.809781316769939	nowine_vs_all	FALSE	10.8660711284322	2.10931995546788	0.363898637322223	1.32665842522031	0.531952781092528	0
hsa-let-7c-5p	5.84057718586428	-0.735799546584904	0.669174055721692	-1.09956376863917	0.271522235399791	0.690936538424715	nowine_vs_all	FALSE	4.41994397788905	7.86778949184406	1.97241957117604	4.18262075495576	3.01008289971418	1.56601030985309
hsa-let-7d-3p	3.14167103099851	0.404032822811975	0.934825848650046	0.432201167089492	0.665595211193775	0.914396367717779	nowine_vs_all	FALSE	2.50610861117754	4.11412663788597	2.2570579992594	2.60695008180667	0.520512846735144	1.78244267100542
hsa-let-7d-5p	11.7133277948065	-1.42177038589102	0.71229618604648	-1.99603818431542	0.0459297666545333	0.341879967922376	nowine_vs_all	FALSE	6.32935409935656	18.1613878732871	1.33929900139121	4.64330448827109	3.70970488918893	0.824571383776465
hsa-let-7e-3p	0.0608586128850125	0.0420765292752182	5.36659648485498	0.00784044960226877	0.99374429040517	NA	nowine_vs_all	NA	0.521390016361334	0.0441773512481559	0	0	0	0
hsa-let-7e-5p	4.1603212682273	-0.344421858329115	0.668452805684525	-0.515252319086928	0.606376713202427	0.890077776427661	nowine_vs_all	FALSE	18.1222660765872	3.96852722912791	3.20890158346998	2.09131037747788	2.15239821197981	2.48788531829507
hsa-let-7f-1-3p	0.0894118093577484	-0.0896352736740293	5.36585620796512	-0.0167047476115692	0.986672159644019	NA	nowine_vs_all	NA	0.0293517516692712	0.111378700020351	0	0	0	0
hsa-let-7f-2-3p	0.572280003248808	0.572769923128831	1.04189413457962	0.549739080122504	0.582498348153591	NA	nowine_vs_all	NA	0.856805658053612	0.531823930680377	0.228323984457786	1.30347504090334	0	0
hsa-let-7f-5p	1.70744674594843	-1.19597316525302	0.793213047086769	-1.50775780812667	0.1316165242357	NA	nowine_vs_all	NA	2.10233548994653	1.80759714359546	0.565423165477433	1.98998763783047	0.565595900642725	0.353227507794719
hsa-let-7g-3p	3.30512279180099	0.250381907667112	0.77767056663763	0.321963976018372	0.747479985523948	0.950307386292973	nowine_vs_all	FALSE	7.44686901902927	3.44763718557083	1.29366621314483	0.666131998054403	0	0
hsa-let-7g-5p	58.7401199969797	-0.83727336845654	0.685255188422777	-1.22184170598351	NA	NA	nowine_vs_all	NA	9.01368063426674	96.7793951762583	9.92326861980944	7.33793791731781	5.82000618316733	6.21586062544014
hsa-let-7i-3p	0.319245396108944	0.0957713197487914	1.20911208682767	0.0792079748371926	0.936867201521666	NA	nowine_vs_all	NA	0	0.356818286542244	0.127138449868331	0	0	0
hsa-let-7i-5p	56.5348814994354	-0.873433733521439	0.668267175477694	-1.30701277209536	NA	NA	nowine_vs_all	NA	5.45360035568173	89.8846091499658	11.8552261140463	4.32985798735362	7.73803974766931	5.63949232343092
hsa-miR-1-2-5p:Novel	7.00675042297127	-2.08910294840266	0.602032570281318	-3.4700829349257	0.000520297683007171	0.0408197182213808	nowine_vs_all	TRUE	5.23676950992028	8.17876271342753	1.92647145796681	3.99679198832642	4.15907770395772	1.38181241950715
hsa-miR-1-3p	1.57424954783031	-0.227941278761551	0.627419124995292	-0.36329985759242	0.716380899710846	NA	nowine_vs_all	NA	2.5617371141327	1.69507388042784	0.655966298622164	2.60695008180667	1.12175504719763	0
hsa-miR-1-5p	11.0494412944013	-0.526827951460657	0.521597539493509	-1.01002767760796	0.312482029825112	0.720541512180927	nowine_vs_all	FALSE	8.17163077353613	13.5579337382166	9.19648084437957	7.31958632117258	7.43178532119382	5.37539390817195
hsa-miR-100-3p	0.195254021014139	0.282435004506412	1.94580219488418	0.145150933249525	0.88459170514608	NA	nowine_vs_all	NA	0.125316703143983	0.215837354752816	0.174607252662965	0	0	0
