ID	Average__37	Average_37_53	Average__53	Median__37	Median_37_53	Median__53	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-let-7a-2-3p	1.58042716423302	0.766551664134223	1.36860031384666	0.76292462364434	0	0	-0.0318644033597745	0.955819403627666	NA	37_53_vs__37	NA	male
hsa-let-7a-3p	28.7426484092411	38.9164780971709	416.805287623683	24.8696809697423	21.3699880736632	23.5794385401009	0.212255753409286	0.558944308150909	0.901176580718191	37_53_vs__37	FALSE	male
hsa-let-7a-5p	12.5863643071874	12.6073592160543	14.4734028462416	9.58042867610859	4.47193091872725	10.3481070436429	-0.42936712522057	0.187197985672495	0.636086143080801	37_53_vs__37	FALSE	male
hsa-let-7b-3p	0.315480027098333	0.576587141466822	0.289070410045072	0	0	0	0.341250149769971	0.726249567789438	NA	37_53_vs__37	NA	male
hsa-let-7b-5p	18.8445332387143	24.7570358666178	221.308382226543	11.0886754258738	11.3397706213036	18.033334253436	-0.029881037999607	0.940100866231991	0.987979251399757	37_53_vs__37	FALSE	male
hsa-let-7c-3p	7.08910162804606	4.65500900469469	10.04474673617	0.823943625855593	1.0096444172833	0.824239449759353	0.846972374895661	0.0518363138912855	NA	37_53_vs__37	NA	male
hsa-let-7c-5p	4.2092337318221	5.87496393761755	15.5422939208995	3.71382245122242	2.82615554693004	4.92651966300802	0.0846553365244912	0.826402280963519	0.960708294064527	37_53_vs__37	FALSE	male
hsa-let-7d-3p	6.50690788038118	2.88794632415899	4.45556706537681	2.12079701869366	0.53289707024925	1.09388418420424	-0.785312869612124	0.155368226168632	NA	37_53_vs__37	NA	male
hsa-let-7d-5p	5.220143440536	6.84899344583335	41.5150852428509	4.14840030508523	4.56526578667786	6.64385998810799	0.168342140546104	0.675510462633295	0.935501130122372	37_53_vs__37	FALSE	male
hsa-let-7e-3p	0.132266793131066	0.162259384425399	0.150187273194037	0	0	0	0.790561889203336	0.710845786367415	NA	37_53_vs__37	NA	male
hsa-let-7e-5p	4.97210839792491	2.43213944662187	9.44398065621973	2.58452999836007	2.36322476659642	4.20519599893918	-0.744519127227587	0.0568025828149064	NA	37_53_vs__37	NA	male
hsa-let-7f-1-3p	0.178123912838523	0.0809557986610432	0.127422544082583	0	0	0	0.0515321669181497	0.980922946591244	NA	37_53_vs__37	NA	male
hsa-let-7f-2-3p	0.606186282316676	0.88927624731282	0.703953481838183	0	0	0	0.284304147847614	0.653716525861745	NA	37_53_vs__37	NA	male
hsa-let-7f-5p	2.4694184411975	1.95271487991553	2.48911489610903	1.80959285931672	0.295403095824552	1.09558123191994	-0.221550363142693	0.615693396475805	NA	37_53_vs__37	NA	male
hsa-let-7g-3p	8.02702774864495	4.61741777900823	5.25591615805803	3.03713798596319	0	0.468659931408837	0.0667734892379742	0.871314940826282	NA	37_53_vs__37	NA	male
hsa-let-7g-5p	15.3117666003284	20.7126432121643	227.888849786859	10.9678164961001	5.42565920532236	9.49122855443998	-0.406708662531001	0.372692538124946	0.781068404368237	37_53_vs__37	FALSE	male
hsa-let-7i-3p	0.423600398871212	0.411810612330346	0.52264944743308	0	0	0	0.176748058033971	0.823506285033725	NA	37_53_vs__37	NA	male
hsa-let-7i-5p	16.5987160967874	26.1681797910504	202.496381560515	8.35296512260575	7.37999547585919	11.9648123355549	0.0468200309396653	0.912492368539849	0.978034402451628	37_53_vs__37	FALSE	male
hsa-miR-1-2-5p:Novel	8.42062053824336	9.06767361096264	8.6344191544717	4.24429460802612	4.30023977030257	4.38172677130867	-0.0658436351873773	0.856576213557686	0.964458884171075	37_53_vs__37	FALSE	male
hsa-miR-1-3p	2.38371925635169	1.93556455830166	2.59891998463359	1.80386745297386	0.989246309927337	1.9198677274997	-0.196063090189761	0.590747556489755	NA	37_53_vs__37	NA	male
hsa-miR-1-5p	15.9457149190289	19.1242224488423	14.255891604658	8.86172451534558	7.58703750416892	7.11024719732757	0.193084481215214	0.587789529707751	0.918227664824647	37_53_vs__37	FALSE	male
hsa-miR-100-3p	0.327409071163943	0.280992153974266	0.252395574969222	0	0	0	0.259327931500522	0.812200931296259	NA	37_53_vs__37	NA	male
hsa-miR-100-5p	1.99226511578762	5.52659155584734	8.70206519515493	0.456737520143151	0.295403095824552	1.81791887130103	0.588083769616092	0.376179777248958	NA	37_53_vs__37	NA	male
hsa-miR-101-2-5p	0.904958659960537	1.37136254377707	1.29202396110711	0.708554045345555	0	0.274746483253118	-0.245843209475633	0.63753045653935	NA	37_53_vs__37	NA	male
hsa-miR-101-3p	3.44642609037618	3.0794570527581	3.80119121486811	3.52591228533744	1.59869121074775	2.58702676091073	-0.477118446319901	0.205141250266705	NA	37_53_vs__37	NA	male
hsa-miR-101-5p	2.55056160742178	3.19787473357309	17.1898263667799	1.73688142837531	1.94272618851484	2.83123595985743	0.493485471380867	0.24404581875741	0.688782611679223	37_53_vs__37	FALSE	male
hsa-miR-10226	3.51740303982444	4.4974384160024	3.08638934971978	2.37765026988529	0.958270911155839	1.51033133382995	0.247168147351614	0.557098294678063	NA	37_53_vs__37	NA	male
hsa-miR-10226-3p:Novel	13.2063126081555	8.3882037050831	13.4232236408863	7.45348257130922	5.7336530270701	8.51714098084665	-0.464192874837526	0.153744570247622	0.612666565248566	37_53_vs__37	FALSE	male
hsa-miR-10392-3p	1.51847506928285	1.17963915234839	2.67935157615766	0.872063769147381	0	1.01899232427623	-0.173823049922118	0.740731190969079	NA	37_53_vs__37	NA	male
