ID	Average__37	Average_37_53	Average__53	Median__37	Median_37_53	Median__53	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-30e-3p	15.3979120959936	8.65765679137127	5.53893471120467	2.42558821327307	1.8624211585188	2.26813497011521	-0.974146049816102	0.000815353975281686	0.0508583213932247	_53_vs__37	FALSE
hsa-miR-30e-5p	10.4072347973579	12.9291631040057	10.0397695617428	2.79594770088591	2.28242728852451	3.23823494678297	0.142615436796378	0.610990679126783	0.85229449454862	_53_vs__37	FALSE
hsa-miR-31-3p	2.5632017505142	1.20203703320007	1.05616200193517	0.533859448278331	0	0	-1.08645163071087	0.00365363363660116	0.096857939491225	_53_vs__37	FALSE
hsa-miR-31-5p	8.97413142495184	4.76173527071223	5.27228602851642	2.15728135551792	2.25401683123355	3.04065647320373	-0.372049081194535	0.186821853524171	0.536781041437208	_53_vs__37	FALSE
hsa-miR-3115	0.428865199734719	0.663682339800299	0.95917254709033	0	0	0	0.178672215993264	0.648003649419138	NA	_53_vs__37	NA
hsa-miR-3115-3p:Novel	13.5172210559085	3.64344208764967	6.79158376317692	3.16683182458734	1.85810534498729	2.85115893481747	-0.133494607000726	0.604222661300455	0.848369516931798	_53_vs__37	FALSE
hsa-miR-3116	2.81832328821562	1.70873996988327	2.68303201699182	1.24297711123838	0.958270911155839	1.08369197681434	-0.0206892282639801	0.936620884224866	0.984434930515855	_53_vs__37	FALSE
hsa-miR-3116-5p:Novel	0.877224599717635	0.386918130343001	2.80087051897871	0	0	0	0.126518383568723	0.768660240379663	0.929962159207608	_53_vs__37	FALSE
hsa-miR-3117-3p	0.952703546183945	0.890545405333083	0.854264932260126	0	0	0	-0.284962181431399	0.39623376372022	NA	_53_vs__37	NA
hsa-miR-3117-5p	1.66949777705802	0.838540481533167	1.00766825031509	0.604799497980929	0	0	-0.565628047407182	0.109450472222848	0.430140780390834	_53_vs__37	FALSE
hsa-miR-3118	12.7179568885594	7.52829253845803	6.37698438763125	2.64582965705242	0.751422350402435	0.660310971320885	-0.889912187781779	0.0146687497819233	0.177714945514638	_53_vs__37	FALSE
hsa-miR-3118-2-5p:Novel, hsa-miR-3118-3-5p:Novel, hsa-miR-3118-4-5p:Novel	4.31702873794175	2.98760093235605	2.88700056888153	1.27707104116728	1.09112465049131	1.18602832653259	-0.22720334084979	0.446979704566795	0.761574623011085	_53_vs__37	FALSE
hsa-miR-3119	0.877891739755385	1.10591422765202	0.642476352069261	0.34862208660155	0.201853680220157	0	-0.307802136951839	0.325053554212652	NA	_53_vs__37	NA
hsa-miR-3119-3p:Novel	2.48984745499196	1.64653125474519	2.48211940836202	0.585199947874152	0.687192661631725	0.740497689250788	-0.331511671758484	0.329899943643175	0.672855045544995	_53_vs__37	FALSE
