ID	Average__37	Average_37_53	Average__53	Median__37	Median_37_53	Median__53	log2FoldChange	pvalue	padj	comparison	treshold
hsa-let-7a-2-3p	1.21714355918244	0.913990028015617	0.864926330571596	0.125821573075887	0	0	0.039672179467002	0.89337252809354	NA	37_53_vs__37	NA
hsa-let-7a-3p	577.446999256244	551.316951820929	242.720015680642	26.7380364755782	23.9037858330359	26.545030835541	-0.0394440715294543	0.865350248654571	0.954623723673998	37_53_vs__37	FALSE
hsa-let-7a-5p	16.5089625927956	21.6542464195186	15.120238255618	10.460230145726	8.79442696945472	10.311967624984	-0.0553065418577857	0.775033663062372	0.921913722296169	37_53_vs__37	FALSE
hsa-let-7b-3p	0.534117616125749	0.769940565268152	0.411556929656347	0	0	0	0.091917346886865	0.848136297216148	NA	37_53_vs__37	NA
hsa-let-7b-5p	316.235161169525	367.705647517832	136.656876561327	15.4259108891434	13.6574880621092	15.8520842006112	-0.226702757373815	0.367237719205835	0.71260997944688	37_53_vs__37	FALSE
hsa-let-7c-3p	11.5197749617996	7.33878354721536	8.25443380993123	3.45216705724481	1.85810534498729	1.21817763746516	0.30309657562218	0.223349160916517	0.578804855467252	37_53_vs__37	FALSE
hsa-let-7c-5p	29.9884202666436	22.1004223837275	12.6152283860511	4.25388531435086	2.82615554693004	4.86436011981145	-0.193127019481577	0.421695498232965	0.751820822093795	37_53_vs__37	FALSE
hsa-let-7d-3p	7.59660703542411	4.70918730594278	4.21646665291072	2.22950112314086	2.25967385561204	1.33891813828677	-0.422456116058856	0.126747980671528	0.467979845101007	37_53_vs__37	FALSE
hsa-let-7d-5p	67.6803454788822	66.1278272285586	28.1249767400425	5.28687310325403	5.09253900200071	6.88000223946394	0.125517556545541	0.609230686099305	0.860417586244206	37_53_vs__37	FALSE
hsa-let-7e-3p	0.111917804205676	0.18564153995884	0.137544610998198	0	0	0	0.232145089119506	0.752607815353466	NA	37_53_vs__37	NA
hsa-let-7e-5p	9.31058825499067	5.53415235371217	7.28824495040264	2.96364956493766	2.37889602190307	3.80156553585349	-0.404603753355571	0.0776359001376735	0.372441078229731	37_53_vs__37	FALSE
hsa-let-7f-1-3p	0.136275928040588	0.119704782648271	0.139349664600874	0	0	0	-0.409833321593029	0.645123943431293	NA	37_53_vs__37	NA
hsa-let-7f-2-3p	0.737216145695814	0.588405581370696	0.583742141025423	0	0	0	-0.145229719436887	0.657250464792518	NA	37_53_vs__37	NA
