ID	Average__37	Average_37_53	Average__53	Median__37	Median_37_53	Median__53	log2FoldChange	pvalue	padj	comparison	treshold
hsa-let-7a-2-3p	1.21714355918244	0.913990028015617	0.864926330571596	0.125821573075887	0	0	-0.423253540796727	0.195070334907856	NA	_53_vs_37_53	NA
hsa-let-7a-3p	577.446999256244	551.316951820929	242.720015680642	26.7380364755782	23.9037858330359	26.545030835541	-0.03707754916179	0.882014163294938	0.98837635068861	_53_vs_37_53	FALSE
hsa-let-7a-5p	16.5089625927956	21.6542464195186	15.120238255618	10.460230145726	8.79442696945472	10.311967624984	-0.0634552716844625	0.761005990751561	0.958862527604992	_53_vs_37_53	FALSE
hsa-let-7b-3p	0.534117616125749	0.769940565268152	0.411556929656347	0	0	0	-0.500868950597308	0.334264820459026	NA	_53_vs_37_53	NA
hsa-let-7b-5p	316.235161169525	367.705647517832	136.656876561327	15.4259108891434	13.6574880621092	15.8520842006112	0.252744339409656	0.348912200310057	0.781072012368644	_53_vs_37_53	FALSE
hsa-let-7c-3p	11.5197749617996	7.33878354721536	8.25443380993123	3.45216705724481	1.85810534498729	1.21817763746516	-0.214070662901421	0.431473792831822	0.839466018706809	_53_vs_37_53	FALSE
hsa-let-7c-5p	29.9884202666436	22.1004223837275	12.6152283860511	4.25388531435086	2.82615554693004	4.86436011981145	0.100346677768938	0.693155287005338	0.934012644851136	_53_vs_37_53	FALSE
hsa-let-7d-3p	7.59660703542411	4.70918730594278	4.21646665291072	2.22950112314086	2.25967385561204	1.33891813828677	-0.025568205555494	0.932160685515451	0.99228380913405	_53_vs_37_53	FALSE
hsa-let-7d-5p	67.6803454788822	66.1278272285586	28.1249767400425	5.28687310325403	5.09253900200071	6.88000223946394	0.0748965082041031	0.772538450920484	0.958862527604992	_53_vs_37_53	FALSE
hsa-let-7e-3p	0.111917804205676	0.18564153995884	0.137544610998198	0	0	0	-0.408094024838049	0.607200403474662	NA	_53_vs_37_53	NA
hsa-let-7e-5p	9.31058825499067	5.53415235371217	7.28824495040264	2.96364956493766	2.37889602190307	3.80156553585349	0.64707920530238	0.00822183515934664	0.175808961164347	_53_vs_37_53	FALSE
hsa-let-7f-1-3p	0.136275928040588	0.119704782648271	0.139349664600874	0	0	0	-0.374886126231283	0.695910533259368	NA	_53_vs_37_53	NA
hsa-let-7f-2-3p	0.737216145695814	0.588405581370696	0.583742141025423	0	0	0	-0.0053831775419331	0.98778663982248	NA	_53_vs_37_53	NA
hsa-let-7f-5p	3.42831766838253	2.16593365347774	1.94300582928701	1.46232663827589	0.958270911155839	0.94868238402606	-0.185933852528884	0.507992310460046	0.881037165654799	_53_vs_37_53	FALSE
hsa-let-7g-3p	8.69947036390665	6.22981088614022	4.09252658444206	4.44939868842092	1.14225928146933	1.0261238401903	-0.681947917714443	0.00530473847653939	0.144490971837168	_53_vs_37_53	FALSE
hsa-let-7g-5p	353.891239322646	403.62468202976	142.871419855739	9.31558955295973	6.49317238975548	8.84425563139984	0.0933254642934298	0.760793229509324	0.958862527604992	_53_vs_37_53	FALSE
hsa-let-7i-3p	0.417726022715061	0.431326599414249	0.495659140763508	0	0	0	-0.0266105618847673	0.947601415885085	NA	_53_vs_37_53	NA
hsa-let-7i-5p	376.571123779741	484.189459457683	134.580442587314	11.3148012987519	8.11646548719435	11.2556904741705	0.270688377795761	0.353943414820346	0.783193939176937	_53_vs_37_53	FALSE
hsa-miR-1-2-5p:Novel	12.1051055051425	8.67727809118227	8.51113846450298	4.234294802889	4.30023977030257	4.34010624901042	-0.113148860318555	0.644763191222244	0.921435466281383	_53_vs_37_53	FALSE
hsa-miR-1-3p	2.4215275301817	2.46056665067993	2.53911101647047	1.50143625009396	1.62730231851655	1.75091680158545	0.00542763097325594	0.979865963551634	0.99422890345736	_53_vs_37_53	FALSE
hsa-miR-1-5p	15.9840578184225	13.7275449805446	12.433081480156	7.89254782471531	6.60942464332434	6.37493932115317	-0.000148804642873429	0.999475044768105	0.999475044768105	_53_vs_37_53	FALSE
hsa-miR-100-3p	0.366973439993227	0.249548384142733	0.318837268146169	0	0	0	0.134434021554218	0.78452836157441	NA	_53_vs_37_53	NA
hsa-miR-100-5p	10.5076194457172	5.18330625240762	8.10136285925767	0.610576204194816	0.849775995460361	1.50602551325592	0.982607891915353	0.014930494011202	0.22967882446419	_53_vs_37_53	FALSE
hsa-miR-101-2-5p	1.08586156685103	1.73506422751798	1.60258768031381	0.511355247366167	0.638320686808693	0.751579111291498	0.105438561700216	0.708428622794032	NA	_53_vs_37_53	NA
hsa-miR-101-3p	3.68089631335804	3.44011522336291	4.02911811884535	2.47921671706877	2.27726488837588	2.96917868723364	0.29474773908219	0.138000541931381	0.589761802627243	_53_vs_37_53	FALSE
hsa-miR-101-5p	7.48300973865743	26.5965032167679	9.90059900602406	2.092597469851	2.23257392237253	2.34493208988871	-0.349963464662114	0.21144381075274	0.681607719204719	_53_vs_37_53	FALSE
hsa-miR-10226	4.53560906379086	4.30092480835336	3.8613337489643	2.56582396123896	1.92622843314473	1.69862067487366	-0.245192298677427	0.311985267504594	0.763365343565397	_53_vs_37_53	FALSE
hsa-miR-10226-3p:Novel	17.7805121771416	12.9752794247198	12.6596851506255	7.21659754472334	5.90806191649104	8.33258960496458	-0.134730281185678	0.564406461543586	0.891095979074046	_53_vs_37_53	FALSE
hsa-miR-10392-3p	1.64030596963373	1.32115701143463	1.84953271340211	0.736934366381158	0.201928883456661	0.602884670205638	0.510023530541023	0.102868599825677	NA	_53_vs_37_53	NA
