ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_16	Average16_	Averageformer	Averagenever	Median_16	Median16_	Medianformer	Mediannever
has-miR-548o	0.33500521171989	-0.388967744096548	1.67885906022555	-0.231685764047573	0.81678208921002	NA	never_vs__16	NA	0.980394838766115	0	0.383400869700912	0.190568879973626	0.51020893013634	0	0	0
has-miR-548x	1.34253497827163	1.38711984977604	1.20564570327847	1.15052029464716	0.249929640305171	NA	never_vs__16	NA	0.972745409499019	0.671399180962255	1.45852765376221	1.81938214116606	0	0	0	0
hsa-let-7a-2-3p	0.651958530811686	0.975020090056468	1.01989680078259	0.955998772923211	0.339072854433244	NA	never_vs__16	NA	0.590004097261239	0.401046896596971	0.574889315007422	0.87461211398531	0.737461363429067	0	0	0
hsa-let-7a-3p	107.079579117193	1.2711552541041	0.623400302129305	2.03906743349706	0.0414432979147577	0.310824734360683	never_vs__16	FALSE	15.3464819432989	30.0779745154653	37.7224540463467	309.598678609749	16.6680901849413	36.2470521814963	11.6057045343519	17.3580892990923
hsa-let-7a-5p	8.88540308861354	-0.236564526456395	0.555295640489337	-0.42601545772614	0.670096582409332	0.923353605598511	never_vs__16	FALSE	20.7706688979957	8.01346596908323	6.72924776490599	9.54129599493411	7.14167358485448	4.83294029086618	3.26349427535184	3.91042512271001
hsa-let-7b-3p	0.306565999064634	0.426271822557041	2.0650039729835	0.206426635558074	0.836457666680612	NA	never_vs__16	NA	0.394296108455443	0.151532813041392	0.351632766882405	0.255071613928847	0	0	0	0
hsa-let-7b-5p	59.8544926669154	0.418239862391804	0.668748565834459	0.625406742921276	0.531704137731696	0.895373844631597	never_vs__16	FALSE	15.4277632836882	16.9183353520022	33.6798902491937	153.000561226537	11.6810669955293	11.3056337556227	8.1168569283345	9.12432528632336
hsa-let-7c-3p	2.47103870395693	0.965694103241481	0.803129615897344	1.2024137625189	0.229203259651126	NA	never_vs__16	NA	3.12738238140682	1.63992521218857	2.03552306670106	2.72289684900832	0	0.842720842835763	0.644695687817174	0.329720097088103
hsa-let-7c-5p	5.84057718586428	0.759772984499645	0.665759780703872	1.14121190032894	0.253781753303992	0.65917702726987	never_vs__16	FALSE	2.48356339650425	6.25245524497919	4.07645392203004	10.8990620309386	2.70704086129923	4.83294029086618	3.78170482431889	2.66452799221761
hsa-let-7d-3p	3.14167103099851	0.829570877289351	0.966074234360739	0.858703035215805	0.390504375487371	NA	never_vs__16	NA	3.26665417589977	0.098701478240627	2.18695700696499	6.02910836478271	2.71788909380026	0	1.07449281302862	0.881942487028445
hsa-let-7d-5p	11.7133277948065	0.0695875339537303	0.693325590412871	0.100367756384546	0.92005236715364	0.980822357437668	never_vs__16	FALSE	4.32935021021086	9.62152775896207	6.10665974385485	28.1007547706581	4.52714250418442	5.9219986338976	3.24721200410464	2.39601418693035
hsa-let-7e-3p	0.0608586128850125	1.14725508432211	5.85690601999122	0.195880739831954	0.844703512622695	NA	never_vs__16	NA	0	0.0240777383667361	0.0712610887020446	0.081689375258348	0	0	0	0
hsa-let-7e-5p	4.1603212682273	0.85363895068004	0.709602905204825	1.20298119471994	0.22898359780221	NA	never_vs__16	NA	2.31631205253423	1.42643221036123	5.87127560452474	4.72753977299552	2.10393991247014	0	2.49795843660763	1.95459559372379
hsa-let-7f-1-3p	0.0894118093577484	0.235484821399897	5.85583327861555	0.0402137168521933	0.967922742009717	NA	never_vs__16	NA	0.157185169343326	0.273114719790605	0.0918510849303915	0.0609401089689278	0	0	0	0
hsa-let-7f-2-3p	0.572280003248808	0.0773337822027996	1.13358341496409	0.0682206365953664	0.945609999612135	NA	never_vs__16	NA	0.336090155771852	0.185998984584028	0.815631271792572	0.381377367578272	0	0	0	0
hsa-let-7f-5p	1.70744674594843	-0.188908099753257	0.786532860528782	-0.240178267474108	0.810192060691661	NA	never_vs__16	NA	2.14152642002945	0.909967810992756	1.80894366279068	1.70437476200063	1.01848274011655	0	0.885614916840024	0.61240340838379
