ID	CMa001	CMa002	CMa003	CMa004	CMa005	CMa007	CMa009	CMa010	CMa010b	CMa011	Cii001	Cii002	Cii003	Cii004	Cii005	Cii006	Cii007	Cii008	Cii009	Cii010	Cii011	Cii012	Cii013	Cii014Zymo	Cii014	Cii015	Cii016	Cii017	Cii018	Cii019	Cii020	Cii021	Cii022	Cii023	Cii024	Cii025	Cii026	Cii027	Cii029	Cii030	Cii031	Cii032	Cii033	Cii034	Cii035
hsa-miR-3187-3p:mirBase	6	6	0	8	19	3	1	5	0	21	4	4	4	6	8	73	1	4	0	3	5	0	6	7	0	2	25	2	0	3	2	43	2	2	14	1	0	2	20	4	1	3	1	0	9
hsa-miR-3187-5p:mirBase	13	4	4	5	21	2	1	113	6	23	3	0	8	2	49	6	3	6	3	1	8	1	3	8	1	16	8	10	9	3	8	14	6	2	22	9	7	2	16	5	23	2	26	11	18
hsa-miR-3188-3p:Novel	39	23	6	11	69	16	2	127	1	70	11	14	17	16	14	12	12	29	3	10	4	8	9	41	10	21	4	15	7	3	29	11	14	2	55	6	7	0	23	21	6	22	17	7	35
hsa-miR-3188-5p:Novel	13	13	3	17	13	4	4	25	1	8	10	13	23	2	12	8	1	7	9	2	2	3	9	18	1	15	7	13	5	3	10	14	3	9	53	10	8	3	12	12	14	13	7	8	12
hsa-miR-3189-3p:mirBase	3	2	1	1	4	1	3	60	2	13	2	11	2	4	4	3	0	72	1	0	0	0	1	24	2	3	0	2	0	1	3	5	2	3	11	1	2	5	8	1	1	6	3	5	31
hsa-miR-3189-5p:mirBase	15	2	3	2	22	1	1	29	36	2	1	2	2	9	2	3	2	3	0	2	2	0	1	95	3	11	0	7	1	1	9	4	0	0	9	2	3	1	3	1	9	0	20	1	6
hsa-miR-3190-3p:mirBase	33	49	18	32	187	35	10	146	11	358	14	30	73	19	51	43	25	41	19	5	20	12	27	101	11	16	56	91	18	24	50	90	25	21	52	58	38	7	77	57	30	42	33	68	134
hsa-miR-3190-5p:mirBase	2	4	2	0	0	0	0	9	0	15	1	0	0	0	2	0	1	1	0	0	1	0	0	1	0	0	2	0	0	1	5	0	0	1	0	0	1	1	0	3	0	1	1	0	0
hsa-miR-3191-3p:mirBase	30	36	4	16	378	3	6	81	14	171	7	17	13	23	10	37	50	4	2	3	38	8	3	31	2	8	16	3	12	22	34	35	26	10	57	11	10	12	40	14	19	29	48	11	19
hsa-miR-3191-5p:mirBase	3	0	0	0	0	1	1	3	1	2	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	1	0	1
hsa-miR-3192-3p:mirBase	1	1	0	0	0	0	0	2	0	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	1	1	0	0	0	0	2
hsa-miR-3192-5p:mirBase	0	9	6	6	13	9	4	34	2	16	9	2	3	3	7	2	0	11	2	1	3	2	14	12	2	28	6	26	30	3	4	16	4	1	5	3	8	0	21	4	9	5	6	4	26
hsa-miR-3193-3p:Novel	38	14	1	42	68	4	10	142	9	146	13	8	50	8	25	13	97	89	27	3	21	8	5	7	2	6	28	13	46	26	9	15	9	23	30	22	22	13	79	11	9	14	29	22	28
hsa-miR-3193-5p:Novel	1	0	0	0	0	2	0	7	0	4	0	1	0	0	0	0	2	13	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	1	2
hsa-miR-3194-3p:mirBase	8	3	1	0	7	0	1	3	2	5	2	1	2	3	0	1	1	3	0	1	0	0	0	10	0	2	2	0	0	1	1	5	2	0	19	1	1	0	0	1	0	3	1	2	7
hsa-miR-3194-5p:mirBase	2	4	7	3	2	0	0	4	3	5	2	7	2	4	2	2	0	4	0	1	2	3	1	5	0	6	2	0	0	1	0	4	2	2	5	0	1	0	5	15	2	4	4	0	7
hsa-miR-3195-3p:Novel	11	33	7	20	17	12	11	71	6	20	10	17	14	16	31	19	5	10	17	14	17	4	16	56	7	11	13	10	2	2	12	25	43	18	28	4	14	2	38	24	10	26	14	25	34
hsa-miR-3195-5p:Novel	22	37	19	32	31	8	10	21	3	15	14	27	34	17	98	47	8	11	20	16	48	8	33	53	5	15	23	24	6	4	16	40	1	27	43	18	40	7	37	25	11	81	18	28	60
hsa-miR-3196-3p:Novel	14	34	14	41	39	4	15	37	2	22	12	20	41	8	58	54	10	5	32	13	23	2	32	29	6	5	17	46	9	1	25	14	3	21	27	9	61	3	27	7	15	32	16	56	118
hsa-miR-3196-5p:Novel	9	3	1	9	8	2	3	26	3	37	1	4	7	8	14	20	2	2	11	1	3	1	6	28	7	7	3	119	4	3	5	79	21	1	29	9	10	9	3	2	2	13	6	5	12
hsa-miR-3197-3p:Novel	23	13	9	9	23	8	0	33	5	20	5	6	11	15	6	8	2	12	6	4	4	5	1	44	6	28	2	6	3	3	10	15	4	1	17	9	9	2	20	14	24	22	7	6	16
hsa-miR-3197-5p:Novel	22	207	151	302	190	12	19	127	6	791	83	15	747	68	1213	65	34	9	15	43	536	92	55	308	28	21	147	221	18	4	143	388	30	10	48	93	48	10	52	36	469	39	109	105	30
hsa-miR-3198-1-3p:Novel	0	1	0	2	4	3	3	7	1	6	1	6	3	0	9	1	1	27	1	0	0	0	1	0	0	0	3	6	1	3	2	4	1	2	3	4	0	0	3	2	3	5	2	2	9
hsa-miR-3198-1-5p:Novel	4	10	2	2	57	3	0	45	1	21	4	4	5	0	9	5	3	5	4	3	4	5	3	22	2	2	3	7	2	6	5	8	1	1	15	7	3	2	78	2	2	7	9	5	15
hsa-miR-3198-2-3p:Novel	1	2	0	2	8	1	0	42	2	9	1	25	4	1	4	3	2	22	5	0	4	1	1	5	1	1	3	5	1	0	1	5	5	0	14	1	3	2	6	4	2	3	15	7	13
hsa-miR-3198-2-5p:Novel	4	11	0	3	10	6	1	28	3	18	5	9	4	3	9	5	2	2	6	2	6	8	3	16	3	2	3	6	1	2	6	9	4	2	7	6	2	2	7	4	2	9	3	5	8
hsa-miR-3199-1-3p:Novel	20	7	39	2	39	27	29	302	5	45	5	23	8	6	4	66	7	8	2	2	1	4	2	10	1	7	3	6	2	24	12	10	192	2	42	7	11	1	33	8	3	4	9	4	14
hsa-miR-3199-1-5p:Novel	11	10	11	7	14	4	5	14	2	17	9	4	6	2	7	9	4	6	5	0	3	1	6	10	0	4	0	4	1	7	7	3	11	5	20	2	6	1	3	0	4	4	4	5	13
hsa-miR-3199-2-3p:Novel	2	4	0	7	12	0	5	33	1	45	9	7	4	3	3	3	2	8	0	2	7	1	4	4	0	3	0	4	4	18	2	5	12	0	8	2	4	0	4	2	2	6	2	6	21
hsa-miR-3199-2-5p:Novel	0	3	4	0	5	1	24	289	3	15	0	15	1	2	7	61	3	5	0	0	2	0	0	4	0	2	2	0	0	20	0	10	185	0	13	1	1	0	31	3	1	2	1	4	4
hsa-miR-32-3p:mirBase	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	0	0	0	0	1	1	1
hsa-miR-32-5p:mirBase	0	2	0	1	5	1	0	8	0	2	0	1	2	0	0	0	2	4	2	1	0	0	0	0	0	0	1	2	0	1	2	6	0	0	7	6	3	0	3	2	2	1	0	2	2
hsa-miR-3200-3p:mirBase	0	3	1	0	1	1	4	2	0	1	0	1	1	3	0	1	2	1	1	0	0	0	2	2	0	0	1	3	0	1	3	2	5	0	4	1	0	0	3	0	0	19	5	0	2
hsa-miR-3200-5p:mirBase	0	3	0	14	13	4	5	29	1	50	4	3	9	7	5	11	1	8	17	2	1	2	4	6	1	4	5	2	2	10	7	15	10	0	14	10	9	3	7	5	1	5	4	7	7
hsa-miR-3201-3p:Novel	6	2	0	2	9	2	0	14	1	22	0	52	7	3	5	3	0	251	2	0	1	1	0	6	0	2	4	1	7	4	0	6	14	1	8	3	3	32	1	2	0	9	3	18	119
hsa-miR-3201-5p:Novel	0	1	0	0	0	0	0	1	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	1	1	0	2
hsa-miR-3202-1-3p:Novel	0	21	5	8	24	6	4	23	1	33	2	3	22	0	28	9	2	4	8	1	7	5	2	19	2	3	3	4	2	3	14	23	3	3	6	7	7	3	20	0	5	7	6	8	10
