ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageinactive	AveragemodAct	AveragemodInact	Medianinactive	MedianmodAct	MedianmodInact
has-miR-548o	0.33500521171989	-1.10995439008721	1.4933897504285	-0.743244949798757	0.457333393899638	NA	modAct_vs_inactive	NA	0.571892602926173	0.309057612176832	0.273823933844717	0	0	0
has-miR-548x	1.34253497827163	1.9438551987815	1.11222303369327	1.74772068181927	0.0805124057654941	0.972641001947623	modAct_vs_inactive	FALSE	0.506591433966836	1.05980246383942	2.38371113842611	0	0	0
hsa-let-7a-2-3p	0.651958530811686	0.369297200080081	0.912895294480897	0.404534016455935	0.685820068879652	0.994663395264892	modAct_vs_inactive	FALSE	0.687644912685525	0.802467577116447	0.516125792782556	0.463248527073289	0	0
hsa-let-7a-3p	107.079579117193	0.12701303165624	0.584460850254386	0.217316577493527	0.827961638817235	0.994663395264892	modAct_vs_inactive	FALSE	22.709362695183	270.650870845031	29.6270969452924	17.9492185144351	12.8231235514742	19.1904020310629
hsa-let-7a-5p	8.88540308861354	-0.142621909876501	0.504967154692486	-0.282437993345042	0.777607685843762	0.994663395264892	modAct_vs_inactive	FALSE	8.94720523091822	12.2582330248128	5.85091172142434	8.00168641226412	4.35224684351315	3.39494246705517
hsa-let-7b-3p	0.306565999064634	-0.49474434296509	1.8299189477286	-0.270364074637948	0.786880175537903	NA	modAct_vs_inactive	NA	0.805164141554129	0.175518122978384	0.30199872217407	0	0	0
hsa-let-7b-5p	59.8544926669154	-0.189908880616582	0.618421177611275	-0.307086638510874	0.758777427602935	0.994663395264892	modAct_vs_inactive	FALSE	17.2019096480805	137.426489815901	26.5566792950582	12.5565971753767	9.06352512859902	12.9664878588263
hsa-let-7c-3p	2.47103870395693	-0.245603477774447	0.691738536365886	-0.355052472665102	0.722550281222292	0.994663395264892	modAct_vs_inactive	FALSE	3.65099333907845	2.45233145893408	1.88979424700498	0.800168641226412	0	0.399335697821725
hsa-let-7c-5p	5.84057718586428	0.575729136433479	0.599157077182413	0.960898499506831	0.336603205332379	0.994663395264892	modAct_vs_inactive	FALSE	3.10588847251013	9.10386736623558	5.52043848758056	2.38707986028689	2.36687824854565	4.0645820320649
hsa-let-7d-3p	3.14167103099851	0.577874117444572	0.9449604502882	0.611532596171965	0.540847045677505	0.994663395264892	modAct_vs_inactive	FALSE	1.75726804955242	2.99013580213057	5.64488881559913	0	0.666131998054403	1.6233713856669
hsa-let-7d-5p	11.7133277948065	0.148162304415527	0.635132762935554	0.233277690999166	0.815545780773091	0.994663395264892	modAct_vs_inactive	FALSE	5.79595277538371	25.8117691713789	5.14704415127752	3.31057137114488	3.53217094523753	3.24721200410464
hsa-let-7e-3p	0.0608586128850125	0.422228025072071	5.47467869551685	0.0771238000538422	0.938525059681392	NA	modAct_vs_inactive	NA	0.142156512045264	0.0773027502219689	0.0219374511576608	0	0	0
hsa-let-7e-5p	4.1603212682273	0.529427365760622	0.63706267366653	0.831044397427295	0.405948548843369	0.994663395264892	modAct_vs_inactive	FALSE	1.68591774079949	4.35720409892437	5.81876025055252	1.38974558121987	2.49795843660763	2.09131037747788
hsa-let-7f-1-3p	0.0894118093577484	0.513287994122958	5.47355398638099	0.0937759991771514	0.925287097534123	NA	modAct_vs_inactive	NA	0.0286639024466826	0.0772171211785985	0.141870093325239	0	0	0
hsa-let-7f-2-3p	0.572280003248808	-0.713008123816092	0.987915698699362	-0.721729723249465	0.470460664021389	0.994663395264892	modAct_vs_inactive	FALSE	0.909097872855793	0.314645548959468	0.680904830098675	0	0	0
hsa-let-7f-5p	1.70744674594843	-0.829183770496902	0.686299453255674	-1.20819529516367	0.226972151066044	0.994663395264892	modAct_vs_inactive	FALSE	2.20157354430286	1.42957469666539	1.91563380133133	1.60033728245282	0	0.79867139564345
hsa-let-7g-3p	3.30512279180099	-0.905129180726914	0.652782555139312	-1.38657072496943	0.165572700272388	0.994663395264892	modAct_vs_inactive	FALSE	7.45270984774934	3.83764598302734	1.67764263121372	1.19353993014344	0	0
hsa-let-7g-5p	58.7401199969797	0.398490385837877	0.691662048461853	0.576134525125467	0.564524256784168	0.994663395264892	modAct_vs_inactive	FALSE	10.9010305302215	143.924192531333	21.9925710606676	4.86410953426954	6.56802674133682	4.8701141570007
hsa-let-7i-3p	0.319245396108944	-0.591709605544437	1.21431646616362	-0.487277923039141	0.626061390635204	NA	modAct_vs_inactive	NA	0.387298956197531	0.268184749292559	0.359632698274011	0.231624263536645	0	0
hsa-let-7i-5p	56.5348814994354	0.503979863476787	0.665950036495613	0.756783295829292	0.449179701989103	0.994663395264892	modAct_vs_inactive	FALSE	25.7961109688069	127.509702149544	24.5777135468205	6.60414412558603	7.16512008145835	6.84512316931625
hsa-miR-1-2-5p:Novel	7.00675042297127	0.0774630456818653	0.532373960525961	0.145504948448897	0.88431220903313	0.996737332134339	modAct_vs_inactive	FALSE	7.13001488938217	6.9127028308982	8.1482870783289	4.18553239179224	3.77360339308926	4.05842846416725
hsa-miR-1-3p	1.57424954783031	0.138532405231261	0.534324842889211	0.259266262976256	0.795429807870451	0.994663395264892	modAct_vs_inactive	FALSE	1.3921798510898	1.48424659749349	1.91199999131535	0.734881812941981	1.02041786027268	1.44624330935635
hsa-miR-1-5p	11.0494412944013	-0.0777302140676322	0.496120214456158	-0.156676167998595	0.875500070270941	0.996737332134339	modAct_vs_inactive	FALSE	23.155962595991	9.93492686011252	13.7916902135144	8.37106478358448	6.35847495057915	7.31958632117258
