ID	Average_no	Average_low	Average_high	Median_no	Median_low	Median_high	log2FoldChange	pvalue	padj	test	treshold	samples	biospecimen
hsa-let-7a-2-3p	1.03639294178429	1.05654475664244	1.92415312794731	0	0	0.531954871265318	0.700497971928407	0.285849375612083	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7a-3p	48.8768392082969	35.2030332924936	651.511869702768	27.3723458838665	19.7849261985467	20.8355003961839	0.746351076582594	0.0708757251599758	0.964957830096324	high_vs_no	FALSE	male	stool
hsa-let-7a-5p	13.4573253923574	13.2422632653846	12.573860795007	7.94681878921151	5.58597982912273	10.1160500055586	0.392297685233909	0.282642268551913	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7b-3p	0.203907873152507	0.694249738148045	0.131887395679988	0	0	0	-0.162087074826919	0.888632528948475	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7b-5p	35.235295848105	30.0664806881935	315.079943409436	13.1770219438565	11.7897192700504	9.73975858463322	0.589444779170457	0.193961692798242	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7c-3p	7.72764451878788	6.69668038595696	6.96568180294267	2.37458017029279	0.590806191649104	1.0096444172833	0.395194600202345	0.423955465780059	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7c-5p	6.31682814775648	5.82950264528455	18.7363472574014	4.59247037226383	3.69812140669356	3.23430419386287	0.669558169071975	0.116675750971674	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7d-3p	3.58817983205181	5.33067155011448	4.49588413742974	1.14596368092834	1.87545481897323	1.17244946840062	0.865315878792271	0.172302217315874	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7d-5p	9.05371224989926	7.34685866360515	57.3827916351136	6.54482369363369	3.84634344037493	4.38172677130867	1.01322137695706	0.0211818582468346	0.77923419516486	high_vs_no	FALSE	male	stool
hsa-let-7e-3p	0.232400082412039	0.117516515248496	0.0550580431985586	0	0	0	-0.38160490933954	0.886367499816848	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7e-5p	6.44414350232892	4.0490955507795	6.76821628318506	2.60094326535206	2.96773892978201	1.96348607830337	0.472786971608096	0.268943962735924	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7f-1-3p	0.105561062276547	0.136579417220826	0.142899168235069	0	0	0	0.115424372277377	0.965823276170272	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7f-2-3p	0.914230920842901	0.645457519494547	0.619253250296314	0	0	0	-0.331252436031241	0.64636838125437	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7f-5p	2.11107115909169	2.23616970210137	2.74605581653762	0.898580257500157	0.937727409486617	0.981743039151685	0.299787113646967	0.550128793774946	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7g-3p	7.59857263895367	3.95352433263027	6.90088928899429	1.27339214786982	0.468659931408837	1.67191143363774	0.661139466425293	0.170823465837472	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7g-5p	30.1443862843843	23.5126240385063	337.772624953255	11.4378109627529	5.92794787872508	6.49317238975548	0.0941005663851488	0.857600966695649	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7i-3p	0.390738537289758	0.43319611547406	0.612098014191639	0	0	0	0.452849654781005	0.631892542778354	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-let-7i-5p	29.8183597932907	40.6413407052203	268.697503272487	8.59371521205971	8.36667541725076	8.11646548719435	1.00229820291296	0.0387940108135647	0.898728117211526	high_vs_no	FALSE	male	stool
hsa-miR-1-2-5p:Novel	8.53789204281827	8.21476795976027	10.288934962349	4.25129190462892	4.1201336003667	4.38172677130867	0.492518795457382	0.233213314026178	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-miR-1-3p	2.18184553842872	2.40066065282299	2.23650899557865	1.40698844409401	1.84906070334678	1.41561797992872	0.0143735324321981	0.971720194447741	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-miR-1-5p	14.0035245515305	19.2993899115892	15.4555284790449	6.07099774577399	8.72421385688314	7.58703750416892	-0.0026467764293882	0.994941488615752	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-miR-100-3p	0.306900405025138	0.313597223081019	0.182241200105265	0	0	0	-0.168582174617794	0.896311116181569	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-miR-100-5p	5.12923660599616	5.80677393197229	5.22084064146727	0.963671465838694	0	0.981743039151685	0.858974315568797	0.254546015634592	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-miR-101-2-5p	0.800729203960131	1.42571623089937	1.48226845268752	0.114121364426225	0	1.06390974253064	0.732598391002382	0.206680524760736	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-miR-101-3p	3.30778005652648	3.25409242416532	4.05049717857762	2.16110990282591	1.59869121074775	2.87481273346752	0.706587792497327	0.08660677849165	0.989773803731209	high_vs_no	FALSE	male	stool
hsa-miR-101-5p	3.57261656536414	3.21086639241492	25.0744631127171	2.02646633065462	1.89648382521624	1.67191143363774	0.737576315537115	0.113043038400745	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-miR-10226	3.65293382001377	4.24405547406479	2.75849274028003	1.87110721614223	2.79298991456136	1.43341325676753	-0.205690397753803	0.675517985317399	0.999640398697109	high_vs_no	FALSE	male	stool
hsa-miR-10226-3p:Novel	13.5675578498111	11.4141677841461	7.5546180079201	7.71388879735574	7.44968463407521	5.7336530270701	-0.0752662639022842	0.839360265168056	0.999640398697109	high_vs_no	FALSE	male	stool
