ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	a.drinker.x	a.no_drinker.x	a.drinker.y	a.no_drinker.y
hsa-miR-193a-3p	1.18009149316764	0.776645594421476	0.728334159196973	1.06633141479698	0.286273853339769	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.25	0.396	0	0
hsa-miR-193a-5p	8.0095842285425	-0.292422750519972	0.352144741434334	-0.830404990087013	0.406309845216667	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	7.149	17.659	4.361	6.559
hsa-miR-193b-3p	0.819006915881799	0.734390205015419	1.07663338831008	0.682117248999812	0.495164814469518	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.882	0.118	0	0
hsa-miR-193b-5p	5.23191036699048	-0.040724766231998	0.581615951432496	-0.0700200297665402	0.944177717315263	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	5.526	1.937	1.257	1.006
hsa-miR-194-1-3p:Novel	157.231022357852	-0.375920089889787	0.480452058550779	-0.782429970273621	0.433961926256978	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	57.158	1279.103	15.799	31.986
hsa-miR-194-3p	131.235538653922	0.165892942170508	0.420747773058613	0.394281212624263	0.693373432355453	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	63.761	887.66	23.376	36.249
hsa-miR-194-5p	63.3927380676715	-0.25178430526254	0.28765006777571	-0.875314604336768	0.381402749902049	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	61.139	88.656	40.377	48.665
hsa-miR-195-3p	6.09805789277014	0.344427266772395	0.396713110638328	0.868202379846223	0.385283551656066	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	6.099	6.082	3.587	4.98
hsa-miR-195-5p	2.73783562860623	0.135505855048341	0.452623513520124	0.29937873530805	0.764651085322977	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	2.698	3.183	1.386	1.303
hsa-miR-196a-1-3p	0.132139329120129	0.0151921988363417	1.66233039983638	0.00913909703981652	0.992708157078607	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.137	0.076	0	0
