"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-4675","ANXA11","311","ENSG00000122359","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-4675","RHOA","387","ENSG00000067560","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-4675","RHOA","387","ENSG00000067560","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-4675","ASGR2","433","ENSG00000161944","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-4675","CCNF","899","ENSG00000162063","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-4675","COL1A1","1277","ENSG00000108821","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-4675","COX6B1","1340","ENSG00000126267","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-4675","CLDN4","1364","ENSG00000189143","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-4675","DAO","1610","ENSG00000110887","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-4675","DBN1","1627","ENSG00000113758","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-4675","ELK1","2002","ENSG00000126767","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-4675","HLA-B","3106","ENSG00000228964","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-4675","HLA-B","3106","ENSG00000224608","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-4675","HLA-B","3106","ENSG00000206450","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-4675","HLA-B","3106","ENSG00000232126","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-4675","HLA-B","3106","ENSG00000234745","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-4675","HLA-B","3106","ENSG00000223532","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-4675","HMGA1","3159","ENSG00000137309","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-4675","KMT2A","4297","ENSG00000118058","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-4675","MLLT1","4298","ENSG00000130382","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-4675","PKM","5315","ENSG00000067225","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-4675","PTPA","5524","ENSG00000119383","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-4675","MAPK1","5594","ENSG00000100030","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-4675","MAPK1","5594","ENSG00000100030","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-4675","MAPK1","5594","ENSG00000100030","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-4675","MAPK1","5594","ENSG00000100030","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-4675","MAPK1","5594","ENSG00000100030","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-4675","PTGS1","5742","ENSG00000095303","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-4675","RNF4","6047","ENSG00000063978","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-4675","RNF4","6047","ENSG00000063978","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-4675","SBF1","6305","ENSG00000100241","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-4675","SKI","6497","ENSG00000157933","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-4675","SLC7A1","6541","ENSG00000139514","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-4675","SPTBN2","6712","ENSG00000173898","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-4675","SPTBN2","6712","ENSG00000173898","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-4675","THRA","7067","ENSG00000126351","HITS-CLIP","24906430"
