ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	_16.x	16_.x	_16.y	16_.y
has-miR-548o	0.508180237618909	0.73868137142231	0.986773387214259	0.748582583390972	0.454108832778965	NA	O16_vs_never	NA	0.526	2.91	0	0
has-miR-548x	1.94677857551583	-1.57926007314732	0.894323956124946	-1.76587025577416	0.0774176183746362	0.409550081089168	O16_vs_never	FALSE	0.887	0.705	0	0
hsa-let-7a-2-3p	0.607516883507658	-0.0172389416431065	0.880403704453621	-0.0195807236565469	0.984377841179759	NA	O16_vs_never	NA	0.522	0.373	0	0
hsa-let-7a-3p	646.194041545214	2.9344596010536	0.551441735450576	5.3214318257139	1.02953693193607e-07	4.94249232916801e-05	O16_vs_never	TRUE	193.388	6783.166	15.299	39.092
hsa-let-7a-5p	16.368027327002	0.701491305476039	0.470409346453411	1.49123590074228	0.135899571181546	0.486194460279076	O16_vs_never	FALSE	15.297	48.239	8.163	6.801
hsa-let-7b-3p	0.51301229218846	0.185588698118345	1.17243716342402	0.158293087176072	0.874225855104307	NA	O16_vs_never	NA	0.404	1.414	0	0
hsa-let-7b-5p	365.947019840645	2.60956597224392	0.567296566551484	4.60000311319897	4.22484626447734e-06	0.000798111867053083	O16_vs_never	TRUE	133.369	3874.255	11.853	19.499
hsa-let-7c-3p	4.34674715349026	0.956884906206663	0.707546708691641	1.35239821548472	0.176247959996172	0.544924363461051	O16_vs_never	FALSE	2.786	8.456	0.198	0.87
hsa-let-7c-5p	29.025089553705	1.97977519221224	0.575701083328584	3.43889433170004	0.000584095175761394	0.0288988041721947	O16_vs_never	TRUE	14.821	270.667	2.522	4.452
hsa-let-7d-3p	5.51679874363461	-0.834106571045027	0.72922988222273	-1.14381841910075	0.252698949474051	0.620576375534579	O16_vs_never	FALSE	4.645	22.848	2.041	0
hsa-let-7d-5p	70.7894596388308	2.9147440069556	0.571202297540533	5.10282262432386	3.34624608505923e-07	9.93357052107581e-05	O16_vs_never	TRUE	22.964	737.136	4.361	6.277
hsa-let-7e-3p	0.0796403650922385	-0.321378220912454	2.64124798852482	-0.12167665524355	0.903155102258118	NA	O16_vs_never	NA	0.003	0.012	0	0
hsa-let-7e-5p	7.22691061603084	0.00300538152973441	0.569064676625051	0.00528126529933014	0.99578617954465	0.9998838472864	O16_vs_never	FALSE	3.471	44.569	2.617	1.745
hsa-let-7f-1-3p	0.144932101578174	0.208158697952081	2.55461246868096	0.0814834737182508	0.935057467234125	NA	O16_vs_never	NA	0.173	0.178	0	0
hsa-let-7f-2-3p	0.517320736409794	-0.114747025843548	0.805382107087472	-0.142475260914985	0.886704618941508	NA	O16_vs_never	NA	0.346	1.523	0	0
hsa-let-7f-5p	1.93636475505448	-0.519904372133702	0.62262201060201	-0.835024080872131	0.403704150014151	0.735229819219461	O16_vs_never	FALSE	1.741	2.668	1.109	1.554
hsa-let-7g-3p	2.95349899882309	0.698398534333414	0.625422973553101	1.11668193185442	0.264130345935869	0.632956238429927	O16_vs_never	FALSE	4.071	0.477	0.578	0
hsa-let-7g-5p	408.883307082126	2.54425878353568	0.640263295864231	3.97376954132819	7.07440162730208e-05	0.00612525274230572	O16_vs_never	TRUE	134.135	4399.409	4.896	9.497
hsa-let-7i-3p	0.345363278852592	0.614196210383911	0.961563818783312	0.638747214054983	0.522987392644077	NA	O16_vs_never	NA	0.436	1.088	0	0
hsa-let-7i-5p	437.470986032496	2.51257851674416	0.621485191210398	4.04286144268488	5.28028264396808e-05	0.00577496175482403	O16_vs_never	TRUE	137.293	4932.715	9.592	9.085
hsa-miR-1-2-5p:Novel	8.19821986110448	0.88449014222204	0.483426924315192	1.82962532232763	0.0673059845482379	0.386561957286697	O16_vs_never	FALSE	7.498	17.278	3.33	3.682
hsa-miR-1-3p	1.79203441113088	-0.592048341996484	0.54901773209301	-1.07837745010426	0.280865346119008	0.648486876928111	O16_vs_never	FALSE	1.9	1.787	1.02	0.468
hsa-miR-1-5p	11.0314503693355	0.278973209402748	0.457108932788208	0.610299185581666	0.541663636339461	0.818006567088227	O16_vs_never	FALSE	8.66	12.239	4.639	5.732
hsa-miR-100-3p	0.207240865685051	0.245934428174363	1.30676363376325	0.188201157286659	0.850718965315775	NA	O16_vs_never	NA	0.307	0.191	0	0
hsa-miR-100-5p	7.97762943098896	0.653837299282229	0.84130473084823	0.777170596227374	0.437058127553392	0.758199620891038	O16_vs_never	FALSE	1.686	51.906	0.37	0.319
hsa-miR-101-2-5p	1.29036880787959	0.272487391809538	0.57762024501187	0.471741415164453	0.637111372006541	NA	O16_vs_never	NA	0.7	1.964	0.139	0.768
hsa-miR-101-3p	3.12581028637542	0.39824682096853	0.427341079681786	0.931917945415122	0.351378932692016	0.705094918992741	O16_vs_never	FALSE	2.73	4.385	1.792	2.717
hsa-miR-101-5p	13.7908332278455	2.23651767451071	0.642288004206715	3.4821102992154	0.000497478733861935	0.0258440202241275	O16_vs_never	TRUE	6.029	121.664	1.358	2.255
hsa-miR-10226	2.40100865117564	-1.25904477453729	0.608710846710381	-2.06837906921073	0.0386043918324878	0.29973767904928	O16_vs_never	FALSE	2.894	1.885	1.85	0
hsa-miR-10226-3p:Novel	9.29156400526118	0.641861975708747	0.455602311720823	1.40882071753415	0.158888187488659	0.5188649270696	O16_vs_never	FALSE	12.229	20.733	7.565	7.455
hsa-miR-10392-3p	1.30228878532039	-1.06891694288857	0.706279421475333	-1.51344766729255	0.130165984733575	NA	O16_vs_never	NA	0.647	0.253	0	0
