ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-3186-5p	0.826214620321822	0.0608444760224702	0.483684265297863	0.125793788195696	0.899895159015267	NA	_16_vs_never	NA	0.881	0.568	1.361	0.384	0.147	0	0	0
hsa-miR-3187-3p	3.00050641765303	0.758005387417974	0.478535577002293	1.58401051843705	0.113191325489271	0.512775645608492	_16_vs_never	FALSE	2.025	2.177	7.142	6.112	0	0.766	0.786	3.383
hsa-miR-3187-5p	5.5852630062839	-0.202099973538469	0.35219714027188	-0.573826276336193	0.566085365689184	0.873416082049776	_16_vs_never	FALSE	4.19	4.45	4.18	24.704	2.156	2.772	2.02	5.569
hsa-miR-3188	9.22446782896129	-0.2218117321861	0.261324393847317	-0.848798418396779	0.395993470401981	0.787822440596855	_16_vs_never	FALSE	8.949	6.819	7.563	25.082	5.935	5.612	6.649	6.94
hsa-miR-3188-5p:Novel	2.62652768735247	0.016358012842802	0.330235920366755	0.0495343232941924	0.960493484728829	NA	_16_vs_never	NA	2.768	1.897	3.212	3.342	1.223	0.989	2.343	0.975
hsa-miR-3189-3p	3.2020480739421	-0.61792160929299	0.507735816625503	-1.21701402394615	0.223598880149088	0.632236735127882	_16_vs_never	FALSE	4.609	1.74	1.899	0.803	0.638	0.419	1.047	0.606
hsa-miR-3189-5p	3.50401986399058	-0.814552291394651	0.754026155223155	-1.08027060567094	0.280021695187148	0.699299572211427	_16_vs_never	FALSE	4.587	2.839	1.778	0.681	0	0	0.404	0
hsa-miR-3190-3p	30.9847172464632	0.0528023065638311	0.238615909077047	0.221285775823027	0.824869924718437	0.944105400094053	_16_vs_never	FALSE	26.655	26.303	29.363	87.502	19.193	18.828	16.523	25.773
hsa-miR-3190-5p	0.651357831141228	-0.585720508133267	0.607674267195619	-0.963872488523057	0.335109858413213	NA	_16_vs_never	NA	0.6	0.876	0.473	0.194	0	0	0	0
hsa-miR-3191-3p	17.1328864842279	1.16323597049242	0.362264426441766	3.21101351826886	0.00132267712498355	0.0941861238227531	_16_vs_never	FALSE	8.66	32.3	17.41	7.893	5.742	5.91	5.976	5.171
hsa-miR-3191-5p	0.203688004847094	-0.147405664445568	1.03063884410469	-0.143023587058392	0.886271552916889	NA	_16_vs_never	NA	0.224	0.136	0.272	0.185	0	0	0	0
hsa-miR-3192-3p	0.360755524983488	-0.857139463042747	0.855650233921856	-1.00174046480893	0.316468957782926	NA	_16_vs_never	NA	0.406	0.332	0.266	0.251	0	0	0	0
hsa-miR-3192-5p	2.9754949064614	-0.0262645373954044	0.335873848112837	-0.0781976255161754	0.937670850799284	0.979293134990127	_16_vs_never	FALSE	2.962	2.341	4.475	2.562	1.855	1.397	1.616	1.421
hsa-miR-3193	0.341596841680192	-0.279479389036229	0.682139157460878	-0.409710226981446	0.682018527028328	NA	_16_vs_never	NA	0.343	0.299	0.462	0.219	0	0	0	0
hsa-miR-3193-3p:Novel	8.00474175066453	-0.00892558560678347	0.405306011568893	-0.0220218436243607	0.982430531069468	0.995426810040174	_16_vs_never	FALSE	7.595	8.23	8.667	7.236	2.571	2.263	2.716	3.089
hsa-miR-3194-3p	1.03983338838707	0.166313677028028	0.522623293524513	0.318228596177616	0.750311542760074	NA	_16_vs_never	NA	1.114	0.817	1.422	0.543	0	0	0.297	0.225
hsa-miR-3194-5p	1.50378500832799	0.164698070433264	0.435961135891742	0.377781542605582	0.70559288625975	NA	_16_vs_never	NA	1.537	1.311	1.769	1.347	0.494	0.688	0.735	0.146
hsa-miR-3195	25.6821090315623	0.116411906064267	0.296914281308595	0.392072437712336	0.695004691977932	0.911332201827864	_16_vs_never	FALSE	21.728	21.082	40.708	45.427	14.654	11.809	14.147	18.917
hsa-miR-3195-3p:Novel	13.5050227228795	0.160321010018255	0.282250602418815	0.568009452041361	0.570028549821173	0.873416082049776	_16_vs_never	FALSE	12.001	11.973	19.41	18.806	7.696	7.935	10.437	7.333
hsa-miR-3196	6.29341813577874	0.596335288538363	0.42961879053331	1.38805681147721	0.165119746340152	0.571752814609364	_16_vs_never	FALSE	6.747	5.588	5.901	5.574	1.698	1.805	2.205	1.061
hsa-miR-3196-3p:Novel	16.6770923762959	0.756451930522219	0.284729948213092	2.65673468937693	0.0078901510559624	0.185474114259172	_16_vs_never	FALSE	12.976	13.922	23.474	43.833	8.49	8.284	13.446	15.391
hsa-miR-3197	23.8325246876603	-0.438404333447141	0.319076735273047	-1.37397774573562	0.169448591384658	0.580259150556109	_16_vs_never	FALSE	30.818	19.43	13.247	4.345	2.749	3.288	2.899	2.393
hsa-miR-3197-3p:Novel	2.56066472129693	0.151962695284399	0.340202518028351	0.446683040928388	0.655103928399305	NA	_16_vs_never	NA	2.276	2.436	3.64	2.808	1.332	1.064	1.74	1.561
hsa-miR-3198	2.71360101605225	-0.213581394718011	0.291812359444595	-0.731913463585024	0.464221387970129	NA	_16_vs_never	NA	2.717	2.407	2.655	3.785	2.096	1.454	1.48	2.255
hsa-miR-3198-5p:Novel	5.96399431324356	0.404348532435877	0.255017084205926	1.5855742908164	0.112835912063505	0.512775645608492	_16_vs_never	FALSE	4.816	5.965	7.379	11.419	3.935	4.595	4.78	7.306
hsa-miR-3199	3.53055737305251	-0.248895405256969	0.334113142154528	-0.744943475290936	0.456305891490258	0.807059969069969	_16_vs_never	FALSE	3.873	3.149	4.01	0.849	2.18	1.305	2.037	0.69
hsa-miR-3199-3p:Novel	4.23011822533239	0.00992880474705727	0.339088642748969	0.0292808531319867	0.976640597341997	0.995124027450423	_16_vs_never	FALSE	4.308	3.447	5.311	4.364	1.648	1.259	3.022	1.157
hsa-miR-32-3p	0.201565950101573	-0.336962924268396	1.31964674060014	-0.255343277788989	0.798457976631386	NA	_16_vs_never	NA	0.142	0.116	0.185	1.119	0	0	0	0
hsa-miR-32-5p	2.11641832009541	0.359353840046384	0.477387721324814	0.752750487694006	0.451599864681953	NA	_16_vs_never	NA	0.784	0.928	1.221	20.591	0	0.419	0.289	0
hsa-miR-3200-3p	0.947837423915364	-1.68788552859202	0.677855754447862	-2.49003643845565	0.0127729999086374	NA	_16_vs_never	NA	1.047	1.123	0.386	0.223	0	0	0	0
hsa-miR-3200-5p	5.03415989238984	-0.139526040942739	0.331228117435732	-0.421238516895569	0.673580921223984	0.911332201827864	_16_vs_never	FALSE	5.377	4.234	4.266	6.772	2.455	2.793	3.489	1.192
hsa-miR-3201	0.395378800128835	-0.606926944914113	0.82882379609167	-0.732274999554894	0.464000735440246	NA	_16_vs_never	NA	0.358	0.098	0.133	2.661	0	0	0	0
hsa-miR-3201-3p:Novel	9.19785012270565	-0.505478104255993	0.650048975258165	-0.777600032451777	0.43680484189832	0.805384252471163	_16_vs_never	FALSE	10.529	4.102	5.096	30.078	1.006	0.14	1.195	0.691
hsa-miR-3202	7.65636192435821	-0.451406921999607	0.360803360138905	-1.25111618091866	0.210892092882152	0.621177877331001	_16_vs_never	FALSE	5.981	4.771	4.838	40.39	3.231	3.288	2.803	3.681
hsa-miR-3202-3p:Novel	8.71727791204896	-0.408901428531679	0.330711202681651	-1.23643053279116	0.21629857258858	0.628561423598003	_16_vs_never	FALSE	6.67	5.287	6.33	46.181	3.532	3.549	4.753	3.454
hsa-miR-320a-3p	112.908044966988	-0.322524450695444	0.383856248896388	-0.840221962317204	0.400783946599355	0.790450313808833	_16_vs_never	FALSE	58.494	81.624	93.429	741.686	22.363	14.414	23.516	24.474
hsa-miR-320a-5p	11.0760634361025	0.110952585949802	0.350942608204277	0.31615592793799	0.751884157703164	0.921324213754666	_16_vs_never	FALSE	8.566	7.514	17.853	33.58	4.397	4.225	7.169	3.446
hsa-miR-320b	5.86782394755154	-0.362516250401791	0.270335756363604	-1.34098520772148	0.179925255323728	0.591099517436238	_16_vs_never	FALSE	6.037	5.896	5.514	3.848	5.104	3.676	4.687	4.097
hsa-miR-320b-1-5p:Novel	5.64428211828816	0.326717298887074	0.40884782719987	0.799117121704438	0.42422250255717	0.800069563001855	_16_vs_never	FALSE	2.796	5.479	5.371	29.685	1.148	1.245	1.53	0.792
hsa-miR-320b-2-5p:Novel	5.41494007389616	0.388220255028871	0.391331992228149	0.992048344472014	0.321173942924646	0.739364566539634	_16_vs_never	FALSE	2.754	4.769	4.779	31.08	1.245	1.115	2.252	2.823
hsa-miR-320c	31.4485013085517	0.260329301376839	0.349208103577704	0.745484708715851	0.45597875179719	0.807059969069969	_16_vs_never	FALSE	33.354	29.866	32.565	14.574	13.595	9.834	10.075	6.483
hsa-miR-320c-1-5p:Novel	4.40094416557173	0.302218158727686	0.319604302160343	0.945601034419321	0.344352116445416	0.760216511041534	_16_vs_never	FALSE	3.53	4.209	4.659	11.222	2.512	2.479	2.988	1.679
hsa-miR-320c-2-5p:Novel	3.38633354066374	0.402601944270661	0.30521681729538	1.31906867989202	0.187146152795905	0.602851207688443	_16_vs_never	FALSE	2.787	3.125	4.101	7.524	1.556	1.846	2.94	1.454
