ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageinactive	AveragemodAct	AveragemodInact	Medianinactive	MedianmodAct	MedianmodInact
has-miR-548o	0.554551669023745	-0.0790628218041105	0.633209288902351	-0.124860489556563	0.900633998284923	0.999652523199072	modInact_vs_modAct	FALSE	2.55018443918326	0.285083036488172	0.611893561706115	0.595640722457643	0	0
has-miR-548x	1.93982083112857	0.551320088091128	0.507164567183796	1.08706349726386	0.277008748533036	0.999652523199072	modInact_vs_modAct	FALSE	0.771218718860013	1.43223117060088	2.56675263687126	0.560388572893063	0	0.137942038942478
hsa-let-7a-2-3p	0.503414213967094	-0.118371847663365	0.573204971284945	-0.206508759681571	0.836393522973104	0.999652523199072	modInact_vs_modAct	FALSE	0.995699131855716	0.427295685905849	0.4588841008393	0	0	0
hsa-let-7a-3p	555.158999280154	-0.49646559998478	0.315819339294001	-1.57199239633205	NA	NA	modInact_vs_modAct	NA	3950.32620891258	181.828128824909	1026.46680124094	35.6493978912281	22.0051040415108	14.3061372793381
hsa-let-7a-5p	17.2370052169446	-0.122676399517425	0.30231969508458	-0.405783683670043	0.68490154829808	0.999652523199072	modInact_vs_modAct	FALSE	68.9583225267605	10.5624102488008	17.3101900774953	11.1128244689933	7.34114251916107	6.70992944350729
hsa-let-7b-3p	0.547829478708137	-0.254029995944189	0.792172889769085	-0.320674942585119	0.748456738155152	0.999652523199072	modInact_vs_modAct	FALSE	4.07366698931313	0.313493289794215	0.348636076695456	0.148954335108376	0	0
hsa-let-7b-5p	351.707712983451	-0.195345343051419	0.349153948540145	-0.559481981710881	NA	NA	modInact_vs_modAct	NA	2480.67838472417	153.079890725628	557.530535935298	19.3413689082008	15.0687009841776	12.814520386548
hsa-let-7c-3p	4.86939804721584	-0.132326346539511	0.413970041986165	-0.319651987145325	0.749232160229171	0.999652523199072	modInact_vs_modAct	FALSE	13.8531024962954	4.6967200917572	4.71113158324786	5.07014033361135	0.213022918097194	0.124227710317512
hsa-let-7c-5p	25.1465659692899	-0.312327860918835	0.334303997471886	-0.934263015939857	NA	NA	modInact_vs_modAct	NA	152.023306519697	9.36988950690277	47.5475037486837	7.46486191564088	2.92840609782349	2.57462036830016
hsa-let-7d-3p	4.57734484893286	-0.413158406937625	0.368432394373205	-1.12139543983506	0.262119576373487	0.999652523199072	modInact_vs_modAct	FALSE	7.55895149487673	3.24331862193482	7.83292394178758	2.40780398035309	1.75742070535191	0.685457775412213
hsa-let-7d-5p	68.1617650586211	-0.557093413117076	0.33556208024324	-1.66017987703871	NA	NA	modInact_vs_modAct	NA	396.826285375315	32.3965824652166	118.143264837818	10.5118687051511	4.30994779642219	3.21724108830224
hsa-let-7e-3p	0.0909110404776231	-0.110046832341213	1.56721632131158	-0.0702180234118008	0.944020129124592	0.999652523199072	modInact_vs_modAct	FALSE	0	0.123345223329047	0.0719875869028386	0	0	0
hsa-let-7e-5p	6.61490289521625	-0.00870916534179906	0.329115980080805	-0.0264622986087177	0.97888860441272	0.999652523199072	modInact_vs_modAct	FALSE	22.6724996370416	3.77813800946243	12.1056965363555	3.34067786704563	2.00573438124403	2.41186379162398
hsa-let-7f-1-3p	0.133803769918166	-0.252160542632685	1.78246386567644	-0.141467407832692	0.887500705850717	0.999652523199072	modInact_vs_modAct	FALSE	0	0.209060966104566	0.111676038349815	0	0	0
hsa-let-7f-2-3p	0.534959146867334	-0.357353122659148	0.48092384390988	-0.74305553194013	0.457448060406295	0.999652523199072	modInact_vs_modAct	FALSE	0.289527882057917	0.45747607082613	0.707345186900034	0	0	0
hsa-let-7f-5p	2.15344732867269	-0.41529358121643	0.366516681183959	-1.13308234668858	0.257179673996426	0.999652523199072	modInact_vs_modAct	FALSE	5.73270150151172	1.69105859713236	2.10105734003305	2.72146915008109	1.14403158816549	0.522122954309147
hsa-let-7g-3p	2.8143944648242	0.134778470856437	0.352611151042483	0.382229746444403	0.702290959449395	0.999652523199072	modInact_vs_modAct	FALSE	13.0083429938549	1.94893885249001	2.14502085716709	2.00982812191465	0.346295134676333	0.566322502660401
hsa-let-7g-5p	394.756015457846	-0.601599804267397	0.380946421021251	-1.57922419287892	NA	NA	modInact_vs_modAct	NA	2680.58898103922	177.338278436142	641.594854622863	17.632220332191	8.98620537719023	5.64380789521916
hsa-let-7i-3p	0.292152785093944	-0.244786405684225	0.730548605446644	-0.33507203197598	0.737570749825169	0.999652523199072	modInact_vs_modAct	FALSE	1.45912479671621	0.279819728559575	0.156086344941333	0.148954335108376	0	0
hsa-let-7i-5p	440.555551880483	-0.358322470194433	0.366114830448985	-0.978716075923515	NA	NA	modInact_vs_modAct	NA	3223.98544920455	191.634484460559	678.462332916316	18.39669294834	10.0435345402182	6.54766498412051
hsa-miR-1-2-5p:Novel	9.61925266081658	-0.424789372599221	0.330751739958608	-1.28431485395173	0.199031811554072	0.999652523199072	modInact_vs_modAct	FALSE	14.4131284034124	9.95220692559688	7.27572749983125	12.2929208236141	3.45341515695331	3.598729676333
hsa-miR-1-3p	1.82807523820018	-0.0604657403747026	0.319382403680982	-0.189320825686751	0.849841373932737	0.999652523199072	modInact_vs_modAct	FALSE	5.66471656967178	1.54770335554625	1.56532099767713	2.49342044513834	0.720636683001265	1.02628868727038
hsa-miR-1-5p	12.4383111564371	-0.121019214880665	0.285263916461844	-0.424235972013839	0.671393729100659	0.999652523199072	modInact_vs_modAct	FALSE	9.05393963689411	12.8087371926521	10.217581889484	8.2267867108332	6.06396788809809	6.0002877714967
