ID	Average_no	Average_low	Average_high	Median_no	Median_low	Median_high	log2FoldChange	pvalue	padj	test	treshold	samples	biospecimen
hsa-miR-504-5p	17.859017466754	27.6616699058773	22.4173736122883	16.9224323969477	21.7651230548722	18.089709110993	0.121184820260772	0.617856354563802	0.927122920693075	high_vs_no	FALSE	both	stool
hsa-miR-5047	2.71534965238239	2.89521141077033	8.08353601426025	1.40998022484125	1.17827664137607	0.907259648059808	0.505996875041348	0.282727683385391	0.765075777230207	high_vs_no	FALSE	both	stool
hsa-miR-5047-5p:Novel	6.62719121527173	5.81293346036568	2.48752080821758	0.879442696945472	1.47096677222463	0.468659931408837	-0.265127057631467	0.579438495373933	0.922181567318979	high_vs_no	FALSE	both	stool
hsa-miR-505-3p	2.01245632384515	2.57861126233312	1.54622070360915	0.376051292394871	0	0	-0.222650131061093	0.751827912131654	NA	high_vs_no	NA	both	stool
hsa-miR-505-5p	16.0753327056001	14.5861072763859	6.88553666874384	3.74081006599067	1.93129695800727	0.922704872695781	0.0249830987496963	0.956601971240058	0.994188434968914	high_vs_no	FALSE	both	stool
hsa-miR-506-3p	0.305940175180459	0.44072215434427	0.408190387211184	0	0	0	0.256628537951088	0.719811062538796	NA	high_vs_no	NA	both	stool
hsa-miR-506-5p	1.70994932229826	0.893088010783021	1.18248699102962	0.491321642537372	0	0	0.210101071781924	0.724973267731955	NA	high_vs_no	NA	both	stool
hsa-miR-507	3.77439628624001	21.5116525035791	13.2831485117741	1.74496722278196	1.79906892542562	1.87463972563535	0.678769410343677	0.287328007617968	0.770403490468194	high_vs_no	FALSE	both	stool
hsa-miR-507-5p:Novel	0.772074456706968	0.915297043565978	0.746261049587069	0	0	0	-0.3914544782722	0.415314133440842	NA	high_vs_no	NA	both	stool
hsa-miR-508-3p	1.54254607939185	1.88473629239816	0.868400536900991	1.40998022484125	0.652411422821815	0	0.208432592434418	0.582755708107891	NA	high_vs_no	NA	both	stool
hsa-miR-508-5p	0.502928991465389	0.299835798425519	0.51824887890068	0	0	0	-0.0425007552574757	0.958766460082005	NA	high_vs_no	NA	both	stool
hsa-miR-5087	3.35504544142182	2.98398991482789	3.47169685142215	1.69018804973339	1.2107016908598	0	-0.142059512427024	0.733777087390963	0.95256956695753	high_vs_no	FALSE	both	stool
hsa-miR-5087-3p:Novel	4.21810636749806	3.00723978583396	1.93886566446771	2.67494927441599	1.66069784994713	1.18897484544995	-0.439892368668213	0.230813694396996	NA	high_vs_no	NA	both	stool
hsa-miR-5088-3p	0.300276161798293	0.416866543593216	0.241145936743253	0	0	0	-0.0984004206644582	0.896428714348648	NA	high_vs_no	NA	both	stool
hsa-miR-5088-5p	4.8386541295484	10.2720238355003	5.28701305412731	2.94792985522423	2.29843995484152	1.84688191592152	0.172332855182689	0.683174413236306	0.951453345089817	high_vs_no	FALSE	both	stool
hsa-miR-5089-3p	1.8556104115006	10.3240142756204	10.2546124372133	0	0	0	0.80755073221057	NA	NA	high_vs_no	NA	both	stool
hsa-miR-5089-5p	5.20483005568218	5.77981444835671	3.17263372463343	2.63832809083642	1.95875405293851	0	0.321545240574189	0.445852296224258	0.858780115188878	high_vs_no	FALSE	both	stool
hsa-miR-509-3-5p	0.56147969346403	0.431758508352309	0.369026674728981	0	0	0	-0.430151153674344	0.551879648225226	NA	high_vs_no	NA	both	stool
hsa-miR-509-3p	3.86964613612845	3.94504584224004	3.60639997553337	2.11273506216674	2.16483150587438	1.67191143363774	-0.374841683775986	0.327617289734621	0.793906764438377	high_vs_no	FALSE	both	stool
hsa-miR-509-5p	12.0263769051263	13.854596089536	12.1591777282044	8.72483611390979	8.45467903012056	6.57807604036109	0.237518750860859	0.475378247442456	0.875255243820521	high_vs_no	FALSE	both	stool
hsa-miR-5090	15.2363110292789	11.4803372448485	8.71304452816484	10.4775656519994	7.0428411968808	5.54064574776457	-0.636135892867889	0.0338963236726376	0.449808733506012	high_vs_no	FALSE	both	stool
hsa-miR-5090-3p:Novel	29.219278580841	28.8993149947218	25.24467909794	11.0514590776191	11.1661271673378	11.7943754247775	0.18854226680962	0.622165882498775	0.927122920693075	high_vs_no	FALSE	both	stool
hsa-miR-5091	27.5692954576198	28.6622109381352	23.0824690063103	14.4078909271696	16.8255766914979	15.0439632846814	-0.272351289411133	0.378519535756434	0.818020354603663	high_vs_no	FALSE	both	stool
hsa-miR-5091-3p:Novel	32.9334734790921	31.4028180367855	22.3409826814937	23.6508248507375	20.2632379221661	13.860258502436	-0.0471567427401071	0.861840236765133	0.976286841067121	high_vs_no	FALSE	both	stool
hsa-miR-5092	25.220731605593	36.4251267980719	16.2064063674088	16.5462568653743	14.3938922547248	9.51179876359959	0.0572747336109424	0.864944245833523	0.977012845279755	high_vs_no	FALSE	both	stool
hsa-miR-5092-5p:Novel	8.66029818718783	23.2086799777143	22.0849297527828	3.49165827075283	3.60614702281038	3.2593978506778	0.878833943743196	0.115927675750461	0.640329926645195	high_vs_no	FALSE	both	stool
hsa-miR-5093	20.4129726460015	14.2715773317639	14.3788400514642	10.280333533224	10.7823089189259	10.0144428168146	0.0240676694298678	0.922748300445501	0.984620362070119	high_vs_no	FALSE	both	stool
hsa-miR-5093-5p:Novel	9.97480948318417	10.9445344295998	5.25421128891891	5.44825563003514	3.6541110950401	1.64847889951871	-0.070013441305441	0.843639570610757	0.97262462288294	high_vs_no	FALSE	both	stool
hsa-miR-5094	10.2751209453576	9.6195641974853	8.95776616221232	4.32697992888846	4.72471353407552	6.31916911482171	-0.0444346125372697	0.888578543255636	0.979525291697929	high_vs_no	FALSE	both	stool
hsa-miR-5094-3p:Novel	1.9568333446962	2.17201600502618	2.89039706622271	1.48941493588695	1.22620502060834	1.18897484544995	0.372302163366417	0.330972059052044	NA	high_vs_no	NA	both	stool
hsa-miR-510-3p	2.37404813118151	1.90304484902181	1.75557035401392	0.581655740927319	0.731729703633226	0.536749884712224	0.331457450615177	0.458148048532707	NA	high_vs_no	NA	both	stool
hsa-miR-510-5p	0.648045328319756	0.834710650343277	0.478678166225502	0	0	0	0.206623637992199	0.748192290583378	NA	high_vs_no	NA	both	stool
hsa-miR-5100	32.3744624909843	34.5228809334733	26.5783788452297	20.5099457024935	16.0812784047568	14.3411727013959	0.0870827827175499	0.79793683727114	0.968051955891911	high_vs_no	FALSE	both	stool
