ID	Average_no	Average_low	Average_high	Median_no	Median_low	Median_high	log2FoldChange	pvalue	padj	test	treshold	samples	biospecimen
hsa-let-7a-2-3p	0.154096738905301	1.50028420165648	0.769714513584341	0	0	0	2.55251572070494	0.028189323565934	NA	high_vs_no	NA	male	stool
hsa-let-7a-3p	29.3144989509521	218.993576421805	43.8510497356539	19.4344173248099	21.3699880736632	27.5279863987026	0.722135181603208	0.302135611214969	0.73548386375762	high_vs_no	FALSE	male	stool
hsa-let-7a-5p	7.93210001670709	11.8439012181188	16.9409438666853	6.62415237722266	6.99630075071638	6.07081661519291	0.799597056257049	0.187320705569772	0.625485130544152	high_vs_no	FALSE	male	stool
hsa-let-7b-3p	0.145416130965416	0.521438272133825	0.19303481359829	0	0	0	0.346999687910774	0.86227246603697	NA	high_vs_no	NA	male	stool
hsa-let-7b-5p	16.3991088203596	115.957286915098	32.4909585051149	11.0543575696546	14.4166402124574	10.8871157767177	-0.0557934808189825	0.94189169287823	0.988594752577838	high_vs_no	FALSE	male	stool
hsa-let-7c-3p	11.7841924494319	8.60410473676484	3.2480259699089	4.15869945786601	0.961585860093732	0.824239449759353	-0.347651399002885	0.659914525545652	0.915795558708522	high_vs_no	FALSE	male	stool
hsa-let-7c-5p	5.02874293431721	9.980734530944	5.7249523342333	4.3157360533091	4.10357313940218	3.73894879580706	0.372025866861221	0.594579032319586	0.883844012581842	high_vs_no	FALSE	male	stool
hsa-let-7d-3p	2.6779279398904	5.79207440547323	2.090425781611	2.14263827742595	1.8624211585188	0	-0.276319399670326	0.79072195660787	0.954262639833871	high_vs_no	FALSE	male	stool
hsa-let-7d-5p	7.09101852588459	22.4499134109213	8.36673539610713	4.61604896341577	4.67065435223865	5.44355788835885	1.32655689975816	0.0684965105528841	0.433227929883753	high_vs_no	FALSE	male	stool
hsa-let-7e-3p	0.531898728441275	0.180206330756427	0.020470853845556	0	0	0	-0.678935116491117	0.880639251707876	NA	high_vs_no	NA	male	stool
hsa-let-7e-5p	20.2764527998207	4.5845251750385	4.94230903201985	2.57610040146585	2.82545623182502	2.72177894417942	0.277475469741288	0.681630707894778	0.920025948684543	high_vs_no	FALSE	male	stool
hsa-let-7f-1-3p	0.0271295578075311	0.106809248456883	0.183256510051152	0	0	0	1.35292248974044	0.768102118612647	NA	high_vs_no	NA	male	stool
hsa-let-7f-2-3p	1.01829344721871	0.838384320434788	0.490934423003762	1.14270462987993	0	0	-0.177942723406523	0.879790704381909	NA	high_vs_no	NA	male	stool
hsa-let-7f-5p	2.42231113866981	2.650661695295	1.4824165013414	2.13598349603311	0.981743039151685	0.568447794059794	0.17913313505004	0.826022350982367	NA	high_vs_no	NA	male	stool
hsa-let-7g-3p	7.8223161249296	6.26048677572814	4.76430358475786	2.66232979613048	1.34560825666358	0	0.164632615216826	0.839697104211459	0.963856219022998	high_vs_no	FALSE	male	stool
hsa-let-7g-5p	10.4924939017821	119.418069950349	24.4486142583542	8.81504794834965	7.77643073313194	6.0217470247162	-0.359823903287835	0.681098461556389	0.920025948684543	high_vs_no	FALSE	male	stool
hsa-let-7i-3p	0	0.541165368132931	0.331339380523249	0	0	0	2.07029353155801	0.20691636153102	NA	high_vs_no	NA	male	stool
hsa-let-7i-5p	6.60928013876495	101.387599474282	44.7676255090374	5.8193597407036	9.57518768277572	8.11646548719435	0.225694008289291	0.784790138521819	0.951868705323702	high_vs_no	FALSE	male	stool
hsa-miR-1-2-5p:Novel	6.96095841962507	6.61653074614985	13.5216097434425	7.08616978012343	3.8062336350449	5.02185262901738	0.580715096749085	0.377810364695691	0.776683867264435	high_vs_no	FALSE	male	stool
hsa-miR-1-3p	2.99497871024177	2.45958741168137	1.80438752652351	2.8263158925536	1.9198677274997	1.24631626526902	-0.159525261025108	0.802009486045961	NA	high_vs_no	NA	male	stool
hsa-miR-1-5p	9.67839169221082	14.8566464895081	21.3719331588718	7.78573169790071	6.2275391363182	9.27596055679354	0.663148577532172	0.329414038051026	0.756125202572752	high_vs_no	FALSE	male	stool
hsa-miR-100-3p	0.178931194577239	0.304037892571556	0.265865902060949	0.13673552302553	0	0	0.954565084476434	0.665915409475543	NA	high_vs_no	NA	male	stool
hsa-miR-100-5p	3.244780428303	5.08670674340112	6.55310058717826	1.75499675384062	0.736857454378152	0.573499716639638	1.78024262667018	0.161995071666717	0.596007694509959	high_vs_no	FALSE	male	stool
hsa-miR-101-2-5p	0.508956458378954	1.07481760773603	1.58173914243853	0	0.488964986687483	0	0.343556482576809	0.72330632535507	NA	high_vs_no	NA	male	stool
hsa-miR-101-3p	3.02879709862492	3.38195445669136	3.57943328426752	3.09313215721182	2.40235207815211	1.84906070334678	0.600216583487226	0.357700250591004	0.764309463537218	high_vs_no	FALSE	male	stool
hsa-miR-101-5p	3.87432365151437	9.80321001012826	3.06836215373015	3.52601917933986	1.8624211585188	1.9843693588542	0.303014308180163	0.685307740524948	0.920025948684543	high_vs_no	FALSE	male	stool
hsa-miR-10226	2.82088052850397	4.40833369853214	2.46571847344447	2.47274309057711	1.98812062177788	0.824239449759353	0.634460177423191	0.440377897926528	0.816229836477725	high_vs_no	FALSE	male	stool
hsa-miR-10226-3p:Novel	17.6117084018116	11.3145626028588	10.8998397782839	16.6408962062734	6.38345845518381	6.53403529615514	-0.155964136570948	0.792174416459861	0.955350218319373	high_vs_no	FALSE	male	stool
hsa-miR-10392-3p	2.09444832326535	2.17845447912951	0.827457626155435	1.28805020073293	0.621587249291881	0	-0.896557460798855	0.357576584624051	NA	high_vs_no	NA	male	stool
