ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagecurrent	Averageformer	Averagenever	Mediancurrent	Medianformer	Mediannever
has-miR-548o	0.581102944228438	-0.2076907286714	0.829077311170106	-0.250508276940156	0.802194304648976	NA	never_vs_current	NA	1.7758423709755	0.330074889156607	0.275387285433927	0.0975224366766555	0	0
has-miR-548x	1.91458455148291	1.44945644549063	0.636741638084957	2.27636510445581	0.022824166436242	NA	never_vs_current	NA	0.814444285525499	0.624545555276811	2.70089268890199	0	0	0.341764003808895
hsa-let-7a-2-3p	0.510410667426444	-0.313664573238951	0.735046572055778	-0.426727482534465	0.669577830854525	NA	never_vs_current	NA	0.447765552604946	0.466709179140522	0.507901106521918	0	0	0
hsa-let-7a-3p	721.349463558236	-0.68907180561913	0.431271317595188	-1.59776868413477	0.110094466475136	0.437736491053505	never_vs_current	FALSE	3854.17538522977	175.382100684774	38.4067214166732	15.9358944664192	12.7248838236511	22.4354893332542
hsa-let-7a-5p	17.9512808805938	-0.376053783717851	0.376590937821155	-0.998573640389723	0.318001274689254	0.662299638614472	never_vs_current	FALSE	32.8903673833275	9.69974640405309	16.1044690294717	8.40103362984878	4.69374038525239	7.85502265793449
hsa-let-7b-3p	0.606591480187684	0.140346396166832	0.990260503820292	0.141726743241192	0.887295850112354	NA	never_vs_current	NA	1.01919945178097	0.281621262835796	0.59933149199798	0	0	0
hsa-let-7b-5p	436.16149112855	-0.689900831646186	0.455876112449964	-1.51335157251063	0.130190379154587	0.46932828040913	never_vs_current	FALSE	2224.40645906566	179.636440463499	28.009251892552	16.0428954025226	9.76934490570414	15.3430319834603
hsa-let-7c-3p	5.50667541683246	-0.0781646536568037	0.525438503595552	-0.148760802875934	0.88174238118455	0.972180212887423	never_vs_current	FALSE	6.01584548270315	5.36156667521845	5.05708213983876	0.767947235649801	1.02710961240068	0
hsa-let-7c-5p	32.6764061115394	-0.750335111696848	0.44360470193315	-1.69144986161558	0.0907509160539082	0.405187576265156	never_vs_current	FALSE	159.636582942505	5.80877669922124	6.05891660588174	2.67304947573262	2.34349154898124	3.14879232027516
hsa-let-7d-3p	5.58240542391933	-0.498688749565852	0.470061095415257	-1.06090198578401	0.288734446739609	0.6379691615522	never_vs_current	FALSE	16.2003570603884	3.73725185345768	2.8940152990759	1.38840872807218	0.974210764596153	1.64407326393734
hsa-let-7d-5p	84.7263620575351	-0.764011823869865	0.439165690544596	-1.73968923419868	0.0819136007452215	0.387035136207195	never_vs_current	FALSE	418.277568081755	39.7922043904754	6.68676943722659	4.71212706717193	2.67827605597856	4.09366505559171
hsa-let-7e-3p	0.0926959525265536	0.825235469664826	2.03162703299193	0.406194373407957	0.684599787957022	NA	never_vs_current	NA	0.00380679729757483	0.0495699711557782	0.134377336960571	0	0	0
hsa-let-7e-5p	8.28688404330971	-0.214764131465325	0.444561036132924	-0.4830925654967	0.629030012608924	0.867217958837609	never_vs_current	FALSE	26.5955233399936	4.76184861798541	4.16131494713772	2.89516212194652	2.10490282203767	2.14593758549772
hsa-let-7f-1-3p	0.148231312069842	0.645315600774752	2.22057080847482	0.290607981655844	0.771351154948442	NA	never_vs_current	NA	0.155046526944012	0.0297926753734462	0.191909054840604	0	0	0
hsa-let-7f-2-3p	0.575557015736163	0.318814993175587	0.616652482151676	0.51700917843248	0.605149751650339	NA	never_vs_current	NA	1.02649384189487	0.323887234932579	0.474549887078645	0	0	0
hsa-let-7f-5p	2.21317899747824	-0.0702929156510091	0.476847610002099	-0.147411697524707	0.882807073098253	NA	never_vs_current	NA	2.30967775063609	1.99102087013628	2.11722221919453	1.29462787383151	0.617044838653955	0.913118762673353
hsa-let-7g-3p	2.96451879005013	0.0505133485835153	0.461732325106499	0.109399636622505	0.912885521952706	NA	never_vs_current	NA	1.84488490152413	4.84386718322821	2.32229536896039	0.0494883648684728	0.567607791803404	0.309727252397514
hsa-let-7g-5p	494.25023297281	-0.431651415483517	0.515848114416815	-0.836780058741738	0.40271620835666	0.734039530837358	never_vs_current	FALSE	2513.79602439782	211.978166641848	26.3994712862561	7.67230091463624	5.60451767092717	8.67872943238204
hsa-let-7i-3p	0.309460606375863	-0.164080704914766	0.964133668172262	-0.170184602334051	0.864864960632957	NA	never_vs_current	NA	0.681551582474383	0.220892012489985	0.21177201213604	0	0	0
hsa-let-7i-5p	547.749131005243	-1.24696423641371	0.480925343580028	-2.59284367742249	0.00951860247556105	0.138971596143191	never_vs_current	FALSE	2803.28366471727	241.979860393029	23.6909477746105	9.49612567837649	7.49470368201408	8.95286515725696
hsa-miR-1-2-5p:Novel	9.96620767359249	-0.549139761402477	0.408997210094786	-1.34264916202048	0.179385603469444	0.532910392719357	never_vs_current	FALSE	12.2045443444137	11.3473432016713	7.46159759511013	4.34642498088785	4.18686210244463	3.45341515695331
hsa-miR-1-3p	1.95760720065832	-0.184445856784023	0.406092275035421	-0.454196910709357	0.649687106364016	NA	never_vs_current	NA	2.10168291621174	2.01146204015717	1.75905005214498	0.645140160522901	1.27945031165681	1.0781078035036
hsa-miR-1-5p	12.2163827187717	0.301922523537564	0.36627864421169	0.824297371164967	0.409770611952206	0.739511858405711	never_vs_current	FALSE	9.1561086091896	13.5182224872836	10.8712272055368	4.76256233678573	5.57849649714092	6.53420301883003
hsa-miR-100-3p	0.264208039986053	-0.0105594894803479	1.00780392190436	-0.0104777221549154	0.991640140221767	NA	never_vs_current	NA	0.21321807943719	0.356114346946598	0.217821318816637	0	0	0
