ID	Average_inactive	Average_modInact	Average_modAct	Average_active	Median_inactive	Median_modInact	Median_modAct	Median_active	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-let-7a-2-3p	0.991446205243106	0.933246304634352	1.71483329101538	0.684796990716549	0.319423637051946	0.552727293952478	0	0	-0.38054414405096	0.731415698267015	NA	modInact_vs_active	NA	male
hsa-let-7a-3p	41.9109016241497	34.3587916013542	362.576398870932	28.1169032203748	24.4960104976148	21.1027442349235	22.6795412426072	24.9631947706868	-0.527217220161594	NA	NA	modInact_vs_active	NA	male
hsa-let-7a-5p	8.00329589989612	12.9047043520042	15.5420678729507	21.4965712694201	5.01573430091321	9.40309291550117	6.11395394565738	18.4386506160804	-0.748323963118259	0.203181052427181	0.670303041380581	modInact_vs_active	FALSE	male
hsa-let-7b-3p	0.600134441908069	0.46387266236066	0.255092787140833	0.291850173642625	0	0	0	0	-1.32928454099296	0.494228604940507	NA	modInact_vs_active	NA	male
hsa-let-7b-5p	34.1308393655501	27.0615884231713	183.925545938605	16.0000285444831	11.7809164698202	16.5193840213181	11.0699932137888	18.033334253436	0.529748893530557	0.49332223798811	0.861182454119643	modInact_vs_active	FALSE	male
hsa-let-7c-3p	5.9162009004298	12.985024866095	3.45372533013382	1.37946605917849	1.93814479727318	1.74403398371143	0	0	1.27676625054152	0.141896241912503	0.617480500973136	modInact_vs_active	FALSE	male
hsa-let-7c-5p	5.80533784913815	5.10427600755206	13.9311882264027	4.02947845532752	3.75669471872258	2.91374002528457	4.62008616747865	3.79649142177599	-0.125845586482586	0.861417699207668	0.958606166825333	modInact_vs_active	FALSE	male
hsa-let-7d-3p	8.56680035918413	3.49711766040607	3.42451407528595	2.48992261130089	2.49263253053804	0.955646182046928	1.09075132278062	0.949122855443998	-0.676090634102946	0.520001552934473	NA	modInact_vs_active	NA	male
hsa-let-7d-5p	6.69040880143805	7.13027945391841	34.3040458211403	14.1885043772382	5.44355788835885	4.20618329914731	4.67065435223865	12.0826506706396	-1.59550061940261	0.0276542410900887	0.409799070585575	modInact_vs_active	FALSE	male
hsa-let-7e-3p	0.134274660519073	0.134782330247397	0.197752008628563	0	0	0	0	0	-1.2468347723159	0.78571653776713	NA	modInact_vs_active	NA	male
hsa-let-7e-5p	7.88759954850536	4.3186021300402	5.61496573798127	2.0847826248388	2.10146369032803	2.63186148095012	3.6899977379296	1.51033133382995	1.72981079434544	0.01570017336915	0.354926870099308	modInact_vs_active	FALSE	male
hsa-let-7f-1-3p	0.0672044183748006	0.13693819894401	0.11265140636186	0.392280272682833	0	0	0	0	-2.03832946655709	0.659025883036601	NA	modInact_vs_active	NA	male
hsa-let-7f-2-3p	0.460425406187553	0.516827710447123	1.16434853862496	0.44638913503959	0	0	0	0	-0.372607608882115	0.763422951016468	NA	modInact_vs_active	NA	male
hsa-let-7f-5p	1.34591223908524	2.27949048263719	2.95127276044796	1.86457267202543	0.937727409486617	0.701322645113028	1.27254320991072	1.64314753924075	-0.0423320925865079	0.958549489975526	NA	modInact_vs_active	NA	male
hsa-let-7g-3p	3.88626772828792	7.93732816275577	3.97799848784263	14.354948745101	0	1.95935440737827	0	0.949122855443998	-1.18418587226647	0.144067140771038	0.621049603770727	modInact_vs_active	FALSE	male
hsa-let-7g-5p	29.9893248291567	21.3779445155559	191.43871984495	10.3527261010868	8.90321678934604	7.13480156144371	7.37999547585919	7.6694524658132	0.567904312091749	0.519795163846867	0.881669779759937	modInact_vs_active	FALSE	male
hsa-let-7i-3p	0.572585206802979	0.307695070680973	0.552839870722184	0.128970823932267	0	0	0	0	-0.662769016362804	0.674893362626391	NA	modInact_vs_active	NA	male
hsa-let-7i-5p	29.1258512831948	28.9939362662603	168.625710475172	15.1670834024432	7.5318110121146	8.94546678702523	9.1741192330969	8.36667541725076	0.442420874360405	0.59259090396734	0.897604489917016	modInact_vs_active	FALSE	male
hsa-miR-1-2-5p:Novel	9.55032303784578	6.7447542808103	10.8923473292462	4.05556891166845	4.68863704743308	4.07931294081837	4.1201336003667	4.09747791468454	-0.236407802429046	0.734124231641163	0.927780170607164	modInact_vs_active	FALSE	male
hsa-miR-1-3p	2.61335918607475	2.48036780136644	2.12884178151568	1.09393610806826	1.96348607830337	1.84710752828741	1.34560825666358	1.09543169282717	0.469459977804667	0.510576271403752	NA	modInact_vs_active	NA	male
hsa-miR-1-5p	13.6416016685075	16.8068773225061	20.0539786891088	5.88594413860718	8.62443820040255	7.34864235074824	8.84228945253783	3.79649142177599	0.484012678723247	0.493977752870658	0.861182454119643	modInact_vs_active	FALSE	male
hsa-miR-100-3p	0.261310503991301	0.199116484666125	0.419094260107798	0.0931573411825916	0	0	0	0	-0.654894601235098	0.762289247925259	NA	modInact_vs_active	NA	male
hsa-miR-100-5p	2.33059693079057	5.08180671232446	8.27503280708718	2.08867754663255	0	1.5752023902286	0.74245151299617	0	1.66736331286507	0.193686603808742	0.658734772400109	modInact_vs_active	FALSE	male
hsa-miR-101-2-5p	0.770770486994238	0.940725429471283	1.62718595323415	1.78857430281325	0.586224734200311	0.261822912338501	0	0	-0.785021605528052	0.401659851972627	NA	modInact_vs_active	NA	male
hsa-miR-101-3p	2.49153809220156	2.53216199583802	4.60973717563918	5.18595602001215	1.9198677274997	1.74861875914902	2.40235207815211	2.73857923206792	-1.04305578323595	0.108139017015439	NA	modInact_vs_active	NA	male
